energy#1, (U= 500.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   9   0.10405122E+01      0.27103155E+01      -0.60087173E+02        0.94369112E+05      0.79631700E-05      0.52658922E-07       0       0
  28   0.32371489E+01      0.18116530E+01      -0.17128473E+02        0.96669664E+05      0.77024328E-06      0.26569968E-07       0       0
  47   0.54337857E+01      0.74274612E+00       0.71383193E+01        0.10276574E+06      0.90909552E-07      0.28431479E-08       0       0
  66   0.76304224E+01     -0.58214121E+00       0.86640659E+01        0.11576347E+06      0.54971230E-09      0.28865799E-10       0       0
  85   0.98270592E+01     -0.13555766E+00       0.18459267E+01        0.10967514E+06      0.13474177E-09      0.73274720E-12       0       0
 104   0.12023696E+02     -0.33853031E-01       0.23652516E+00        0.10500432E+06      0.30956310E-10      0.10880186E-11       0       0
 123   0.14220333E+02     -0.17064508E-02      -0.10128992E+00        0.10024830E+06      0.62472985E-11      0.48849813E-12       0       0
 142   0.16416969E+02      0.37316033E-02      -0.82050968E-01        0.95097233E+05      0.47937082E-11      0.17097435E-11       0       0
 161   0.18613606E+02      0.21576646E-02      -0.26102923E-01        0.89086363E+05      0.13359541E-11      0.11546319E-11       0       0
 180   0.20810243E+02      0.59434140E-03       0.41133896E-04        0.81812900E+05      0.20974029E-11      0.10436096E-11       0       0
 199   0.23006880E+02     -0.24110622E-04       0.54583263E-02        0.72835325E+05      0.73899369E-12      0.11102230E-11       0       0
 218   0.25203517E+02     -0.14681254E-03       0.38345563E-02        0.61448754E+05      0.47248663E-12      0.59952043E-12       0       0
 237   0.27400153E+02     -0.11133693E-03       0.13821364E-02        0.45894853E+05      0.44125185E-12      0.39968029E-12       0       0
 256   0.29596790E+02     -0.34151111E-04       0.00000000E+00        0.17242522E+05      0.51055907E-12      0.21094237E-12       0       0
 
