U=     500.000000 cm^-1
   ilv     flv       sigma(U),ANG^2    E_coll,cm^-1  sigma(E_coll),ANG^2
     1       1     0.2102174456E+03      500.000000     0.2102174456E+03
     1       2     0.1890474414E+02      518.753627     0.1822131275E+02
     1       3     0.1970324783E+00      535.681499     0.1839082351E+00
     1       4     0.1929955964E+02      518.753627     0.1860185514E+02
     1       5     0.2618387926E+01      537.852507     0.2434113341E+01
     1       6     0.5914806002E-01      555.086700     0.5327821764E-01
     1       7     0.2251741494E+00      535.681499     0.2101754024E+00
     1       8     0.8626453609E-01      555.086700     0.7770365971E-01
     1       9     0.5236996718E-01      572.592670     0.4573056025E-01
TOTAL P CONSERVATION ERROR,%  0.15587E-01
TOTAL E CONSERVATION ERROR,%  0.17347E+03
 
TOTAL NUMBER OF TRAJECTORIES =  14
