energy#1, (U= 500.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   9   0.10405122E+01      0.27103155E+01      -0.60087179E+02        0.94376858E+05      0.17347316E+03      0.10461795E-01       0       0
  28   0.32371489E+01      0.18116530E+01      -0.17128478E+02        0.96677410E+05      0.15724032E+03      0.12125967E-01       0       0
  47   0.54337857E+01      0.74274614E+00       0.71383138E+01        0.10277349E+06      0.12308393E+03      0.15586957E-01       0       0
  66   0.76304224E+01     -0.58214119E+00       0.86640607E+01        0.11577122E+06      0.59234333E+02      0.32155319E-02       0       0
  85   0.98270592E+01     -0.13555762E+00       0.18459220E+01        0.10968289E+06      0.16048134E+02      0.38257668E-05       0       0
 104   0.12023696E+02     -0.33853002E-01       0.23652110E+00        0.10501207E+06      0.62833068E+01      0.65921835E-07       0       0
 123   0.14220333E+02     -0.17064439E-02      -0.10129364E+00        0.10025605E+06      0.25729316E+01      0.12222778E-08       0       0
 142   0.16416969E+02      0.37316510E-02      -0.82054171E-01        0.95104979E+05      0.11177904E+01      0.12933210E-08       0       0
 161   0.18613606E+02      0.21576646E-02      -0.26105674E-01        0.89094109E+05      0.54899052E+00      0.89674934E-09       0       0
 180   0.20810243E+02      0.59435142E-03       0.38478488E-04        0.81820646E+05      0.27635080E+00      0.54354299E-09       0       0
 199   0.23006880E+02     -0.24088459E-04       0.54559766E-02        0.72843071E+05      0.13480742E+00      0.32296388E-09       0       0
 218   0.25203517E+02     -0.14678828E-03       0.38326476E-02        0.61456500E+05      0.58348911E-01      0.18627322E-09       0       0
 237   0.27400153E+02     -0.11128417E-03       0.13809594E-02        0.45902599E+05      0.27629136E-01      0.98432373E-10       0       0
 256   0.29596790E+02     -0.34079969E-04       0.00000000E+00        0.17250268E+05      0.38523839E-02      0.26889602E-10       0       0
 
