STATE= 1
j12= 0
m12= 0
ENERGY#1, U(i)= 500.000 cm^-1
B_IMPACT            L   TOT_ELAST_PROB TOT_INELAST_PROB
 0.10405122E+01      9  0.99989538E+00  0.78527651E-01
 0.32371489E+01     28  0.99987874E+00  0.17325864E+00
 0.54337857E+01     47  0.99984413E+00  0.29304383E+00
 0.76304224E+01     66  0.99996784E+00  0.62723488E+00
 0.98270592E+01     85  0.99999996E+00  0.26029282E+00
 0.12023696E+02    104  0.10000000E+01  0.31271263E-01
 0.14220333E+02    123  0.10000000E+01  0.58313874E-02
 0.16416969E+02    142  0.10000000E+01  0.32575414E-02
 0.18613606E+02    161  0.10000000E+01  0.50635287E-02
 0.20810243E+02    180  0.10000000E+01  0.29486981E-02
 0.23006880E+02    199  0.10000000E+01  0.58798421E-02
 0.25203517E+02    218  0.10000000E+01  0.37283825E-02
 0.27400153E+02    237  0.10000000E+01  0.49151429E-02
 0.29596790E+02    256  0.10000000E+01  0.12727635E-02
 
