Evolution of average Monte Carlo cross-section (in Angstrom^2) for each inelastic channel during the trajectories sampling procedure.
Traj#          Ch#1                 Ch#2                 Ch#3                 Ch#4                 Ch#5                 Ch#6                 Ch#7                 Ch#8                 Ch#9
    1   0.829914809384E+03   0.144369233984E-01   0.235970550914E+00   0.153028249567E-01   0.386796334012E+01   0.579735751952E-02   0.234518282253E+00   0.165049633660E-01   0.115946472854E-02
    2   0.119854522956E+04   0.722228006374E-02   0.127891184435E+00   0.778869551144E-02   0.531294088571E+01   0.290703011153E-02   0.126416457140E+00   0.119798175939E-01   0.189450781574E-02
    3   0.110681798582E+04   0.646829689166E-02   0.213802025826E+00   0.626522686126E-02   0.420169375833E+01   0.256419742845E-02   0.214402678522E+00   0.139228334437E-01   0.145523412393E-02
    4   0.930858413395E+03   0.198639160086E+01   0.206178143596E+00   0.286515923129E+01   0.329516555430E+01   0.403222830174E-01   0.259432908739E+00   0.485030622052E-01   0.509349734691E-01
    5   0.997437197619E+03   0.158912337993E+01   0.202801407792E+00   0.229213080575E+01   0.348935185473E+01   0.323473415277E-01   0.245419357428E+00   0.426395256285E-01   0.409198622033E-01
    6   0.832272437831E+03   0.200977203283E+01   0.225410362120E+00   0.250629473136E+01   0.293557152037E+01   0.352420727265E-01   0.241260492053E+00   0.383706055794E-01   0.344974087351E-01
    7   0.805292358251E+03   0.293111548999E+01   0.252779475982E+00   0.333361844861E+01   0.271264135574E+01   0.405399383062E-01   0.272284839640E+00   0.432661975658E-01   0.363032588696E-01
    9   0.942064051916E+03   0.227976078680E+01   0.220356857325E+00   0.259282829804E+01   0.349813167434E+01   0.315762415584E-01   0.234887150102E+00   0.407820358124E-01   0.284670486982E-01
   12   0.901842249001E+03   0.172695768090E+01   0.213462645566E+00   0.197618325361E+01   0.352761960684E+01   0.266185461905E-01   0.224299530068E+00   0.356916401039E-01   0.219761413497E-01
   14   0.773191915043E+03   0.159792374107E+01   0.192634434708E+00   0.179586793673E+01   0.302844327067E+01   0.242426164944E-01   0.198570890987E+00   0.310752617815E-01   0.189043901685E-01
   15   0.795413827027E+03   0.149141640514E+01   0.203616242800E+00   0.167614977637E+01   0.298009483645E+01   0.226758544562E-01   0.209360704203E+00   0.303198130431E-01   0.177129462158E-01
   16   0.839925495312E+03   0.139820445519E+01   0.195347309510E+00   0.157139711883E+01   0.311712579077E+01   0.212647781867E-01   0.200529710191E+00   0.304048003930E-01   0.167500566470E-01
   17   0.858377880865E+03   0.131596889680E+01   0.201356695579E+00   0.147896397884E+01   0.317587985142E+01   0.200507884769E-01   0.206367671816E+00   0.298187866463E-01   0.158072773763E-01
   18   0.881611456556E+03   0.124286187125E+01   0.200425083960E+00   0.139680033805E+01   0.320569661071E+01   0.189607112447E-01   0.205142231315E+00   0.294753510879E-01   0.149847185653E-01
   19   0.896836819659E+03   0.117745665851E+01   0.204159451088E+00   0.132328583806E+01   0.330850357246E+01   0.179934728547E-01   0.208741120059E+00   0.290347431211E-01   0.142243616156E-01
