The properties of individual trajectories in the Monte Carlo sample.
  itraj   ini_st      j12      m12     parity   l_orb    weight
      1        1        0        0        1      136        1
      2        1        0        0        1      257        1
      3        1        0        0        1      151        1
      4        1        0        0        1       69        1
      5        1        0        0        1      207        1
      6        1        0        0        1        2        1
      7        1        0        0        1      108        1
      8        1        0        0        1      233        2
      9        1        0        0        1      128        3
     10        1        0        0        1        0        2
     11        1        0        0        1      181        1
     12        1        0        0        1      247        1
     13        1        0        0        1      189        1
     14        1        0        0        1      209        1
     15        1        0        0        1      192        1
     16        1        0        0        1        4        1
     17        1        0        0        1      170        1
     18        1        0        0        1       27        1
     19        1        0        0        1       21        1
     20        1        0        0        1      111        1
     21        1        0        0        1      176        1
     22        1        0        0        1       18        1
     23        1        0        0        1       36        1
     24        1        0        0        1      190        1
     25        1        0        0        1      137        1
     26        1        0        0        1      163        1
     27        1        0        0        1      211        1
     28        1        0        0        1       12        2
     29        1        0        0        1      107        3
     30        1        0        0        1      225        1
     31        1        0        0        1       59        1
     32        1        0        0        1       68        1
     33        1        0        0        1      172        1
     34        1        0        0        1      203        1
     35        1        0        0        1       94        1
     36        1        0        0        1      156        2
     37        1        0        0        1      256        1
     38        1        0        0        1      208        1
     39        1        0        0        1       62        1
     40        1        0        0        1      240        1
     41        1        0        0        1       97        1
     42        1        0        0        1      165        1
     43        1        0        0        1       37        1
     44        1        0        0        1       19        1
     45        1        0        0        1      214        1
     46        1        0        0        1      234        1
     47        1        0        0        1      113        1
     48        1        0        0        1      132        1
     49        1        0        0        1      154        1
     50        1        0        0        1       49        1
