Transition probabilites for each individual Monte Carlo trajectory.
Traj#          Ch#1                 Ch#2                 Ch#3                 Ch#4                 Ch#5                 Ch#6                 Ch#7                 Ch#8                 Ch#9
    1   0.994342694406E+00   0.179460290603E-04   0.302898430240E-03   0.190224006735E-04   0.498514867594E-02   0.771122675306E-05   0.301034257376E-03   0.219537116070E-04   0.159087440345E-05  
    2   0.995349645158E+00   0.503218402205E-08   0.134809023520E-04   0.180923922109E-06   0.461704523339E-02   0.117770245661E-07   0.124621459023E-04   0.525626602638E-05   0.191256125206E-05  
    3   0.996770769572E+00   0.555551534025E-05   0.445987782482E-03   0.360444870634E-05   0.229829280661E-02   0.225129299769E-05   0.451482963293E-03   0.213427144516E-04   0.712915959303E-06  
    4   0.948273435632E+00   0.193510475059E-01   0.462130806983E-03   0.279342798052E-01   0.145696801729E-02   0.401257043536E-03   0.994626554082E-03   0.397722998850E-03   0.537273151434E-03  
    5   0.996045308064E+00   0.412921035492E-07   0.159842285551E-03   0.139860884128E-07   0.361693786322E-02   0.391628521053E-06   0.159901974930E-03   0.167872025549E-04   0.775705576927E-06  
    6   0.421855070665E+00   0.279155816983E+00   0.237209984324E-01   0.242783507778E+00   0.117285803996E-01   0.361060386241E-02   0.154516124499E-01   0.123651331685E-02   0.178683777354E-03  
    7   0.969827650566E+00   0.132289294570E-01   0.673398432594E-03   0.129761861949E-01   0.222956657063E-02   0.121031257702E-03   0.740314125953E-03   0.121554387991E-03   0.813683916263E-04  
    8   0.995108837087E+00   0.140434295362E-07   0.801995717905E-04   0.456140793373E-07   0.470692432574E-02   0.158082144087E-06   0.780366163890E-04   0.249502342733E-04   0.834426687442E-06  
    9   0.994217620186E+00   0.905149524096E-04   0.262863774062E-03   0.166704820770E-03   0.495066715228E-02   0.165955995658E-04   0.262531969138E-03   0.288528212672E-04   0.364872786219E-05  
   10   0.421915095078E+00   0.279534892814E+00   0.237119372833E-01   0.242292514233E+00   0.117466246895E-01   0.362654234908E-02   0.154886962167E-01   0.122626984640E-02   0.177505659154E-03  
   11   0.997052659785E+00   0.293269778601E-06   0.344987269025E-03   0.893089538148E-07   0.223247497597E-02   0.741440958450E-06   0.347937964203E-03   0.197503243227E-04   0.106566704800E-05  
   12   0.996199454092E+00   0.172803736384E-07   0.504855695280E-04   0.735311921125E-07   0.367672610579E-02   0.723565953438E-07   0.481858181294E-04   0.232397083486E-04   0.174553831169E-05  
   13   0.995605528350E+00   0.179046462533E-06   0.275080405578E-03   0.302100139263E-07   0.382110302142E-02   0.600692064544E-06   0.277177611870E-03   0.195862931611E-04   0.714373553624E-06  
   14   0.996552071434E+00   0.343705581650E-07   0.154379832999E-03   0.149385960245E-07   0.311759996827E-02   0.372136555283E-06   0.154147374953E-03   0.204848783004E-04   0.895067860694E-06  
   15   0.994768058600E+00   0.143525032663E-06   0.247010756753E-03   0.218935228508E-07   0.471482570679E-02   0.550046359853E-06   0.248961387521E-03   0.199047150281E-04   0.523372982088E-06  
   16   0.421811667411E+00   0.278074807759E+00   0.237485949737E-01   0.244060429959E+00   0.116588508123E-01   0.357823416759E-02   0.153621745833E-01   0.124856996383E-02   0.181163604415E-03  
   17   0.995557404145E+00   0.534222851353E-06   0.401557210422E-03   0.586897986037E-06   0.361294362466E-02   0.101071425790E-05   0.407212964635E-03   0.176669886592E-04   0.108323842396E-05  
   18   0.467157779284E+00   0.231926211828E+00   0.182097320795E-01   0.257689996376E+00   0.125123507958E-01   0.208848575439E-02   0.830293727751E-02   0.155217884691E-02   0.391803582233E-03  
   19   0.430565324232E+00   0.252358644061E+00   0.216687242700E-01   0.266703618192E+00   0.122957184461E-01   0.259017851619E-02   0.117113330820E-01   0.160334531570E-02   0.301292412378E-03  
   20   0.981197369683E+00   0.775392645735E-02   0.621848210310E-03   0.687389885417E-02   0.261787589710E-02   0.870748676659E-04   0.687078190646E-03   0.112225367593E-03   0.487021503798E-04  
   21   0.996704880122E+00   0.379565088641E-06   0.375708093370E-03   0.210317985620E-06   0.251635159519E-02   0.849588928201E-06   0.379749162840E-03   0.207656972580E-04   0.110586315175E-05  
   22   0.423941312915E+00   0.259513788722E+00   0.226867537987E-01   0.264119158973E+00   0.118939859136E-01   0.283735361410E-02   0.129662024838E-01   0.155958034106E-02   0.263337188162E-03  
   23   0.607870533518E+00   0.173005728361E+00   0.983701130974E-02   0.193532905689E+00   0.896585823833E-02   0.139138114980E-02   0.353268967728E-02   0.124170770184E-02   0.495263503108E-03  
   24   0.995330268493E+00   0.166043599413E-06   0.265667762377E-03   0.271413792108E-07   0.411520359746E-02   0.582988261553E-06   0.267733808891E-03   0.197016301695E-04   0.648539102831E-06  
   25   0.994652872843E+00   0.178875619173E-04   0.319135020483E-03   0.132855709160E-04   0.464837292714E-02   0.702230681274E-05   0.317662487745E-03   0.223293685754E-04   0.143192634987E-05  
   26   0.994915709160E+00   0.101522961260E-05   0.425393897451E-03   0.160110841231E-05   0.420953957880E-02   0.127719566507E-05   0.432463658333E-03   0.120403841186E-04   0.959796488282E-06  
   27   0.996895214686E+00   0.284372182025E-07   0.149062814139E-03   0.171831974803E-07   0.278129350628E-02   0.349581444279E-06   0.148561724571E-03   0.244711065898E-04   0.100096303062E-05  
   28   0.421136380893E+00   0.270339169910E+00   0.236176267783E-01   0.253798109541E+00   0.114737180295E-01   0.325377952135E-02   0.145037789973E-01   0.141719335119E-02   0.211405208421E-03  
   29   0.964233829322E+00   0.158098534754E-01   0.669825003891E-03   0.157218702712E-01   0.248370497673E-02   0.133413426013E-03   0.736161854801E-03   0.115044870237E-03   0.962960319282E-04  
   30   0.995103088318E+00   0.127754245860E-07   0.103314566795E-03   0.425800426922E-07   0.467820033445E-02   0.223348810055E-06   0.101356216331E-03   0.126680427133E-04   0.109381850412E-05  
   31   0.849617500956E+00   0.625949497119E-01   0.111078311645E-02   0.829109938416E-01   0.145421066112E-02   0.208154515473E-03   0.782243430169E-03   0.506258672661E-03   0.687550679660E-03  
   32   0.937386017068E+00   0.242711519333E-01   0.718523706607E-03   0.335056938371E-01   0.149649915219E-02   0.360457426926E-03   0.112263519423E-02   0.410293018603E-03   0.545115464707E-03  
   33   0.995949709387E+00   0.470765105135E-06   0.393821556235E-03   0.421228896724E-06   0.323536549474E-02   0.951951750013E-06   0.398939848439E-03   0.192230115774E-04   0.109676306045E-05  
   34   0.994844431381E+00   0.586841137622E-07   0.173257820132E-03   0.134318690424E-07   0.479392485781E-02   0.424264519064E-06   0.173955155693E-03   0.134125421074E-04   0.521865330146E-06  
   35   0.775793418897E+00   0.113044235807E+00   0.150269488837E-03   0.106324590057E+00   0.285601698292E-02   0.621723358245E-03   0.331832064146E-03   0.557198428624E-03   0.320694222178E-03  
   36   0.995835039685E+00   0.266208448566E-05   0.447259190269E-03   0.309456693444E-05   0.324063314307E-02   0.170178851808E-05   0.454030045348E-03   0.148095430790E-04   0.769963220987E-06  
   37   0.998741891962E+00   0.944571405660E-08   0.163651200981E-04   0.152277568734E-06   0.119958011105E-02   0.158600613701E-07   0.153225233312E-04   0.258777048504E-04   0.784995596884E-06  
   38   0.996303899926E+00   0.377285718642E-07   0.157045926323E-03   0.143189339573E-07   0.336242749373E-02   0.382326643287E-06   0.156960223812E-03   0.183995647074E-04   0.832493693263E-06  
   39   0.873223207578E+00   0.555626895678E-01   0.105306818246E-02   0.664791508681E-01   0.147847389247E-02   0.188813347815E-03   0.796487683218E-03   0.439658817410E-03   0.636791801747E-03  
   40   0.995781284774E+00   0.138643571741E-07   0.600447435969E-04   0.354136137202E-07   0.408334998333E-02   0.116663223435E-06   0.582958358618E-04   0.162060314516E-04   0.652691150519E-06  
   41   0.844040107001E+00   0.779004188819E-01   0.240926943610E-03   0.737770960084E-01   0.258806472778E-02   0.475007456461E-03   0.389673371186E-03   0.325315595240E-03   0.263381265955E-03  
   42   0.994927796568E+00   0.813161420634E-06   0.418737328492E-03   0.123797443590E-05   0.421053399564E-02   0.118970729787E-05   0.425523787094E-03   0.131589890462E-04   0.100849654203E-05  
   43   0.623206741996E+00   0.166182199712E+00   0.903136132459E-02   0.186885164915E+00   0.837829637587E-02   0.131659470232E-02   0.318822591374E-02   0.118396936200E-02   0.503766829294E-03  
   44   0.425565307282E+00   0.257350108287E+00   0.223927302188E-01   0.265245747296E+00   0.120316154473E-01   0.275607497789E-02   0.125877871461E-01   0.158238528046E-02   0.275231837241E-03  
   45   0.996969579451E+00   0.214635715201E-07   0.140431056572E-03   0.236738651462E-07   0.272176681210E-02   0.313068401339E-06   0.139587793764E-03   0.271771305936E-04   0.109955204590E-05  
   46   0.995066907530E+00   0.141874744027E-07   0.770295970542E-04   0.483716803094E-07   0.475756531754E-02   0.150468212475E-06   0.749397032292E-04   0.225360669237E-04   0.808759415787E-06  
   47   0.986080491842E+00   0.539755651934E-02   0.562633575425E-03   0.430360692878E-02   0.284382452042E-02   0.727332865309E-04   0.619777069486E-03   0.842744728194E-04   0.351015760795E-04  
   48   0.993680321769E+00   0.245456310567E-04   0.254641706523E-03   0.648022374994E-04   0.568600907569E-02   0.111939457324E-04   0.252166622387E-03   0.239155887728E-04   0.240343301534E-05  
   49   0.996252761414E+00   0.356631277823E-05   0.448606993511E-03   0.342525723471E-05   0.281700201087E-02   0.188335478397E-05   0.454863065741E-03   0.171577499403E-04   0.733851826717E-06  
   50   0.692253741902E+00   0.130184508185E+00   0.443947503274E-02   0.167109757996E+00   0.357490557848E-02   0.438885837902E-03   0.806676003186E-03   0.475949712996E-03   0.607287976067E-03  
