Evolution of statistical error estimate (in % of cross-section value) for each inelastic channel during the trajectories sampling procedure.
Traj#      Ch#2      Ch#3      Ch#4      Ch#5      Ch#6      Ch#7      Ch#8      Ch#9
    2      0.05     99.94     91.48     98.12      3.83     99.70     92.05     61.37
    3      0.05     47.86     35.40     53.90     14.99     48.63     35.72     23.89
    4      0.69     57.64     19.60     57.67     14.95     55.88     27.05     49.40
    5      0.48     49.92     15.47     49.95      9.90     48.43     22.04     41.21
    6      4.73     41.34     41.77     39.44     13.96     39.47     38.85     31.67
    7      3.64     35.95     37.03     34.19     12.14     34.91     33.89     26.85
    8      2.92     33.38     34.24     31.79      9.66     32.44     31.36     24.74
    9      2.41     31.28     31.71     29.81      7.88     30.29     28.95     22.93
   10      2.88     20.72     20.89     20.13      7.35     20.33     19.79     16.98
   11      2.47     19.81     19.80     19.27      6.88     19.45     18.70     16.20
   12      2.15     19.01     18.97     18.50      6.16     18.67     17.94     15.47
   13      1.90     18.30     18.14     17.81      5.53     17.97     17.11     14.83
   14      1.69     17.66     17.45     17.20      5.10     17.35     16.44     14.25
   15      1.51     17.08     16.78     16.64      4.57     16.78     15.78     13.72
   16      1.68     13.25     13.09     13.00      4.38     13.08     12.51     11.25
   17      1.52     12.90     12.66     12.66      4.07     12.74     12.06     10.93
   18      1.58     10.64     10.50     10.47      3.91     10.73     10.28      9.42
   19      1.62      9.03      8.93      8.92      3.68      9.14      8.78      8.21
   20      1.50      8.79      8.70      8.69      3.55      8.90      8.51      7.91
   21      1.39      8.63      8.51      8.54      3.43      8.74      8.30      7.75
   22      1.42      7.54      7.44      7.47      3.23      7.62      7.28      6.88
   23      1.36      6.75      6.80      6.65      2.99      6.95      6.82      6.15
   24      1.28      6.66      6.69      6.57      2.84      6.86      6.70      6.06
   25      1.20      6.57      6.58      6.48      2.70      6.76      6.57      5.97
   26      1.13      6.48      6.47      6.39      2.58      6.66      6.44      5.89
   27      1.07      6.39      6.37      6.31      2.51      6.57      6.34      5.80
   28      1.09      5.77      5.76      5.70      2.39      5.92      5.74      5.28
   29      1.03      5.65      5.66      5.57      2.34      5.80      5.62      5.16
   30      0.98      5.58      5.59      5.51      2.24      5.73      5.55      5.10
   31      0.93      5.32      5.48      5.20      2.22      5.60      5.43      4.81
   32      0.89      5.19      5.39      5.05      2.21      5.44      5.30      4.58
   33      0.85      5.14      5.32      4.99      2.14      5.38      5.22      4.53
   34      0.81      5.08      5.25      4.94      2.06      5.32      5.15      4.49
   35      0.78      4.77      5.19      4.65      2.01      5.11      5.08      4.24
   36      0.74      4.73      5.12      4.61      1.95      5.05      5.00      4.20
   37      0.71      4.68      5.07      4.56      1.94      5.00      4.95      4.16
   38      0.69      4.64      5.01      4.52      1.89      4.95      4.89      4.11
   39      0.66      4.46      4.92      4.33      1.87      4.86      4.80      3.93
   40      0.63      4.42      4.87      4.30      1.81      4.81      4.75      3.90
   41      0.61      4.23      4.82      4.11      1.77      4.66      4.68      3.76
   42      0.59      4.19      4.76      4.08      1.72      4.62      4.61      3.73
   43      0.58      3.93      4.49      3.82      1.65      4.36      4.43      3.50
   44      0.60      3.69      4.18      3.59      1.61      4.06      4.12      3.32
   45      0.58      3.66      4.14      3.57      1.58      4.02      4.08      3.29
   46      0.56      3.63      4.10      3.54      1.53      3.99      4.04      3.27
   47      0.54      3.60      4.05      3.51      1.51      3.95      3.99      3.22
   48      0.52      3.57      4.02      3.48      1.45      3.91      3.95      3.20
   49      0.51      3.55      3.97      3.46      1.43      3.88      3.90      3.17
   50      0.50      3.37      3.85      3.27      1.40      3.79      3.84      3.06
