 #ENERGY           1
N#_traject     #CHNL=      1 ERR VALUE     #CHNL=      2 ERR VALUE     #CHNL=      3 ERR VALUE     #CHNL=      4 ERR VALUE     #CHNL=      5 ERR VALUE     #CHNL=      6 ERR VALUE     #CHNL=      7 ERR VALUE     #CHNL=      8 ERR VALUE     #CHNL=      9 ERR VALUE 
        1       1.154  0.1042669201E+01    41.481  0.3884970454E+00     9.072  0.2424305568E-02    46.687  0.3542362514E+00     5.105  0.3024269830E-02    21.125  0.3640895786E-03    10.007  0.2125308884E-02    14.002  0.3030314407E-03    22.007  0.2983494886E-03
        2      12.380  0.1167885940E+01    44.072  0.2811775309E+00    30.782  0.1914062798E-02    41.072  0.2612943897E+00    19.680  0.2583895899E-02    33.788  0.2816700942E-03     8.001  0.1987592043E-02    10.270  0.3326159860E-03    16.566  0.3483209838E-03
        3      64.811  0.2056406571E+01    50.000  0.2108836304E+00    49.722  0.1437546761E-02    49.999  0.1959720029E+00    37.864  0.2063109206E-02    49.995  0.2112576783E-03    49.728  0.1492723801E-02    49.098  0.2505923816E-03    49.993  0.2612500413E-03
        4       3.470  0.2017276499E+01    43.487  0.1696431059E+00     3.244  0.1411942524E-02    41.918  0.1587679832E+00    13.356  0.2229567869E-02     4.900  0.2172077108E-03     1.913  0.1476933521E-02    14.970  0.2734785980E-03    12.200  0.2803721544E-03
        5      14.271  0.2168907469E+01    35.695  0.1443931364E+00    30.790  0.1226879436E-02    36.582  0.1346385318E+00     9.997  0.2344384336E-02    34.837  0.1855422780E-03    31.578  0.1279063275E-02    34.265  0.2341702102E-03    40.389  0.2340596031E-03
        6      35.795  0.2575407516E+01    37.796  0.1237655870E+00    37.706  0.1051971280E-02    37.796  0.1154047649E+00    25.827  0.2104688407E-02    37.795  0.1590371340E-03    37.711  0.1096695146E-02    37.226  0.2011510052E-03    37.788  0.2006289111E-03
        7      31.984  0.2280668665E+01     3.830  0.1257109263E+00    84.927  0.1601560229E-02    16.122  0.1083469087E+00    24.430  0.2335205864E-02   112.471  0.2915181730E-03   129.736  0.2305014495E-02    49.367  0.2512730142E-03     3.830  0.2037828065E-03
        8      37.252  0.2651004108E+01    33.333  0.1117430456E+00    33.332  0.1423614543E-02    33.333  0.9630837953E-01    30.452  0.2095867410E-02    33.333  0.2591272685E-03    33.333  0.2048906407E-02    33.160  0.2234828891E-03    33.331  0.1811418016E-03
        9      10.238  0.2558951072E+01    50.105  0.1356187419E+00     1.118  0.1418046336E-02    57.194  0.1205301716E+00     0.291  0.2093724708E-02    11.567  0.2701047552E-03    20.914  0.1908648022E-02    17.293  0.2379405993E-03    12.243  0.1736708406E-03
       10      12.702  0.2671490846E+01    30.135  0.1232956979E+00    26.055  0.1305252909E-02    30.133  0.1095787198E+00    20.116  0.1962775911E-02    30.124  0.2455702324E-03    27.405  0.1749623140E-02    29.272  0.2168842140E-03    30.137  0.1578893285E-03
