U=     100.000000 cm^-1
   ilv     flv       sigma(U),ANG^2    E_coll,cm^-1  sigma(E_coll),ANG^2
     1       1     0.1181654336E+03      100.000000     0.1181654336E+03
     1       2     0.6696413296E+01      101.940322     0.6568954434E+01
     1       3     0.3762283891E+01      105.876897     0.3553451219E+01
     1       4     0.3166147571E+01      111.921588     0.2828897993E+01
     1       5     0.1184935252E+01      120.242190     0.9854571425E+00
     1       6     0.1527348934E+01      131.062428     0.1165359865E+01
     1       7     0.1241025524E+01      144.661959     0.8578796614E+00
     1       8     0.9883975868E+00      161.376372     0.6124797436E+00
     1       9     0.9065026290E+00      181.597186     0.4991831926E+00
     1      10     0.7248227651E+00      205.771853     0.3522458276E+00
     1      11     0.6420416744E+00      234.403755     0.2739041763E+00
     1      12     0.5341035474E+00      268.052207     0.1992535532E+00
     1      13     0.4520753473E+00      307.332455     0.1470965205E+00
     1      14     0.3818931831E+00      352.915675     0.1082108874E+00
TOTAL P CONSERVATION ERROR,%  0.12892E-06
TOTAL E CONSERVATION ERROR,%  0.25227E-05
 
TOTAL NUMBER OF TRAJECTORIES =  37
