energy#1, (U= 100.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   0   0.00000000E+00      0.31415927E+01      -0.22041128E+02        0.24524107E+06      0.24266398E-05      0.12891699E-06       0       0
   1   0.41461336E+00      0.28301206E+01      -0.19055271E+02        0.24350902E+06      0.25227355E-05      0.12383767E-06       0       0
   2   0.82922671E+00      0.26068740E+01      -0.16336774E+02        0.24023545E+06      0.19575552E-05      0.11419784E-06       0       0
   3   0.12438401E+01      0.23946963E+01      -0.13835989E+02        0.23573211E+06      0.19099610E-05      0.10096466E-06       0       0
   4   0.16584534E+01      0.21917064E+01      -0.11542787E+02        0.23036276E+06      0.17855952E-05      0.85413143E-07       0       0
   5   0.20730668E+01      0.19974363E+01      -0.94482161E+01        0.22449111E+06      0.16052925E-05      0.68951789E-07       0       0
   6   0.24876801E+01      0.18111131E+01      -0.75439414E+01        0.21848089E+06      0.10059342E-05      0.52928206E-07       0       0
   7   0.29022935E+01      0.16315651E+01      -0.58226023E+01        0.21259192E+06      0.10404929E-05      0.38458781E-07       0       0
   8   0.33169069E+01      0.14574799E+01      -0.42780798E+01        0.20701471E+06      0.50710087E-06      0.26311520E-07       0       0
   9   0.37315202E+01      0.12875120E+01      -0.29055838E+01        0.20183588E+06      0.64521851E-06      0.16856383E-07       0       0
  10   0.41461336E+01      0.11203736E+01      -0.17016410E+01        0.19714202E+06      0.88324844E-06      0.10070089E-07       0       0
  11   0.45607469E+01      0.95454954E+00      -0.66417943E+00        0.19298510E+06      0.29413004E-06      0.56113225E-08       0       0
  12   0.49753603E+01      0.78801066E+00       0.20710067E+00        0.18943440E+06      0.33077346E-06      0.30614844E-08       0       0
  13   0.53899736E+01      0.61986514E+00       0.91103857E+00        0.18647259E+06      0.26976718E-06      0.20647928E-08       0       0
  14   0.58045870E+01      0.44840083E+00       0.14451716E+01        0.18420360E+06      0.26607022E-06      0.12318147E-08       0       0
  15   0.62192004E+01      0.27236542E+00       0.18055547E+01        0.18266208E+06      0.25855429E-06      0.62978511E-09       0       0
  16   0.66338137E+01      0.90991849E-01       0.19872333E+01        0.18203854E+06      0.25918141E-06      0.26261215E-09       0       0
  17   0.70484271E+01     -0.92467481E-01       0.19864955E+01        0.18250619E+06      0.47399575E-06      0.84265928E-10       0       0
  18   0.74630404E+01     -0.25966858E+00       0.18104275E+01        0.18408236E+06      0.25452891E-06      0.22248869E-10       0       0
  19   0.78776538E+01     -0.35266837E+00       0.15042590E+01        0.18567585E+06      0.32523033E-06      0.86153307E-11       0       0
  20   0.82922671E+01     -0.33018611E+00       0.11628318E+01        0.18550264E+06      0.25302097E-06      0.43964832E-11       0       0
  21   0.87068805E+01     -0.25468153E+00       0.87039793E+00        0.18397844E+06      0.30062955E-06      0.28421709E-11       0       0
  22   0.91214939E+01     -0.18548219E+00       0.65031607E+00        0.18228103E+06      0.25133857E-06      0.12656542E-11       0       0
  23   0.95361072E+01     -0.13476603E+00       0.49019196E+00        0.18079146E+06      0.37780045E-06      0.79936058E-12       0       0
  24   0.99507206E+01     -0.99252909E-01       0.37318249E+00        0.17947510E+06      0.36319903E-06      0.59952043E-12       0       0
  25   0.10365334E+02     -0.74348653E-01       0.28638171E+00        0.17831463E+06      0.26142259E-06      0.52180482E-12       0       0
  26   0.10779947E+02     -0.56625392E-01       0.22089469E+00        0.17725808E+06      0.24758608E-06      0.71054274E-12       0       0
  27   0.11194561E+02     -0.43786471E-01       0.17068876E+00        0.17625349E+06      0.24654198E-06      0.10880186E-11       0       0
  28   0.11609174E+02     -0.34320632E-01       0.13163521E+00        0.17528354E+06      0.40981980E-06      0.37747583E-12       0       0
  29   0.12023787E+02     -0.27226332E-01       0.10086172E+00        0.17431359E+06      0.47437092E-06      0.37747583E-12       0       0
  30   0.12438401E+02     -0.21829806E-01       0.76333654E-01        0.17336097E+06      0.24315092E-06      0.64392935E-12       0       0
  31   0.12853014E+02     -0.17669718E-01       0.56583892E-01        0.17239102E+06      0.33526636E-06      0.76605389E-12       0       0
  32   0.13267627E+02     -0.14424435E-01       0.40536816E-01        0.17142107E+06      0.24066405E-06      0.64392935E-12       0       0
  33   0.13682241E+02     -0.11865766E-01       0.27391715E-01        0.17041648E+06      0.23935236E-06      0.15321078E-11       0       0
  34   0.14096854E+02     -0.98291508E-02       0.16544257E-01        0.16941189E+06      0.32435026E-06      0.78825835E-12       0       0
  35   0.14511468E+02     -0.81940948E-02       0.75326341E-02        0.16835534E+06      0.23658642E-06      0.82156504E-12       0       0
  36   0.14926081E+02     -0.68711735E-02       0.00000000E+00        0.16729879E+06      0.33032978E-06      0.66613381E-12       0       0
 
