STATE= 1
j12= 0
m12= 0
ENERGY#1, U(i)= 100.000 cm^-1
B_IMPACT            L   TOT_ELAST_PROB TOT_INELAST_PROB
 0.00000000E+00      0  0.10000000E+01  0.61386808E+00
 0.41461336E+00      1  0.10000000E+01  0.61215310E+00
 0.82922671E+00      2  0.10000000E+01  0.60876690E+00
 0.12438401E+01      3  0.10000000E+01  0.60380900E+00
 0.16584534E+01      4  0.10000000E+01  0.59744371E+00
 0.20730668E+01      5  0.10000000E+01  0.58986284E+00
 0.24876801E+01      6  0.10000000E+01  0.58113444E+00
 0.29022935E+01      7  0.10000000E+01  0.57086757E+00
 0.33169069E+01      8  0.10000000E+01  0.55796622E+00
 0.37315202E+01      9  0.10000000E+01  0.54122926E+00
 0.41461336E+01     10  0.10000000E+01  0.52121448E+00
 0.45607469E+01     11  0.10000000E+01  0.50134420E+00
 0.49753603E+01     12  0.10000000E+01  0.48242348E+00
 0.53899736E+01     13  0.10000000E+01  0.45361586E+00
 0.58045870E+01     14  0.10000000E+01  0.40652861E+00
 0.62192004E+01     15  0.10000000E+01  0.36385694E+00
 0.66338137E+01     16  0.10000000E+01  0.32098037E+00
 0.70484271E+01     17  0.10000000E+01  0.19027505E+00
 0.74630404E+01     18  0.10000000E+01  0.42251658E-01
 0.78776538E+01     19  0.10000000E+01  0.32005685E-01
 0.82922671E+01     20  0.10000000E+01  0.49570521E-01
 0.87068805E+01     21  0.10000000E+01  0.37125610E-01
 0.91214939E+01     22  0.10000000E+01  0.21588511E-01
 0.95361072E+01     23  0.10000000E+01  0.11780151E-01
 0.99507206E+01     24  0.10000000E+01  0.64301247E-02
 0.10365334E+02     25  0.10000000E+01  0.35871276E-02
 0.10779947E+02     26  0.10000000E+01  0.20582340E-02
 0.11194561E+02     27  0.10000000E+01  0.12153840E-02
 0.11609174E+02     28  0.10000000E+01  0.73733851E-03
 0.12023787E+02     29  0.10000000E+01  0.45843237E-03
 0.12438401E+02     30  0.10000000E+01  0.29134375E-03
 0.12853014E+02     31  0.10000000E+01  0.18879972E-03
 0.13267627E+02     32  0.10000000E+01  0.12448886E-03
 0.13682241E+02     33  0.10000000E+01  0.83367200E-04
 0.14096854E+02     34  0.10000000E+01  0.56613638E-04
 0.14511468E+02     35  0.10000000E+01  0.38934907E-04
 0.14926081E+02     36  0.10000000E+01  0.27087382E-04
 
