U=     100.000000 cm^-1
   ilv     flv       sigma(U),ANG^2    E_coll,cm^-1  sigma(E_coll),ANG^2
     1       1     0.2082851024E+03      100.000000     0.2082851024E+03
     1       2     0.0000000000E+00      102.007980     0.0000000000E+00
     1       3     0.4016557002E+02      106.083820     0.3786210752E+02
     1       4     0.0000000000E+00      112.347280     0.0000000000E+00
     1       5     0.2253570427E+02      120.978001     0.1862793573E+02
     1       6     0.0000000000E+00      132.215502     0.0000000000E+00
     1       7     0.4434504513E+01      146.359184     0.3029877852E+01
     1       8     0.0000000000E+00      163.768328     0.0000000000E+00
     1       9     0.1148923048E+01      184.862093     0.6215027806E+00
     1      10     0.0000000000E+00      210.119520     0.0000000000E+00
TOTAL P CONSERVATION ERROR,%  0.82412E-07
TOTAL E CONSERVATION ERROR,%  0.79522E-04
 
TOTAL NUMBER OF TRAJECTORIES =  83
