energy#1, (U= 100.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   0   0.00000000E+00      0.31415927E+01      -0.34740264E+02        0.12993845E+06      0.57778666E-04      0.82411722E-07       0       0
   1   0.24315243E+00      0.30205711E+01      -0.31659182E+02        0.12995577E+06      0.68833678E-04      0.82075791E-07       0       0
   2   0.48630486E+00      0.29319396E+01      -0.28682926E+02        0.13000773E+06      0.25883471E-04      0.81401641E-07       0       0
   3   0.72945729E+00      0.28450172E+01      -0.25794448E+02        0.13009434E+06      0.32143148E-04      0.80403195E-07       0       0
   4   0.97260972E+00      0.27585712E+01      -0.22992654E+02        0.13021558E+06      0.38398786E-04      0.79081230E-07       0       0
   5   0.12157621E+01      0.26722604E+01      -0.20277238E+02        0.13035414E+06      0.26188120E-04      0.77448115E-07       0       0
   6   0.14589146E+01      0.25859326E+01      -0.17648141E+02        0.13054467E+06      0.35665186E-04      0.75516371E-07       0       0
   7   0.17020670E+01      0.24994934E+01      -0.15105428E+02        0.13076984E+06      0.53309296E-04      0.73304629E-07       0       0
   8   0.19452194E+01      0.24128681E+01      -0.12649248E+02        0.13101232E+06      0.25755759E-04      0.70828143E-07       0       0
   9   0.21883719E+01      0.23259861E+01      -0.10279820E+02        0.13132409E+06      0.40194966E-04      0.68114359E-07       0       0
  10   0.24315243E+01      0.22387761E+01      -0.79974394E+01        0.13165318E+06      0.25788535E-04      0.65177863E-07       0       0
  11   0.26746767E+01      0.21511601E+01      -0.58024713E+01        0.13205155E+06      0.36459063E-04      0.62043659E-07       0       0
  12   0.29178292E+01      0.20630528E+01      -0.36953649E+01        0.13250189E+06      0.47374050E-04      0.58745941E-07       0       0
  13   0.31609816E+01      0.19743585E+01      -0.16766592E+01        0.13302150E+06      0.36419042E-04      0.55313198E-07       0       0
  14   0.34041340E+01      0.18849699E+01       0.25300500E+00        0.13359308E+06      0.25753674E-04      0.51768856E-07       0       0
  15   0.36472864E+01      0.17947650E+01       0.20928724E+01        0.13423394E+06      0.71300679E-04      0.48152682E-07       0       0
