STATE= 1
j12= 0
m12= 0
ENERGY#1, U(i)= 100.000 cm^-1
B_IMPACT            L   TOT_ELAST_PROB TOT_INELAST_PROB
 0.00000000E+00      0  0.10000000E+01  0.45121917E+00
 0.24315243E+00      1  0.10000000E+01  0.44976806E+00
 0.48630486E+00      2  0.10000000E+01  0.44688692E+00
 0.72945729E+00      3  0.10000000E+01  0.44261903E+00
 0.97260972E+00      4  0.10000000E+01  0.43703219E+00
 0.12157621E+01      5  0.10000000E+01  0.43022206E+00
 0.14589146E+01      6  0.10000000E+01  0.42231652E+00
 0.17020670E+01      7  0.10000000E+01  0.41348096E+00
 0.19452194E+01      8  0.10000000E+01  0.40392425E+00
 0.21883719E+01      9  0.10000000E+01  0.39390517E+00
 0.24315243E+01     10  0.10000000E+01  0.38373892E+00
 0.26746767E+01     11  0.10000000E+01  0.37380329E+00
 0.29178292E+01     12  0.10000000E+01  0.36454376E+00
 0.31609816E+01     13  0.10000000E+01  0.35647679E+00
 0.34041340E+01     14  0.10000000E+01  0.35019018E+00
 0.36472864E+01     15  0.10000000E+01  0.34633944E+00
 0.38904389E+01     16  0.10000000E+01  0.34563842E+00
 0.41335913E+01     17  0.10000000E+01  0.34884314E+00
 0.43767437E+01     18  0.10000000E+01  0.35672751E+00
 0.46198962E+01     19  0.10000000E+01  0.37002815E+00
 0.48630486E+01     20  0.10000000E+01  0.38940039E+00
 0.51062010E+01     21  0.10000000E+01  0.41536846E+00
 0.53493534E+01     22  0.10000000E+01  0.44825567E+00
 0.55925059E+01     23  0.10000000E+01  0.48810413E+00
 0.58356583E+01     24  0.10000000E+01  0.53458355E+00
 0.60788107E+01     25  0.10000000E+01  0.58689868E+00
 0.63219632E+01     26  0.10000000E+01  0.64375418E+00
 0.65651156E+01     27  0.10000000E+01  0.70332042E+00
 0.68082680E+01     28  0.10000000E+01  0.76322983E+00
 0.70514205E+01     29  0.10000000E+01  0.82061902E+00
 0.72945729E+01     30  0.10000000E+01  0.87232689E+00
 0.75377253E+01     31  0.10000000E+01  0.91505151E+00
 0.77808777E+01     32  0.10000000E+01  0.94541109E+00
 0.80240302E+01     33  0.10000000E+01  0.95982156E+00
 0.82671826E+01     34  0.10000000E+01  0.95357837E+00
 0.85103350E+01     35  0.10000000E+01  0.91847004E+00
 0.87534875E+01     36  0.10000000E+01  0.83942089E+00
 0.89966399E+01     37  0.10000000E+01  0.69729835E+00
 0.92397923E+01     38  0.10000000E+01  0.50661126E+00
 0.94829447E+01     39  0.10000000E+01  0.36663123E+00
 0.97260972E+01     40  0.10000000E+01  0.54888309E+00
 0.99692496E+01     41  0.10000000E+01  0.96050165E+00
 0.10212402E+02     42  0.10000000E+01  0.62999158E+00
 0.10455554E+02     43  0.10000000E+01  0.41470780E+00
 0.10698707E+02     44  0.10000000E+01  0.28346047E+00
 0.10941859E+02     45  0.10000000E+01  0.19973502E+00
 0.11185012E+02     46  0.10000000E+01  0.14409405E+00
 0.11428164E+02     47  0.10000000E+01  0.10589359E+00
 0.11671317E+02     48  0.10000000E+01  0.78980124E-01
 0.11914469E+02     49  0.10000000E+01  0.59619594E-01
 0.12157621E+02     50  0.10000000E+01  0.45452791E-01
 0.12400774E+02     51  0.10000000E+01  0.34938534E-01
 0.12643926E+02     52  0.10000000E+01  0.27041587E-01
 0.12887079E+02     53  0.10000000E+01  0.21050071E-01
 0.13130231E+02     54  0.10000000E+01  0.16464631E-01
 0.13373384E+02     55  0.10000000E+01  0.12928949E-01
 0.13616536E+02     56  0.10000000E+01  0.10184990E-01
 0.13859688E+02     57  0.10000000E+01  0.80434741E-02
 0.14102841E+02     58  0.10000000E+01  0.63639758E-02
 0.14345993E+02     59  0.10000000E+01  0.50412709E-02
 0.14589146E+02     60  0.10000000E+01  0.39958071E-02
 0.14832298E+02     61  0.10000000E+01  0.31669619E-02
 0.15075451E+02     62  0.10000000E+01  0.25082055E-02
 0.15318603E+02     63  0.10000000E+01  0.19835939E-02
 0.15561755E+02     64  0.10000000E+01  0.15651960E-02
 0.15804908E+02     65  0.10000000E+01  0.12311913E-02
 0.16048060E+02     66  0.10000000E+01  0.96444956E-03
 0.16291213E+02     67  0.10000000E+01  0.75146338E-03
 0.16534365E+02     68  0.10000000E+01  0.58153977E-03
 0.16777518E+02     69  0.10000000E+01  0.44618486E-03
 0.17020670E+02     70  0.10000000E+01  0.33863259E-03
 0.17263822E+02     71  0.10000000E+01  0.25348185E-03
 0.17506975E+02     72  0.10000000E+01  0.18641564E-03
 0.17750127E+02     73  0.10000000E+01  0.13398202E-03
 0.17993280E+02     74  0.10000000E+01  0.93421596E-04
 0.18236432E+02     75  0.10000000E+01  0.62529183E-04
 0.18479585E+02     76  0.10000000E+01  0.39539766E-04
 0.18722737E+02     77  0.10000000E+01  0.23029996E-04
 0.18965889E+02     78  0.10000000E+01  0.11827318E-04
 0.19209042E+02     79  0.10000000E+01  0.49188490E-05
 0.19452194E+02     80  0.10000000E+01  0.13516965E-05
 0.19695347E+02     81  0.10000000E+01  0.11538153E-06
 0.19938499E+02     82  0.10000000E+01  0.00000000E+00
 
