#iR    R_COM(iR)
  1  0.200000000000E+01
  2  0.221176470588E+01
  3  0.242352941176E+01
  4  0.263529411765E+01
  5  0.284705882353E+01
  6  0.305882352941E+01
  7  0.327058823529E+01
  8  0.348235294118E+01
  9  0.369411764706E+01
 10  0.390588235294E+01
 11  0.411764705882E+01
 12  0.432941176471E+01
 13  0.454117647059E+01
 14  0.475294117647E+01
 15  0.496470588235E+01
 16  0.517647058824E+01
 17  0.538823529412E+01
 18  0.560000000000E+01
 19  0.581176470588E+01
 20  0.602352941176E+01
 21  0.623529411765E+01
 22  0.644705882353E+01
 23  0.665882352941E+01
 24  0.687058823529E+01
 25  0.708235294118E+01
 26  0.729411764706E+01
 27  0.750588235294E+01
 28  0.771764705882E+01
 29  0.792941176471E+01
 30  0.814117647059E+01
 31  0.835294117647E+01
 32  0.856470588235E+01
 33  0.877647058824E+01
 34  0.898823529412E+01
 35  0.920000000000E+01
 36  0.941176470588E+01
 37  0.962352941176E+01
 38  0.983529411765E+01
 39  0.100470588235E+02
 40  0.102588235294E+02
 41  0.104705882353E+02
 42  0.106823529412E+02
 43  0.108941176471E+02
 44  0.111058823529E+02
 45  0.113176470588E+02
 46  0.115294117647E+02
 47  0.117411764706E+02
 48  0.119529411765E+02
 49  0.121647058824E+02
 50  0.123764705882E+02
 51  0.125882352941E+02
 52  0.128000000000E+02
 53  0.130117647059E+02
 54  0.132235294118E+02
 55  0.134352941176E+02
 56  0.136470588235E+02
 57  0.138588235294E+02
 58  0.140705882353E+02
 59  0.142823529412E+02
 60  0.144941176471E+02
 61  0.147058823529E+02
 62  0.149176470588E+02
 63  0.151294117647E+02
 64  0.153411764706E+02
 65  0.155529411765E+02
 66  0.157647058824E+02
 67  0.159764705882E+02
 68  0.161882352941E+02
 69  0.164000000000E+02
 70  0.166117647059E+02
 71  0.168235294118E+02
 72  0.170352941176E+02
 73  0.172470588235E+02
 74  0.174588235294E+02
 75  0.176705882353E+02
 76  0.178823529412E+02
 77  0.180941176471E+02
 78  0.183058823529E+02
 79  0.185176470588E+02
 80  0.187294117647E+02
 81  0.189411764706E+02
 82  0.191529411765E+02
 83  0.193647058824E+02
 84  0.195764705882E+02
 85  0.197882352941E+02
 86  0.200000000000E+02
