energy#1, (U= 100.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   0   0.00000000E+00      0.31415927E+01      -0.36567579E+02        0.12148604E+06      0.11052167E-03      0.19977864E-07       0       0
   1   0.39763452E+00      0.29958455E+01      -0.33498860E+02        0.12155533E+06      0.27712365E-03      0.19771540E-07       0       0
   2   0.79526904E+00      0.28888916E+01      -0.30556491E+02        0.12169389E+06      0.18510443E-03      0.19363045E-07       0       0
   3   0.11929036E+01      0.27836651E+01      -0.27720213E+02        0.12188442E+06      0.10221520E-03      0.18762947E-07       0       0
   4   0.15905381E+01      0.26785470E+01      -0.24989107E+02        0.12214422E+06      0.10219423E-03      0.17981705E-07       0       0
   5   0.19881726E+01      0.25729868E+01      -0.22363340E+02        0.12247331E+06      0.20650980E-03      0.17038704E-07       0       0
   6   0.23858071E+01      0.24666565E+01      -0.19843518E+02        0.12287168E+06      0.10191375E-03      0.15952573E-07       0       0
   7   0.27834417E+01      0.23592901E+01      -0.17430545E+02        0.12335666E+06      0.26067542E-03      0.14750068E-07       0       0
   8   0.31810762E+01      0.22506355E+01      -0.15125582E+02        0.12391091E+06      0.18051791E-03      0.13454660E-07       0       0
   9   0.35787107E+01      0.21404332E+01      -0.12930048E+02        0.12455177E+06      0.23270676E-03      0.12095591E-07       0       0
  10   0.39763452E+01      0.20284056E+01      -0.10845628E+02        0.12527923E+06      0.22895493E-03      0.10703882E-07       0       0
  11   0.43739797E+01      0.19142468E+01      -0.88743021E+01        0.12611062E+06      0.14524087E-03      0.93108632E-08       0       0
  12   0.47716143E+01      0.17976155E+01      -0.70183710E+01        0.12702861E+06      0.10089109E-03      0.79452223E-08       0       0
  13   0.51692488E+01      0.16781233E+01      -0.52805015E+01        0.12806784E+06      0.10081425E-03      0.66349815E-08       0       0
  14   0.55668833E+01      0.15553243E+01      -0.36637777E+01        0.12922831E+06      0.10040474E-03      0.54063864E-08       0       0
  15   0.59645178E+01      0.14286933E+01      -0.21717690E+01        0.13051003E+06      0.10012968E-03      0.42818638E-08       0       0
  16   0.63621524E+01      0.12975614E+01      -0.80864158E+00        0.13196495E+06      0.21736825E-03      0.32761349E-08       0       0
  17   0.67597869E+01      0.11610617E+01       0.42066996E+00        0.13359308E+06      0.24283564E-03      0.24044988E-08       0       0
  18   0.71574214E+01      0.10182193E+01       0.15103104E+01        0.13542905E+06      0.99217811E-04      0.16780577E-08       0       0
  19   0.75550559E+01      0.86788046E+00       0.24533603E+01        0.13749019E+06      0.98838785E-04      0.10993428E-08       0       0
  20   0.79526904E+01      0.70864578E+00       0.32416234E+01        0.13984578E+06      0.98458479E-04      0.66360251E-09       0       0
