#iR    R_COM(iR)
  1  0.300000000000E+01
  2  0.327272727273E+01
  3  0.354545454545E+01
  4  0.381818181818E+01
  5  0.409090909091E+01
  6  0.436363636364E+01
  7  0.463636363636E+01
  8  0.490909090909E+01
  9  0.518181818182E+01
 10  0.545454545455E+01
 11  0.572727272727E+01
 12  0.600000000000E+01
 13  0.627272727273E+01
 14  0.654545454545E+01
 15  0.681818181818E+01
 16  0.709090909091E+01
 17  0.736363636364E+01
 18  0.763636363636E+01
 19  0.790909090909E+01
 20  0.818181818182E+01
 21  0.845454545455E+01
 22  0.872727272727E+01
 23  0.900000000000E+01
 24  0.927272727273E+01
 25  0.954545454545E+01
 26  0.981818181818E+01
 27  0.100909090909E+02
 28  0.103636363636E+02
 29  0.106363636364E+02
 30  0.109090909091E+02
 31  0.111818181818E+02
 32  0.114545454545E+02
 33  0.117272727273E+02
 34  0.120000000000E+02
 35  0.122727272727E+02
 36  0.125454545455E+02
 37  0.128181818182E+02
 38  0.130909090909E+02
 39  0.133636363636E+02
 40  0.136363636364E+02
 41  0.139090909091E+02
 42  0.141818181818E+02
 43  0.144545454545E+02
 44  0.147272727273E+02
 45  0.150000000000E+02
 46  0.152727272727E+02
 47  0.155454545455E+02
 48  0.158181818182E+02
 49  0.160909090909E+02
 50  0.163636363636E+02
 51  0.166363636364E+02
 52  0.169090909091E+02
 53  0.171818181818E+02
 54  0.174545454545E+02
 55  0.177272727273E+02
 56  0.180000000000E+02
 57  0.182727272727E+02
 58  0.185454545455E+02
 59  0.188181818182E+02
 60  0.190909090909E+02
 61  0.193636363636E+02
 62  0.196363636364E+02
 63  0.199090909091E+02
 64  0.201818181818E+02
 65  0.204545454545E+02
 66  0.207272727273E+02
 67  0.210000000000E+02
 68  0.212727272727E+02
 69  0.215454545455E+02
 70  0.218181818182E+02
 71  0.220909090909E+02
 72  0.223636363636E+02
 73  0.226363636364E+02
 74  0.229090909091E+02
 75  0.231818181818E+02
 76  0.234545454545E+02
 77  0.237272727273E+02
 78  0.240000000000E+02
 79  0.242727272727E+02
 80  0.245454545455E+02
 81  0.248181818182E+02
 82  0.250909090909E+02
 83  0.253636363636E+02
 84  0.256363636364E+02
 85  0.259090909091E+02
 86  0.261818181818E+02
 87  0.264545454545E+02
 88  0.267272727273E+02
 89  0.270000000000E+02
 90  0.272727272727E+02
 91  0.275454545455E+02
 92  0.278181818182E+02
 93  0.280909090909E+02
 94  0.283636363636E+02
 95  0.286363636364E+02
 96  0.289090909091E+02
 97  0.291818181818E+02
 98  0.294545454545E+02
 99  0.297272727273E+02
100  0.300000000000E+02
