energy#1, (U= 100.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   0   0.00000000E+00      0.31415927E+01      -0.36567758E+02        0.12150336E+06      0.55111710E+01      0.41030198E-03       0       0
   1   0.39763452E+00      0.29958456E+01      -0.33499039E+02        0.12157265E+06      0.55004297E+01      0.40164943E-03       0       0
   2   0.79526904E+00      0.28888916E+01      -0.30556670E+02        0.12171121E+06      0.54796762E+01      0.38481456E-03       0       0
   3   0.11929036E+01      0.27836653E+01      -0.27720392E+02        0.12190174E+06      0.54503346E+01      0.36070197E-03       0       0
   4   0.15905381E+01      0.26785471E+01      -0.24989286E+02        0.12216154E+06      0.54148931E+01      0.33058250E-03       0       0
   5   0.19881726E+01      0.25729868E+01      -0.22363519E+02        0.12249063E+06      0.53771385E+01      0.29599794E-03       0       0
   6   0.23858071E+01      0.24666573E+01      -0.19843697E+02        0.12288900E+06      0.53423751E+01      0.25864718E-03       0       0
   7   0.27834417E+01      0.23592904E+01      -0.17430723E+02        0.12337398E+06      0.53177857E+01      0.22026406E-03       0       0
   8   0.31810762E+01      0.22506365E+01      -0.15125759E+02        0.12392824E+06      0.53126018E+01      0.18249665E-03       0       0
   9   0.35787107E+01      0.21404332E+01      -0.12930225E+02        0.12456909E+06      0.53380673E+01      0.14679891E-03       0       0
  10   0.39763452E+01      0.20284064E+01      -0.10845805E+02        0.12529656E+06      0.54066158E+01      0.11434372E-03       0       0
  11   0.43739797E+01      0.19142468E+01      -0.88744781E+01        0.12612794E+06      0.55304569E+01      0.85964985E-04       0       0
  12   0.47716143E+01      0.17976170E+01      -0.70185463E+01        0.12704593E+06      0.57192413E+01      0.62131134E-04       0       0
  13   0.51692488E+01      0.16781250E+01      -0.52806752E+01        0.12808516E+06      0.59764228E+01      0.42953126E-04       0       0
  14   0.55668833E+01      0.15553243E+01      -0.36639506E+01        0.12924563E+06      0.62947902E+01      0.28225323E-04       0       0
  15   0.59645178E+01      0.14286930E+01      -0.21719420E+01        0.13052735E+06      0.66506712E+01      0.17490322E-04       0       0
  16   0.63621524E+01      0.12975634E+01      -0.80881378E+00        0.13198227E+06      0.69987322E+01      0.10123364E-04       0       0
  17   0.67597869E+01      0.11610631E+01       0.42049948E+00        0.13361040E+06      0.72712398E+01      0.54107736E-05       0       0
  18   0.71574214E+01      0.10182215E+01       0.15101418E+01        0.13544637E+06      0.73848192E+01      0.26305952E-05       0       0
  19   0.75550559E+01      0.86788204E+00       0.24531936E+01        0.13750751E+06      0.72475562E+01      0.11440397E-05       0       0
  20   0.79526904E+01      0.70864828E+00       0.32414587E+01        0.13986310E+06      0.67757962E+01      0.44063796E-06       0       0
  21   0.83503250E+01      0.53832554E+00       0.38649456E+01        0.14256510E+06      0.59322468E+01      0.15491128E-06       0       0
  22   0.87479595E+01      0.35428581E+00       0.43112513E+01        0.14570011E+06      0.47556553E+01      0.56369598E-07       0       0
  23   0.91455940E+01      0.15427904E+00       0.45655337E+01        0.14937206E+06      0.33705994E+01      0.24419311E-07       0       0
  24   0.95432285E+01     -0.64556576E-01       0.46103949E+01        0.15368487E+06      0.20244156E+01      0.11192591E-07       0       0
  25   0.99408631E+01     -0.29629263E+00       0.44299703E+01        0.15865585E+06      0.11223197E+01      0.42281512E-08       0       0
  26   0.10338498E+02     -0.49917186E+00       0.40322381E+01        0.16350560E+06      0.72246274E+00      0.11924683E-08       0       0
  27   0.10736132E+02     -0.54289141E+00       0.35112065E+01        0.16502980E+06      0.50663812E+00      0.24089619E-09       0       0
  28   0.11133767E+02     -0.40225550E+00       0.30386330E+01        0.16160034E+06      0.22956496E+00      0.39113157E-10       0       0
  29   0.11531401E+02     -0.25440794E+00       0.27103013E+01        0.15723557E+06      0.76392522E-01      0.69722006E-11       0       0
  30   0.11929036E+02     -0.15390327E+00       0.25061457E+01        0.15368487E+06      0.18801506E-01      0.21538327E-11       0       0
  31   0.12326670E+02     -0.90421588E-01       0.23839833E+01        0.15093091E+06      0.91982779E-02      0.16653345E-11       0       0
  32   0.12724305E+02     -0.51429315E-01       0.23130578E+01        0.14874852E+06      0.14049820E-01      0.44408921E-12       0       0
  33   0.13121939E+02     -0.28725961E-01       0.22729802E+01        0.14698183E+06      0.22905412E-01      0.45519144E-12       0       0
  34   0.13519574E+02     -0.17148628E-01       0.22500429E+01        0.14552691E+06      0.30124022E-01      0.59952043E-12       0       0
  35   0.13917208E+02     -0.13315006E-01       0.22348111E+01        0.14426251E+06      0.34503685E-01      0.79936058E-12       0       0
  36   0.14314843E+02     -0.14923995E-01       0.22206916E+01        0.14315400E+06      0.36040225E-01      0.94368957E-12       0       0
  37   0.14712477E+02     -0.20319369E-01       0.22030699E+01        0.14218405E+06      0.35216959E-01      0.73274720E-12       0       0
  38   0.15110112E+02     -0.28265249E-01       0.21787776E+01        0.14126606E+06      0.32704601E-01      0.72164497E-12       0       0
  39   0.15507746E+02     -0.37811266E-01       0.21457393E+01        0.14041736E+06      0.29213011E-01      0.33306691E-12       0       0
  40   0.15905381E+02     -0.48205681E-01       0.21027308E+01        0.13956865E+06      0.25402656E-01      0.10547119E-11       0       0
  41   0.16303015E+02     -0.58850975E-01       0.20492025E+01        0.13871995E+06      0.21827214E-01      0.71054274E-12       0       0
  42   0.16700650E+02     -0.69256315E-01       0.19851489E+01        0.13783660E+06      0.18898468E-01      0.67723605E-12       0       0
  43   0.17098284E+02     -0.79008168E-01       0.19110166E+01        0.13691862E+06      0.16876678E-01      0.39968029E-12       0       0
  44   0.17495919E+02     -0.87775536E-01       0.18276248E+01        0.13591403E+06      0.15889880E-01      0.44408921E-12       0       0
  45   0.17893553E+02     -0.95249277E-01       0.17361124E+01        0.13484016E+06      0.15976406E-01      0.39968029E-12       0       0
  46   0.18291188E+02     -0.10121203E+00       0.16378817E+01        0.13364504E+06      0.17118142E-01      0.44408921E-12       0       0
  47   0.18688823E+02     -0.10547134E+00       0.15345400E+01        0.13232868E+06      0.19158693E-01      0.39968029E-12       0       0
  48   0.19086457E+02     -0.10797202E+00       0.14278183E+01        0.13089108E+06      0.21593087E-01      0.36637360E-12       0       0
  49   0.19484092E+02     -0.10869740E+00       0.13194836E+01        0.12929759E+06      0.23731060E-01      0.37747583E-12       0       0
  50   0.19881726E+02     -0.10776829E+00       0.12112508E+01        0.12754822E+06      0.25116302E-01      0.26645353E-12       0       0
  51   0.20279361E+02     -0.10535142E+00       0.11046909E+01        0.12564297E+06      0.25570640E-01      0.26645353E-12       0       0
  52   0.20676995E+02     -0.10167533E+00       0.10011776E+01        0.12358183E+06      0.25128261E-01      0.46629367E-12       0       0
  53   0.21074630E+02     -0.97008113E-01       0.90183585E+00        0.12136480E+06      0.23837542E-01      0.58841820E-12       0       0
  54   0.21472264E+02     -0.91599236E-01       0.80753217E+00        0.11902653E+06      0.21943997E-01      0.39968029E-12       0       0
  55   0.21869899E+02     -0.85694561E-01       0.71888528E+00        0.11653238E+06      0.19638779E-01      0.26645353E-12       0       0
  56   0.22267533E+02     -0.79522664E-01       0.63627666E+00        0.11391698E+06      0.17134048E-01      0.53290705E-12       0       0
  57   0.22665168E+02     -0.73255300E-01       0.55988768E+00        0.11118034E+06      0.14644667E-01      0.59952043E-12       0       0
  58   0.23062802E+02     -0.67050422E-01       0.48973482E+00        0.10830514E+06      0.12166931E-01      0.42188475E-12       0       0
  59   0.23460437E+02     -0.61007657E-01       0.42570578E+00        0.10530869E+06      0.99250071E-02      0.32196468E-12       0       0
  60   0.23858071E+02     -0.55219554E-01       0.36759218E+00        0.10219100E+06      0.80133765E-02      0.36637360E-12       0       0
  61   0.24255706E+02     -0.49740440E-01       0.31511218E+00        0.98934742E+05      0.62104770E-02      0.44408921E-12       0       0
  62   0.24653340E+02     -0.44578276E-01       0.26795282E+00        0.95522602E+05      0.48417355E-02      0.37747583E-12       0       0
  63   0.25050975E+02     -0.39774204E-01       0.22577658E+00        0.91954577E+05      0.35538092E-02      0.19984014E-12       0       0
  64   0.25448609E+02     -0.35319444E-01       0.18822976E+00        0.88213348E+05      0.26689695E-02      0.43298698E-12       0       0
  65   0.25846244E+02     -0.31195405E-01       0.15497233E+00        0.84264272E+05      0.18288684E-02      0.19984014E-12       0       0
  66   0.26243878E+02     -0.27403718E-01       0.12567277E+00        0.80090029E+05      0.12721954E-02      0.24424907E-12       0       0
  67   0.26641513E+02     -0.23915728E-01       0.10001305E+00        0.75655979E+05      0.81312797E-03      0.35527137E-12       0       0
  68   0.27039148E+02     -0.20700143E-01       0.77705112E-01        0.70892840E+05      0.51774884E-03      0.59952043E-12       0       0
  69   0.27436782E+02     -0.17737437E-01       0.58486322E-01        0.65748649E+05      0.29822821E-03      0.36637360E-12       0       0
  70   0.27834417E+02     -0.14971838E-01       0.42131685E-01        0.60102163E+05      0.13739250E-03      0.32196468E-12       0       0
  71   0.28232051E+02     -0.12397888E-01       0.28446822E-01        0.53832139E+05      0.63728004E-04      0.35527137E-12       0       0
  72   0.28629686E+02     -0.99332961E-02       0.17281230E-01        0.46626808E+05      0.29242652E-04      0.18873791E-12       0       0
  73   0.29027320E+02     -0.74834308E-02       0.85728669E-02        0.38001195E+05      0.49512551E-04      0.28865799E-12       0       0
  74   0.29424955E+02     -0.48311515E-02       0.24155757E-02        0.26586980E+05      0.16192014E-04      0.13322676E-12       0       0
  75   0.29822589E+02      0.00000000E+00       0.00000000E+00        0.00000000E+00      0.00000000E+00      0.00000000E+00       0       0
 
