STATE= 1
j12= 0
m12= 0
ENERGY#1, U(i)= 100.000 cm^-1
B_IMPACT            L   TOT_ELAST_PROB TOT_INELAST_PROB
 0.00000000E+00      0  0.99999590E+00  0.30632667E+00
 0.39763452E+00      1  0.99999598E+00  0.31172987E+00
 0.79526904E+00      2  0.99999615E+00  0.32266420E+00
 0.11929036E+01      3  0.99999639E+00  0.33935033E+00
 0.15905381E+01      4  0.99999669E+00  0.36202843E+00
 0.19881726E+01      5  0.99999704E+00  0.39084242E+00
 0.23858071E+01      6  0.99999741E+00  0.42567836E+00
 0.27834417E+01      7  0.99999780E+00  0.46595936E+00
 0.31810762E+01      8  0.99999818E+00  0.51041137E+00
 0.35787107E+01      9  0.99999853E+00  0.55683548E+00
 0.39763452E+01     10  0.99999886E+00  0.60195223E+00
 0.43739797E+01     11  0.99999914E+00  0.64141965E+00
 0.47716143E+01     12  0.99999938E+00  0.67016119E+00
 0.51692488E+01     13  0.99999957E+00  0.68315141E+00
 0.55668833E+01     14  0.99999972E+00  0.67676203E+00
 0.59645178E+01     15  0.99999983E+00  0.65061388E+00
 0.63621524E+01     16  0.99999990E+00  0.60956094E+00
 0.67597869E+01     17  0.99999995E+00  0.56443761E+00
 0.71574214E+01     18  0.99999997E+00  0.52946159E+00
 0.75550559E+01     19  0.99999999E+00  0.51664219E+00
 0.79526904E+01     20  0.10000000E+01  0.52707610E+00
 0.83503250E+01     21  0.10000000E+01  0.54282101E+00
 0.87479595E+01     22  0.10000000E+01  0.53078774E+00
 0.91455940E+01     23  0.10000000E+01  0.46727375E+00
 0.95432285E+01     24  0.10000000E+01  0.37799356E+00
 0.99408631E+01     25  0.10000000E+01  0.33761655E+00
 0.10338498E+02     26  0.10000000E+01  0.36596360E+00
 0.10736132E+02     27  0.10000000E+01  0.31477949E+00
 0.11133767E+02     28  0.10000000E+01  0.14686902E+00
 0.11531401E+02     29  0.10000000E+01  0.40169713E-01
 0.11929036E+02     30  0.10000000E+01  0.63983369E-02
 0.12326670E+02     31  0.10000000E+01  0.28032440E-02
 0.12724305E+02     32  0.10000000E+01  0.77707015E-02
 0.13121939E+02     33  0.10000000E+01  0.13387842E-01
 0.13519574E+02     34  0.10000000E+01  0.17160931E-01
 0.13917208E+02     35  0.10000000E+01  0.18596073E-01
 0.14314843E+02     36  0.10000000E+01  0.17945351E-01
 0.14712477E+02     37  0.10000000E+01  0.15746685E-01
 0.15110112E+02     38  0.10000000E+01  0.12643117E-01
 0.15507746E+02     39  0.10000000E+01  0.92925638E-02
 0.15905381E+02     40  0.10000000E+01  0.63027166E-02
 0.16303015E+02     41  0.10000000E+01  0.41723190E-02
 0.16700650E+02     42  0.10000000E+01  0.32382569E-02
 0.17098284E+02     43  0.10000000E+01  0.36379520E-02
 0.17495919E+02     44  0.10000000E+01  0.52967305E-02
 0.17893553E+02     45  0.10000000E+01  0.79484912E-02
 0.18291188E+02     46  0.10000000E+01  0.11190245E-01
 0.18688823E+02     47  0.10000000E+01  0.14559928E-01
 0.19086457E+02     48  0.10000000E+01  0.17618955E-01
 0.19484092E+02     49  0.10000000E+01  0.20020401E-01
 0.19881726E+02     50  0.10000000E+01  0.21549734E-01
 0.20279361E+02     51  0.10000000E+01  0.22133839E-01
 0.20676995E+02     52  0.10000000E+01  0.21823132E-01
 0.21074630E+02     53  0.10000000E+01  0.20756820E-01
 0.21472264E+02     54  0.10000000E+01  0.19122740E-01
 0.21869899E+02     55  0.10000000E+01  0.17121105E-01
 0.22267533E+02     56  0.10000000E+01  0.14937428E-01
 0.22665168E+02     57  0.10000000E+01  0.12726251E-01
 0.23062802E+02     58  0.10000000E+01  0.10604427E-01
 0.23460437E+02     59  0.10000000E+01  0.86514145E-02
 0.23858071E+02     60  0.10000000E+01  0.69138709E-02
 0.24255706E+02     61  0.10000000E+01  0.54121564E-02
 0.24653340E+02     62  0.10000000E+01  0.41471953E-02
 0.25050975E+02     63  0.10000000E+01  0.31066727E-02
 0.25448609E+02     64  0.10000000E+01  0.22701583E-02
 0.25846244E+02     65  0.10000000E+01  0.16130277E-02
 0.26243878E+02     66  0.10000000E+01  0.11092855E-02
 0.26641513E+02     67  0.10000000E+01  0.73346447E-03
 0.27039148E+02     68  0.10000000E+01  0.46180190E-03
 0.27436782E+02     69  0.10000000E+01  0.27288459E-03
 0.27834417E+02     70  0.10000000E+01  0.14791931E-03
 0.28232051E+02     71  0.10000000E+01  0.70754703E-04
 0.28629686E+02     72  0.10000000E+01  0.27748568E-04
 0.29027320E+02     73  0.10000000E+01  0.75470290E-05
 0.29424955E+02     74  0.10000000E+01  0.82109054E-06
 0.29822589E+02     75  0.10000000E+01  0.00000000E+00
 
