COLLISION_TYPE= 4
NUMBER_OF_CHANLS=    9
NUMBER_OF_STATES=     35
MATRIX_SIZE=       147
R_GRID_SIZE=    2
  #STATE #CHANNEL J12 M12   J  KA  KC
       1        1   0   0   0   0   0
       2        2   1  -1   1   0   1
       3        2   1   0   1   0   1
       4        2   1   1   1   0   1
       5        3   1  -1   1   1   1
       6        3   1   0   1   1   1
       7        3   1   1   1   1   1
       8        4   1  -1   1   1   0
       9        4   1   0   1   1   0
      10        4   1   1   1   1   0
      11        5   2  -2   2   0   2
      12        5   2  -1   2   0   2
      13        5   2   0   2   0   2
      14        5   2   1   2   0   2
      15        5   2   2   2   0   2
      16        6   2  -2   2   1   2
      17        6   2  -1   2   1   2
      18        6   2   0   2   1   2
      19        6   2   1   2   1   2
      20        6   2   2   2   1   2
      21        7   2  -2   2   1   1
      22        7   2  -1   2   1   1
      23        7   2   0   2   1   1
      24        7   2   1   2   1   1
      25        7   2   2   2   1   1
      26        8   2  -2   2   2   1
      27        8   2  -1   2   2   1
      28        8   2   0   2   2   1
      29        8   2   1   2   2   1
      30        8   2   2   2   2   1
      31        9   2  -2   2   2   0
      32        9   2  -1   2   2   0
      33        9   2   0   2   2   0
      34        9   2   1   2   2   0
      35        9   2   2   2   2   0
       MIJ_INDEX     ST_1     ST_2
               1        1        1
               2        2        2
               3        3        1
               4        3        3
               5        4        4
               6        5        2
               7        5        5
               8        6        1
               9        6        3
              10        6        6
              11        7        4
              12        7        7
              13        8        2
              14        8        5
              15        8        8
              16        9        1
              17        9        3
              18        9        6
              19        9        9
              20       10        4
              21       10        7
              22       10       10
              23       11       11
              24       12        2
              25       12        5
              26       12        8
              27       12       12
              28       13        1
              29       13        3
              30       13        6
              31       13        9
              32       13       13
              33       14        4
              34       14        7
              35       14       10
              36       14       14
              37       15       15
              38       16       11
              39       16       16
              40       17        2
              41       17        5
              42       17        8
              43       17       12
              44       17       17
              45       18        1
              46       18        3
              47       18        6
              48       18        9
              49       18       13
              50       18       18
              51       19        4
              52       19        7
              53       19       10
              54       19       14
              55       19       19
              56       20       15
              57       20       20
              58       21       11
              59       21       16
              60       21       21
              61       22        2
              62       22        5
              63       22        8
              64       22       12
              65       22       17
              66       22       22
              67       23        1
              68       23        3
              69       23        6
              70       23        9
              71       23       13
              72       23       18
              73       23       23
              74       24        4
              75       24        7
              76       24       10
              77       24       14
              78       24       19
              79       24       24
              80       25       15
              81       25       20
              82       25       25
              83       26       11
              84       26       16
              85       26       21
              86       26       26
              87       27        2
              88       27        5
              89       27        8
              90       27       12
              91       27       17
              92       27       22
              93       27       27
              94       28        1
              95       28        3
              96       28        6
              97       28        9
              98       28       13
              99       28       18
             100       28       23
             101       28       28
             102       29        4
             103       29        7
             104       29       10
             105       29       14
             106       29       19
             107       29       24
             108       29       29
             109       30       15
             110       30       20
             111       30       25
             112       30       30
             113       31       11
             114       31       16
             115       31       21
             116       31       26
             117       31       31
             118       32        2
             119       32        5
             120       32        8
             121       32       12
             122       32       17
             123       32       22
             124       32       27
             125       32       32
             126       33        1
             127       33        3
             128       33        6
             129       33        9
             130       33       13
             131       33       18
             132       33       23
             133       33       28
             134       33       33
             135       34        4
             136       34        7
             137       34       10
             138       34       14
             139       34       19
             140       34       24
             141       34       29
             142       34       34
             143       35       15
             144       35       20
             145       35       25
             146       35       30
             147       35       35
  #iR           R_COM(iR)
    1  0.600000000000E+01
    2  0.800000000000E+01
        #k_matel      #iR     Mij(iR,k_matel)
               1        1 -0.555032358215E-04
               1        2 -0.420170499939E-04
               2        1 -0.421901781501E-04
               2        2 -0.411222071664E-04
               3        1  0.000000000000E+00
               3        2  0.000000000000E+00
               4        1 -0.821293511642E-04
               4        2 -0.438067356488E-04
               5        1 -0.421901781501E-04
               5        2 -0.411222071664E-04
               6        1  0.000000000000E+00
               6        2  0.000000000000E+00
               7        1 -0.556976776939E-04
               7        2 -0.415774808635E-04
               8        1 -0.247713365479E-04
               8        2  0.326372712219E-05
               9        1  0.000000000000E+00
               9        2  0.000000000000E+00
              10        1 -0.551143520766E-04
              10        2 -0.428961882545E-04
              11        1  0.000000000000E+00
              11        2  0.000000000000E+00
              12        1 -0.556976776939E-04
              12        2 -0.415774808635E-04
              13        1 -0.214526067362E-04
              13        2  0.282647059883E-05
              14        1  0.000000000000E+00
              14        2  0.000000000000E+00
              15        1 -0.686218516204E-04
              15        2 -0.433514619517E-04
              16        1  0.000000000000E+00
              16        2  0.000000000000E+00
              17        1  0.000000000000E+00
              17        2  0.000000000000E+00
              18        1  0.000000000000E+00
              18        2  0.000000000000E+00
              19        1 -0.292660042235E-04
              19        2 -0.393482260782E-04
              20        1  0.214526067362E-04
              20        2 -0.282647059883E-05
              21        1  0.000000000000E+00
              21        2  0.000000000000E+00
              22        1 -0.686218516204E-04
              22        2 -0.433514619517E-04
              23        1 -0.353733817383E-04
              23        2 -0.403702317533E-04
              24        1  0.000000000000E+00
              24        2  0.000000000000E+00
              25        1 -0.172677704968E-04
              25        2  0.248974562062E-05
