#iR    R_COM(iR)
  1  0.450000000000E+01
  2  0.465656565657E+01
  3  0.481313131313E+01
  4  0.496969696970E+01
  5  0.512626262626E+01
  6  0.528282828283E+01
  7  0.543939393939E+01
  8  0.559595959596E+01
  9  0.575252525253E+01
 10  0.590909090909E+01
 11  0.606565656566E+01
 12  0.622222222222E+01
 13  0.637878787879E+01
 14  0.653535353535E+01
 15  0.669191919192E+01
 16  0.684848484848E+01
 17  0.700505050505E+01
 18  0.716161616162E+01
 19  0.731818181818E+01
 20  0.747474747475E+01
 21  0.763131313131E+01
 22  0.778787878788E+01
 23  0.794444444444E+01
 24  0.810101010101E+01
 25  0.825757575758E+01
 26  0.841414141414E+01
 27  0.857070707071E+01
 28  0.872727272727E+01
 29  0.888383838384E+01
 30  0.904040404040E+01
 31  0.919696969697E+01
 32  0.935353535354E+01
 33  0.951010101010E+01
 34  0.966666666667E+01
 35  0.982323232323E+01
 36  0.997979797980E+01
 37  0.101363636364E+02
 38  0.102929292929E+02
 39  0.104494949495E+02
 40  0.106060606061E+02
 41  0.107626262626E+02
 42  0.109191919192E+02
 43  0.110757575758E+02
 44  0.112323232323E+02
 45  0.113888888889E+02
 46  0.115454545455E+02
 47  0.117020202020E+02
 48  0.118585858586E+02
 49  0.120151515152E+02
 50  0.121717171717E+02
 51  0.123282828283E+02
 52  0.124848484848E+02
 53  0.126414141414E+02
 54  0.127979797980E+02
 55  0.129545454545E+02
 56  0.131111111111E+02
 57  0.132676767677E+02
 58  0.134242424242E+02
 59  0.135808080808E+02
 60  0.137373737374E+02
 61  0.138939393939E+02
 62  0.140505050505E+02
 63  0.142070707071E+02
 64  0.143636363636E+02
 65  0.145202020202E+02
 66  0.146767676768E+02
 67  0.148333333333E+02
 68  0.149898989899E+02
 69  0.151464646465E+02
 70  0.153030303030E+02
 71  0.154595959596E+02
 72  0.156161616162E+02
 73  0.157727272727E+02
 74  0.159292929293E+02
 75  0.160858585859E+02
 76  0.162424242424E+02
 77  0.163989898990E+02
 78  0.165555555556E+02
 79  0.167121212121E+02
 80  0.168686868687E+02
 81  0.170252525253E+02
 82  0.171818181818E+02
 83  0.173383838384E+02
 84  0.174949494949E+02
 85  0.176515151515E+02
 86  0.178080808081E+02
 87  0.179646464646E+02
 88  0.181212121212E+02
 89  0.182777777778E+02
 90  0.184343434343E+02
 91  0.185909090909E+02
 92  0.187474747475E+02
 93  0.189040404040E+02
 94  0.190606060606E+02
 95  0.192171717172E+02
 96  0.193737373737E+02
 97  0.195303030303E+02
 98  0.196868686869E+02
 99  0.198434343434E+02
100  0.200000000000E+02
