energy#1, (U= 50.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   0   0.00000000E+00      0.31415927E+01      -0.20028347E+02        0.27395093E+06      0.99992566E+02      0.40187609E-07       0       0
   1   0.56644441E+00      0.29054698E+01      -0.17004816E+02        0.27417139E+06      0.98546583E+02      0.39321901E-07       0       0
   2   0.11328888E+01      0.27315414E+01      -0.14186310E+02        0.27466128E+06      0.95660931E+02      0.37633141E-07       0       0
   3   0.16993332E+01      0.25593755E+01      -0.11540852E+02        0.27539613E+06      0.91348717E+02      0.35196224E-07       0       0
   4   0.22657777E+01      0.23858710E+01      -0.90682286E+01        0.27637593E+06      0.85633258E+02      0.32121239E-07       0       0
   5   0.28322221E+01      0.22095818E+01      -0.67705021E+01        0.27764966E+06      0.78554604E+02      0.28553049E-07       0       0
   6   0.33986665E+01      0.20293131E+01      -0.46510547E+01        0.27921734E+06      0.70152046E+02      0.24652480E-07       0       0
   7   0.39651109E+01      0.18438154E+01      -0.27144905E+01        0.28110344E+06      0.63754511E+02      0.20597657E-07       0       0
   8   0.45315553E+01      0.16516363E+01      -0.96676464E+00        0.28335697E+06      0.63754551E+02      0.16568236E-07       0       0
   9   0.50979997E+01      0.14509684E+01       0.58453769E+00        0.28605141E+06      0.63754294E+02      0.12732060E-07       0       0
  10   0.56644441E+01      0.12393919E+01       0.19297178E+01        0.28921125E+06      0.63754568E+02      0.92455155E-08       0       0
  11   0.62308886E+01      0.10136544E+01       0.30562410E+01        0.29295897E+06      0.63754378E+02      0.62466698E-08       0       0
  12   0.67973330E+01      0.76917593E+00       0.39476561E+01        0.29744154E+06      0.63754467E+02      0.38344439E-08       0       0
  13   0.73637774E+01      0.49894415E+00       0.45817161E+01        0.30290390E+06      0.63754480E+02      0.20512481E-08       0       0
  14   0.79302218E+01      0.19083169E+00       0.49266041E+01        0.30971348E+06      0.63754375E+02      0.88178354E-09       0       0
  15   0.84966662E+01     -0.17699029E+00       0.49335248E+01        0.31855614E+06      0.63754312E+02      0.25857094E-09       0       0
  16   0.90631106E+01     -0.65515218E+00       0.45174535E+01        0.33107303E+06      0.63754235E+02      0.36859404E-10       0       0
  17   0.96295551E+01     -0.14053799E+01       0.34871875E+01        0.35253056E+06      0.63589552E+02      0.19872992E-10       0       0
  18   0.10195999E+02     -0.13045824E+01       0.21322063E+01        0.35777247E+06      0.30694738E+02      0.81490370E-11       0       0
  19   0.10762444E+02     -0.49836896E+00       0.12307306E+01        0.33398793E+06      0.14102133E+02      0.13322676E-11       0       0
  20   0.11328888E+02     -0.28604425E+00       0.83852402E+00        0.32629653E+06      0.85849267E+01      0.11879386E-11       0       0
  21   0.11895333E+02     -0.18551284E+00       0.60274547E+00        0.32176497E+06      0.57376083E+01      0.99920072E-12       0       0
  22   0.12461777E+02     -0.12807362E+00       0.44595224E+00        0.31848266E+06      0.40346139E+01      0.33306691E-12       0       0
  23   0.13028222E+02     -0.91982021E-01       0.33592443E+00        0.31581271E+06      0.29339021E+01      0.42188475E-12       0       0
  24   0.13594666E+02     -0.67941915E-01       0.25596246E+00        0.31343671E+06      0.21866916E+01      0.87707619E-12       0       0
  25   0.14161110E+02     -0.51276405E-01       0.19635330E+00        0.31125666E+06      0.16616132E+01      0.69944051E-12       0       0
  26   0.14727555E+02     -0.39377009E-01       0.15102659E+00        0.30915010E+06      0.12828405E+01      0.85487173E-12       0       0
  27   0.15293999E+02     -0.30682243E-01       0.11599697E+00        0.30711702E+06      0.10038367E+01      0.12767565E-11       0       0
  28   0.15860444E+02     -0.24208237E-01       0.88551725E-01        0.30505945E+06      0.79473019E+00      0.91038288E-12       0       0
  29   0.16426888E+02     -0.19310651E-01       0.66792281E-01        0.30300188E+06      0.63567683E+00      0.13766766E-11       0       0
  30   0.16993332E+02     -0.15554513E-01       0.49359699E-01        0.30091981E+06      0.51312932E+00      0.53290705E-12       0       0
  31   0.17559777E+02     -0.12638903E-01       0.35262990E-01        0.29878876E+06      0.41762874E+00      0.93258734E-12       0       0
  32   0.18126221E+02     -0.10351342E-01       0.23767868E-01        0.29660871E+06      0.34244435E+00      0.51070259E-12       0       0
  33   0.18692666E+02     -0.85391489E-02       0.14322622E-01        0.29435518E+06      0.28270743E+00      0.64392935E-12       0       0
  34   0.19259110E+02     -0.70909178E-02       0.65075891E-02        0.29202817E+06      0.23484518E+00      0.61062266E-12       0       0
  35   0.19825555E+02     -0.59242604E-02       0.00000000E+00        0.28965216E+06      0.19620183E+00      0.10658141E-11       0       0
 
