STATE= 1
j12= 0
m12= 0
ENERGY#1, U(i)= 50.000 cm^-1
B_IMPACT            L   TOT_ELAST_PROB TOT_INELAST_PROB
 0.00000000E+00      0  0.10000000E+01  0.41022532E-02
 0.56644441E+00      1  0.10000000E+01  0.40569026E-02
 0.11328888E+01      2  0.10000000E+01  0.39666258E-02
 0.16993332E+01      3  0.10000000E+01  0.38322602E-02
 0.22657777E+01      4  0.10000000E+01  0.36550366E-02
 0.28322221E+01      5  0.10000000E+01  0.34365540E-02
 0.33986665E+01      6  0.10000000E+01  0.31787609E-02
 0.39651109E+01      7  0.10000000E+01  0.28839807E-02
 0.45315553E+01      8  0.10000000E+01  0.25550872E-02
 0.50979997E+01      9  0.10000000E+01  0.21963120E-02
 0.56644441E+01     10  0.10000000E+01  0.18153559E-02
 0.62308886E+01     11  0.10000000E+01  0.14197271E-02
 0.67973330E+01     12  0.10000000E+01  0.10187039E-02
 0.73637774E+01     13  0.10000000E+01  0.62906012E-03
 0.79302218E+01     14  0.10000000E+01  0.28414083E-03
 0.84966662E+01     15  0.10000000E+01  0.42407913E-04
 0.90631106E+01     16  0.10000000E+01  0.54678970E-04
 0.96295551E+01     17  0.10000000E+01  0.86467141E-03
 0.10195999E+02     18  0.10000000E+01  0.88471940E-03
 0.10762444E+02     19  0.10000000E+01  0.10283831E-03
 0.11328888E+02     20  0.10000000E+01  0.28264758E-04
 0.11895333E+02     21  0.10000000E+01  0.99858685E-05
 0.12461777E+02     22  0.10000000E+01  0.40078590E-05
 0.13028222E+02     23  0.10000000E+01  0.17457318E-05
 0.13594666E+02     24  0.10000000E+01  0.80704660E-06
 0.14161110E+02     25  0.10000000E+01  0.39086802E-06
 0.14727555E+02     26  0.10000000E+01  0.19662662E-06
 0.15293999E+02     27  0.10000000E+01  0.10210684E-06
 0.15860444E+02     28  0.10000000E+01  0.54479756E-07
 0.16426888E+02     29  0.10000000E+01  0.29756915E-07
 0.16993332E+02     30  0.10000000E+01  0.16589399E-07
 0.17559777E+02     31  0.10000000E+01  0.94170008E-08
 0.18126221E+02     32  0.10000000E+01  0.54319755E-08
 0.18692666E+02     33  0.10000000E+01  0.31785080E-08
 0.19259110E+02     34  0.10000000E+01  0.18839449E-08
 0.19825555E+02     35  0.10000000E+01  0.11296137E-08
 
