R_Bohr             v_0_0_0               v_1_0_1               v_1_1_0               v_1_1_2               v_2_0_2               v_2_1_1               v_2_1_3               v_2_2_0               v_2_2_2               v_2_2_4               v_3_0_3               v_3_1_2               v_3_1_4               v_3_2_1               v_3_2_3               v_3_2_5               v_3_3_0               v_3_3_2               v_3_3_4               v_3_3_6               v_4_0_4               v_4_1_3               v_4_1_5               v_4_2_2               v_4_2_4               v_4_2_6               v_4_3_1               v_4_3_3               v_4_3_5               v_4_3_7               v_4_4_0               v_4_4_2               v_4_4_4               v_4_4_6               v_4_4_8               v_5_0_5               v_5_1_4               v_5_1_6               v_5_2_3               v_5_2_5               v_5_2_7               v_5_3_2               v_5_3_4               v_5_3_6               v_5_3_8               v_5_4_1               v_5_4_3               v_5_4_5               v_5_4_7               v_5_4_9               v_5_5_0               v_5_5_2               v_5_5_4               v_5_5_6               v_5_5_8              v_5_5_10   
  5.00  0.452033793346E+00   -0.981641523068E-01   -0.361292140109E-01    0.493821637601E-01    0.226093620288E+00    0.953870243174E-02   -0.306025830707E-01    0.888515010803E-01   -0.603688801842E-01    0.706106598167E-02   -0.464712276569E-01   -0.234692362492E-01    0.237544297984E-01   -0.182192936154E-01   -0.181135834113E-02    0.165098334795E-01    0.149186687658E-02    0.423001718728E-02   -0.987297393359E-02    0.862447416952E-02    0.410614107544E-01    0.118877286945E-01   -0.142185698555E-01    0.318527914586E-01   -0.462367609841E-02   -0.928258837719E-02   -0.889629593683E-02   -0.839749615657E-03    0.634485518389E-02   -0.510733100645E-02    0.163837429020E-01   -0.106666813416E-01    0.629833094752E-03    0.405601983928E-02   -0.393036916894E-02   -0.582004388132E-02   -0.901159565630E-02    0.443017249149E-02   -0.450720364666E-02   -0.297001912609E-02    0.459796634082E-02   -0.183406927805E-02    0.449036405850E-02   -0.343631557127E-02   -0.805420075073E-03   -0.390116986540E-02   -0.570382529754E-03    0.309445163326E-02   -0.206764333424E-02   -0.384431092694E-03   -0.167844672667E-02    0.303901736089E-02   -0.395550868716E-02    0.264890718001E-02    0.488679187172E-03   -0.429824901886E-02   
  5.16  0.354312597209E+00   -0.982839277136E-01   -0.189824151889E-01    0.294308986979E-01    0.189063119518E+00   -0.671604360475E-02   -0.124105493609E-01    0.862205659281E-01   -0.595314426015E-01    0.204680923907E-01   -0.453469106599E-01   -0.112171828194E-01    0.121065039400E-01   -0.222939129759E-01    0.450509664628E-02    0.919508838812E-02    0.558315597200E-02   -0.953564593701E-03   -0.494202686772E-02    0.600313172701E-02    0.360827961951E-01    0.361760350099E-02   -0.731558343529E-02    0.301004169301E-01   -0.722999593815E-02   -0.516305873187E-02   -0.110138345715E-01    0.262640521084E-02    0.304761302283E-02   -0.397934899129E-02    0.150594143936E-01   -0.109216496075E-01    0.275798232120E-02    0.210257672352E-02   -0.365835897986E-02   -0.612155542622E-02   -0.447002044080E-02    0.312127681912E-02   -0.679004819535E-02   -0.647328111142E-03    0.397533616966E-02    0.194587229293E-02    0.135334659283E-02   -0.206763231377E-02    0.141816391422E-02   -0.537740841230E-02    0.191400089824E-02    0.126277701765E-02   -0.185817352544E-02    0.108085068549E-02    0.515511370986E-03    0.666784771263E-03   -0.170533201671E-02    0.105765035722E-02   -0.377201928836E-03   -0.300864406529E-03   
  5.32  0.273039145093E+00   -0.898067117125E-01   -0.765653422400E-02    0.155609692325E-01    0.154627512069E+00   -0.153772386620E-01   -0.110136667784E-02    0.751864948430E-01   -0.540416014139E-01    0.237770034497E-01   -0.411255811405E-01   -0.357849183785E-02    0.599978883774E-02   -0.229220793083E-01    0.769870001403E-02    0.437700302414E-02    0.732966939464E-02   -0.365705743641E-02   -0.188484364205E-02    0.405467834062E-02    0.306869612049E-01   -0.114647495565E-02   -0.344533983667E-02    0.266391656064E-01   -0.803595354710E-02   -0.248148512909E-02   -0.111248888285E-01    0.415251597540E-02    0.105690649806E-02   -0.296051804827E-02    0.128634749773E-01   -0.990199512064E-02    0.347784855939E-02    0.890800633868E-03   -0.303078789559E-02   -0.581110639619E-02   -0.169051282861E-02    0.211039497368E-02   -0.726133920787E-02    0.572910940007E-03    0.311624273151E-02    0.349715675337E-02   -0.246723248570E-03   -0.117158287041E-02    0.200666641210E-02   -0.547333823806E-02    0.271785277327E-02    0.195241951843E-03   -0.138244354321E-02    0.164372599865E-02    0.149749305121E-02   -0.610956535372E-03   -0.399997316511E-03    0.315027630336E-03   -0.613034496035E-03    0.123407602951E-02   
  5.48  0.206581103362E+00   -0.776263635029E-01   -0.558986081962E-03    0.630702357937E-02    0.123861530425E+00   -0.190133967444E-01    0.537855821473E-02    0.618563024360E-01   -0.465126552729E-01    0.225785968546E-01   -0.355209936605E-01    0.865407182983E-03    0.271398768451E-02   -0.215041665365E-01    0.885651365886E-02    0.135083646945E-02    0.764547030361E-02   -0.478095800698E-02   -0.101938259130E-03    0.263376586149E-02    0.253759775101E-01   -0.357254932273E-02   -0.128936013936E-02    0.225145295825E-01   -0.777361695383E-02   -0.816920606691E-03   -0.101387337565E-01    0.451586307201E-02   -0.603611292450E-04   -0.210194201393E-02    0.104365932199E-01   -0.834215615027E-02    0.342910751162E-02    0.187957167656E-03   -0.232211583453E-02   -0.517087099428E-02   -0.108999024362E-03    0.135940492135E-02   -0.675533980510E-02    0.111736850929E-02    0.227363532831E-02    0.379536834861E-02   -0.938799765381E-03   -0.604766464005E-03    0.187041946685E-02   -0.487754078937E-02    0.269453477044E-02   -0.350864863697E-03   -0.910816417129E-03    0.170046152951E-02    0.177117358103E-02   -0.116807607148E-02    0.272040316108E-03    0.276172122161E-06   -0.580846020728E-03    0.157646742728E-02   
  5.65  0.153165930800E+00   -0.645612432520E-01    0.354761928444E-02    0.467872674992E-03    0.972538935226E-01   -0.194957896212E-01    0.858353322972E-02    0.491553006368E-01   -0.385529174971E-01    0.196998536628E-01   -0.295943693853E-01    0.318048365974E-02    0.869673987047E-03   -0.190188782212E-01    0.876648019348E-02   -0.423993431941E-03    0.715586654235E-02   -0.495389714661E-02    0.841647766964E-03    0.162109085169E-02    0.204647843025E-01   -0.451370425346E-02   -0.106836868443E-03    0.183694873234E-01   -0.694402116537E-02    0.147900091389E-03   -0.865601139567E-02    0.424063246751E-02   -0.615756818534E-03   -0.141805592832E-02    0.814005404913E-02   -0.667681670258E-02    0.301310358121E-02   -0.180322304308E-03   -0.167237968609E-02   -0.439132943163E-02    0.689794478814E-03    0.823044384626E-03   -0.580225114480E-02    0.126867283319E-02    0.156073649331E-02    0.346288802470E-02   -0.112778408719E-02   -0.262379865723E-03    0.148394012873E-02   -0.401351579770E-02    0.232040150993E-02   -0.567218204057E-03   -0.540635806230E-03    0.150283944824E-02    0.166678162223E-02   -0.128695781410E-02    0.546514003339E-03   -0.110754684885E-03   -0.459085791592E-03    0.141364620879E-02   
  5.83  0.110990506706E+00   -0.521256501469E-01    0.560707659275E-02   -0.291990571657E-02    0.748769243119E-01   -0.181495733609E-01    0.966410650212E-02    0.382377878807E-01   -0.310644508083E-01    0.164602281779E-01   -0.239593415256E-01    0.413968204081E-02   -0.202045086879E-03   -0.161210630637E-01    0.798172252611E-02   -0.135371841575E-02    0.627333144978E-02   -0.460141619242E-02    0.125440407901E-02    0.919540844301E-03    0.161273314920E-01   -0.457205535305E-02    0.514075256163E-03    0.145655174285E-01   -0.587606237768E-02    0.647260164215E-03   -0.705139259052E-02    0.366569221452E-02   -0.827361410280E-03   -0.900431805374E-03    0.614955627729E-02   -0.513939383028E-02    0.246828572491E-02   -0.339798778044E-03   -0.113954787264E-02   -0.359442589852E-02    0.100315836927E-02    0.455882236546E-03   -0.472095622754E-02    0.120859432887E-02    0.101069606827E-02    0.287606975588E-02   -0.106429239221E-02   -0.685255377266E-04    0.107223218842E-02   -0.312227577471E-02    0.184648788172E-02   -0.593553505881E-03   -0.286623640995E-03    0.120510023616E-02    0.139243037656E-02   -0.116873394420E-02    0.592011210534E-03   -0.132178101562E-03   -0.327851929656E-03    0.109315159546E-02   
  6.01  0.783049753526E-01   -0.410438995066E-01    0.632423499807E-02   -0.461110160084E-02    0.565240751387E-01   -0.158811686781E-01    0.945023184619E-02    0.293507945881E-01   -0.244815110641E-01    0.134077027747E-01   -0.189323747900E-01    0.428409230801E-02   -0.818819868415E-03   -0.132235884989E-01    0.687532423958E-02   -0.173658579822E-02    0.525734575404E-02   -0.400077191248E-02    0.134944598764E-02    0.450846972025E-03    0.124353953794E-01   -0.415640409562E-02    0.803998380316E-03    0.112746937275E-01   -0.477369110408E-02    0.850183050696E-03   -0.553964586117E-02    0.299815473059E-02   -0.842967277376E-03   -0.528008562615E-03    0.452419088610E-02   -0.383430590469E-02    0.192559613815E-02   -0.377567465602E-03   -0.734963439319E-03   -0.285234430642E-02    0.103693573268E-02    0.216491948600E-03   -0.368825687286E-02    0.104981271529E-02    0.615114805377E-03    0.224607425390E-02   -0.895810124000E-03    0.307832400991E-04    0.725247657188E-03   -0.232525563082E-02    0.139369218647E-02   -0.524586283462E-03   -0.130075715408E-03    0.896335744994E-03    0.107193917814E-02   -0.947628198169E-03    0.522168213555E-03   -0.118973070437E-03   -0.217516492258E-03    0.773167442187E-03   
  6.20  0.534731799671E-01   -0.315815728604E-01    0.621272058079E-02   -0.518195768171E-02    0.418181799615E-01   -0.132834999262E-01    0.852234623204E-02    0.223336226831E-01   -0.189485600310E-01    0.107263792640E-01   -0.146403820686E-01    0.397884881998E-02   -0.113847331820E-02   -0.105642783707E-01    0.568598953149E-02   -0.178573585074E-02    0.426056015862E-02   -0.332372582086E-02    0.126945822635E-02    0.152670639574E-03    0.939038109312E-02   -0.353163598404E-02    0.896141873701E-03    0.854790576469E-02   -0.375294100153E-02    0.875344239306E-03   -0.422702620116E-02    0.235466171440E-02   -0.758854195749E-03   -0.274327709210E-03    0.325535960659E-02   -0.278829821983E-02    0.144802352892E-02   -0.351257500625E-03   -0.446327977965E-03   -0.220238584165E-02    0.927882771783E-03    0.695729684792E-04   -0.278924012533E-02    0.858835852004E-03    0.347655088479E-03    0.167801465342E-02   -0.703245125350E-03    0.729483543536E-04    0.465376373462E-03   -0.167007388106E-02    0.101098606978E-02   -0.419720189657E-03   -0.436094065271E-04    0.622934704337E-03    0.772518081515E-03   -0.706166207199E-03    0.408434885458E-03   -0.958015459359E-04   -0.135225268850E-03    0.512481429373E-03   
  6.39  0.350125331935E-01   -0.237514321757E-01    0.563593339576E-02   -0.505972042739E-02    0.302937573358E-01   -0.107211193287E-01    0.727095990766E-02    0.168858623552E-01   -0.144451359856E-01    0.844679233068E-02   -0.110956029433E-01    0.346047322977E-02   -0.125226615130E-02   -0.825925645781E-02    0.455522087063E-02   -0.164866223935E-02    0.336358053061E-02   -0.266922592430E-02    0.110632083819E-02   -0.239389196706E-04    0.694861963049E-02   -0.285926211404E-02    0.871533662954E-03    0.636385395093E-02   -0.287031515829E-02    0.803391175960E-03   -0.315004247050E-02    0.179233691581E-02   -0.634635450756E-03   -0.112344715455E-03    0.229998503486E-02   -0.198551345267E-02    0.105796559844E-02   -0.296977378287E-03   -0.251808600990E-03   -0.165846349798E-02    0.762081761897E-03   -0.133538930370E-04   -0.205286147729E-02    0.672195883971E-03    0.177516535390E-03    0.121276727032E-02   -0.526315471607E-03    0.829901137207E-04    0.285258847922E-03   -0.116227678648E-02    0.709974431719E-03   -0.312747147103E-03   -0.212873766864E-05    0.404169204934E-03    0.524807765203E-03   -0.489311272539E-03    0.291737265580E-03   -0.726348496695E-04   -0.785615694842E-04    0.322028042601E-03   
  6.59  0.216164562833E-01   -0.174366724164E-01    0.484166931677E-02   -0.455049870382E-02    0.214569716369E-01   -0.839751270041E-02    0.594561577900E-02    0.126962932115E-01   -0.108680915225E-01    0.654472969843E-02   -0.824611038822E-02    0.287475247416E-02   -0.122486259384E-02   -0.634426354512E-02    0.355682920956E-02   -0.142342598670E-02    0.260050794823E-02   -0.208777558219E-02    0.916234301526E-03   -0.116768970440E-03    0.504081184755E-02   -0.222941039945E-02    0.782245506709E-03    0.466296758175E-02   -0.214398392665E-02    0.686926096905E-03   -0.230368883085E-02    0.133127552735E-02   -0.504702017699E-03   -0.173502661283E-04    0.160183830067E-02   -0.139033635588E-02    0.755464086535E-03   -0.235801786763E-03   -0.128059269659E-03   -0.121973332227E-02    0.589726789374E-03   -0.541719890173E-04   -0.147624409329E-02    0.507640545464E-03    0.763267112795E-04    0.855358233221E-03   -0.380623324500E-03    0.769066196267E-04    0.167577411456E-03   -0.786233547639E-03    0.484691452007E-03   -0.220190869450E-03    0.134731808269E-04    0.242983487437E-03    0.337135333722E-03   -0.316512254428E-03    0.192242706314E-03   -0.528131336214E-04   -0.421067251763E-04    0.192870408158E-03   
