U=      10.000000 cm^-1
   ilv     flv       sigma(U),ANG^2    E_coll,cm^-1  sigma(E_coll),ANG^2
     1       1     0.3167708654E+03       10.000000     0.3167708654E+03
     1       2     0.1361420659E+02       12.014613     0.1133137365E+02
     1       3     0.4497688895E+02       14.213975     0.3164272341E+02
     1       4     0.1432586254E+02       16.597993     0.8631081104E+01
     1       5     0.2148472905E+02       19.166849     0.1120931749E+02
     1       6     0.1054270511E+03       24.858693     0.4241053643E+02
     1       7     0.5634085593E+01       24.858346     0.2266476483E+01
     1       8     0.1681941668E+02       27.981423     0.6010922665E+01
     1       9     0.3464543106E+02       34.781689     0.9960824852E+01
TOTAL P CONSERVATION ERROR,%  0.62865E-01
TOTAL E CONSERVATION ERROR,%  0.90414E+03
 
TOTAL NUMBER OF TRAJECTORIES =  31
