energy#1, (U= 10.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   0   0.00000000E+00      0.31415927E+01       0.42417247E+04        0.72047973E+07      0.83163795E+03      0.26216466E-01       0      50
   1   0.65579874E+00     -0.90118132E+02       0.41982365E+04        0.69510374E+07      0.83174034E+03      0.56684066E-01       0      50
   2   0.13115975E+01     -0.29396969E+03       0.40061925E+04        0.70776161E+07      0.83195913E+03      0.62865198E-01       1      50
   3   0.19673962E+01     -0.22075297E+03       0.37488312E+04        0.64615926E+07      0.83227959E+03      0.32407292E-01       1      50
   4   0.26231950E+01     -0.27375163E+03       0.35015789E+04        0.66195557E+07      0.83272234E+03      0.36826176E-01       1      50
   5   0.32789937E+01     -0.26311873E+03       0.32331437E+04        0.62108452E+07      0.83328479E+03      0.40161333E-01       2      50
   6   0.39347925E+01     -0.21555803E+03       0.29938054E+04        0.64086278E+07      0.83398413E+03      0.29727998E-01       2      50
   7   0.45905912E+01     -0.26788130E+03       0.27520857E+04        0.61510886E+07      0.83481229E+03      0.32216779E-01       2      50
   8   0.52463900E+01     -0.23259360E+03       0.25018482E+04        0.61615501E+07      0.83581250E+03      0.13612237E-01       3      50
   9   0.59021887E+01     -0.22305843E+03       0.22740222E+04        0.63575253E+07      0.83697485E+03      0.28877002E-01       3      50
  10   0.65579874E+01     -0.22475062E+03       0.20501177E+04        0.60880458E+07      0.83831850E+03      0.30229912E-01       3      50
  11   0.72137862E+01     -0.21451330E+03       0.18304857E+04        0.59958641E+07      0.83989641E+03      0.16655728E-01       4      50
  12   0.78695849E+01     -0.21714286E+03       0.16146577E+04        0.59944400E+07      0.84171954E+03      0.33441231E-01       4      50
  13   0.85253837E+01     -0.19269497E+03       0.14097387E+04        0.55625060E+07      0.84382470E+03      0.15108046E-01       4      50
  14   0.91811824E+01     -0.19427515E+03       0.12162537E+04        0.53907950E+07      0.84626415E+03      0.78990845E-02       5      48
  15   0.98369812E+01     -0.15574286E+03       0.10412447E+04        0.49982970E+07      0.84910472E+03      0.52552001E-02       5      45
  16   0.10492780E+02     -0.15483573E+03       0.88595538E+03        0.47165485E+07      0.85242447E+03      0.57794841E-02       5      42
  17   0.11148579E+02     -0.14378436E+03       0.73664534E+03        0.43737837E+07      0.85633194E+03      0.30055472E-02       5      43
  18   0.11804377E+02     -0.10527898E+03       0.61211367E+03        0.41245699E+07      0.86094844E+03      0.29154111E-02       5      40
  19   0.12460176E+02     -0.15619096E+03       0.48137870E+03        0.40104246E+07      0.86646154E+03      0.90261324E-02       5      36
  20   0.13115975E+02     -0.92369810E+02       0.35709832E+03        0.37750682E+07      0.87313312E+03      0.21317329E-02       5      37
  21   0.13771774E+02     -0.93372997E+02       0.26422691E+03        0.36340844E+07      0.88129541E+03      0.32453142E-02       5      34
  22   0.14427572E+02     -0.80398168E+02       0.17734133E+03        0.35102443E+07      0.89133280E+03      0.11903193E-02       5      32
  23   0.15083371E+02     -0.67541536E+02       0.10337148E+03        0.33767096E+07      0.90271107E+03      0.44412246E-03       5      36
  24   0.15739170E+02     -0.67965548E+02       0.35617938E+02        0.33987828E+07      0.90413519E+03      0.17765213E-02       5      30
  25   0.16394969E+02     -0.61057424E+00       0.13298767E+01        0.17100446E+07      0.18082576E+02      0.11546319E-11       0       0
  26   0.17050767E+02     -0.37640588E+00       0.83638664E+00        0.16555462E+07      0.11830950E+02      0.19206858E-11       0       0
  27   0.17706566E+02     -0.25768349E+00       0.51934195E+00        0.16225185E+07      0.84290271E+01      0.15543122E-11       0       0
  28   0.18362365E+02     -0.18973812E+00       0.29563114E+00        0.15995142E+07      0.62781800E+01      0.68833828E-12       0       0
  29   0.19018164E+02     -0.14478797E+00       0.12836810E+00        0.15806725E+07      0.48297372E+01      0.77715612E-12       0       0
  30   0.19673962E+02     -0.11194822E+00       0.00000000E+00        0.15638027E+07      0.37854155E+01      0.10103030E-11       0       0
 
