STATE= 1
j12= 0
m12= 0
ENERGY#1, U(i)= 10.000 cm^-1
B_IMPACT            L   TOT_ELAST_PROB TOT_INELAST_PROB
 0.00000000E+00      0  0.99973784E+00  0.96687025E+00
 0.65579874E+00      1  0.99943316E+00  0.93962680E+00
 0.13115975E+01      2  0.99937135E+00  0.92096953E+00
 0.19673962E+01      3  0.99967593E+00  0.96265448E+00
 0.26231950E+01      4  0.99963174E+00  0.97904127E+00
 0.32789937E+01      5  0.99959839E+00  0.92243283E+00
 0.39347925E+01      6  0.99970272E+00  0.99439111E+00
 0.45905912E+01      7  0.99967783E+00  0.95514323E+00
 0.52463900E+01      8  0.99986388E+00  0.98274957E+00
 0.59021887E+01      9  0.99971123E+00  0.94457228E+00
 0.65579874E+01     10  0.99969770E+00  0.79243292E+00
 0.72137862E+01     11  0.99983344E+00  0.94113165E+00
 0.78695849E+01     12  0.99966559E+00  0.87568053E+00
 0.85253837E+01     13  0.99984892E+00  0.96609981E+00
 0.91811824E+01     14  0.99992101E+00  0.88161460E+00
 0.98369812E+01     15  0.99994745E+00  0.98798220E+00
 0.10492780E+02     16  0.99994221E+00  0.97699631E+00
 0.11148579E+02     17  0.99996994E+00  0.84813006E+00
 0.11804377E+02     18  0.99997085E+00  0.99410375E+00
 0.12460176E+02     19  0.99990974E+00  0.98169032E+00
 0.13115975E+02     20  0.99997868E+00  0.82687117E+00
 0.13771774E+02     21  0.99996755E+00  0.99927707E+00
 0.14427572E+02     22  0.99998810E+00  0.97027649E+00
 0.15083371E+02     23  0.99999556E+00  0.97021391E+00
 0.15739170E+02     24  0.99998223E+00  0.74376471E+00
 0.16394969E+02     25  0.10000000E+01  0.94590756E-03
 0.17050767E+02     26  0.10000000E+01  0.49124724E-03
 0.17706566E+02     27  0.10000000E+01  0.23772663E-03
 0.18362365E+02     28  0.10000000E+01  0.11026175E-03
 0.19018164E+02     29  0.10000000E+01  0.54417855E-04
 0.19673962E+02     30  0.10000000E+01  0.27763121E-04
 
