energy#1, (U= 1000.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   1   0.17893078E+00      0.30398510E+01      -0.47986411E+02        0.30376693E+05      0.23522491E-05      0.47304771E-06       0       0
   4   0.71572311E+00      0.28194318E+01      -0.39197487E+02        0.30415034E+05      0.17415737E-05      0.45578856E-06       0       0
   7   0.12525154E+01      0.26010759E+01      -0.31066725E+02        0.30497192E+05      0.12227693E-05      0.42244861E-06       0       0
  10   0.17893078E+01      0.23809680E+01      -0.23593659E+02        0.30617691E+05      0.15081400E-05      0.37555827E-06       0       0
  13   0.23261001E+01      0.21578128E+01      -0.16785488E+02        0.30787485E+05      0.74348243E-06      0.31874068E-06       0       0
  16   0.28628925E+01      0.19304171E+01      -0.10653143E+02        0.31001097E+05      0.95880571E-06      0.25657876E-06       0       0
  19   0.33996848E+01      0.16974759E+01      -0.52113039E+01        0.31269481E+05      0.12137356E-05      0.19418578E-06       0       0
  22   0.39364771E+01      0.14575381E+01      -0.47878298E+00        0.31598114E+05      0.74704125E-06      0.13649371E-06       0       0
  25   0.44732695E+01      0.12088520E+01       0.35208022E+01        0.31992475E+05      0.10460648E-05      0.87495344E-07       0       0
  28   0.50100618E+01      0.94945922E+00       0.67582690E+01        0.32468993E+05      0.50892976E-06      0.49773097E-07       0       0
  31   0.55468541E+01      0.67713189E+00       0.91981557E+01        0.33033147E+05      0.39639753E-06      0.23989322E-07       0       0
  34   0.60836465E+01      0.39003476E+00       0.10798906E+02        0.33717801E+05      0.60453886E-06      0.90209618E-08       0       0
  37   0.66204388E+01      0.88310499E-01       0.11516424E+02        0.34528430E+05      0.37949695E-06      0.22309044E-08       0       0
  40   0.71572311E+01     -0.21989610E+00       0.11319045E+02        0.35481467E+05      0.36485239E-06      0.48591131E-09       0       0
  43   0.76940235E+01     -0.49974325E+00       0.10239586E+02        0.36500231E+05      0.37451510E-06      0.48825388E-09       0       0
  46   0.82308158E+01     -0.65926515E+00       0.85010735E+01        0.37283474E+05      0.35734953E-06      0.28976821E-09       0       0
  49   0.87676081E+01     -0.62148847E+00       0.65799430E+01        0.37376587E+05      0.35504759E-06      0.21809221E-09       0       0
  52   0.93044005E+01     -0.48300590E+00       0.49232015E+01        0.36916500E+05      0.53807908E-06      0.11957102E-09       0       0
  55   0.98411928E+01     -0.35396695E+00       0.36677422E+01        0.36324960E+05      0.35029985E-06      0.58930638E-10       0       0
  58   0.10377985E+02     -0.25831651E+00       0.27493170E+01        0.35755329E+05      0.42377702E-06      0.29620750E-10       0       0
  61   0.10914777E+02     -0.19030733E+00       0.20763812E+01        0.35240469E+05      0.38441606E-06      0.15121238E-10       0       0
  64   0.11451570E+02     -0.14175935E+00       0.15782812E+01        0.34769428E+05      0.86179942E-06      0.76827433E-11       0       0
  67   0.11988362E+02     -0.10661733E+00       0.12057162E+01        0.34325773E+05      0.55058101E-06      0.36859404E-11       0       0
  70   0.12525154E+02     -0.80807196E-01       0.92457941E+00        0.33904026E+05      0.33681767E-06      0.19539925E-11       0       0
  73   0.13061947E+02     -0.61614103E-01       0.71094746E+00        0.33487757E+05      0.56670072E-06      0.79936058E-12       0       0
  76   0.13598739E+02     -0.47196047E-01       0.54773223E+00        0.33076965E+05      0.33034285E-06      0.73274720E-12       0       0
  79   0.14135531E+02     -0.36277872E-01       0.42252135E+00        0.32666173E+05      0.32683638E-06      0.47739590E-12       0       0
  82   0.14672324E+02     -0.27956896E-01       0.32616920E+00        0.32255381E+05      0.45670348E-06      0.48849813E-12       0       0
  85   0.15209116E+02     -0.21586357E-01       0.25185432E+00        0.31828158E+05      0.31932895E-06      0.88817842E-12       0       0
  88   0.15745908E+02     -0.16690956E-01       0.19443835E+00        0.31395457E+05      0.57279939E-06      0.48849813E-12       0       0
  91   0.16282701E+02     -0.12918055E-01       0.15002484E+00        0.30951802E+05      0.31106563E-06      0.46629367E-12       0       0
  94   0.16819493E+02     -0.10004494E-01       0.11564101E+00        0.30491715E+05      0.53271795E-06      0.64392935E-12       0       0
  97   0.17356285E+02     -0.77512930E-02       0.89007334E-01        0.30009719E+05      0.31312710E-06      0.68833828E-12       0       0
 100   0.17893078E+02     -0.60069475E-02       0.68369973E-01        0.29516769E+05      0.29713896E-06      0.44408921E-12       0       0
 103   0.18429870E+02     -0.46555200E-02       0.52376272E-01        0.28996432E+05      0.29204571E-06      0.79936058E-12       0       0
 106   0.18966663E+02     -0.36080017E-02       0.39980989E-01        0.28459664E+05      0.52759569E-06      0.11102230E-11       0       0
 109   0.19503455E+02     -0.27958080E-02       0.30375275E-01        0.27900987E+05      0.43234987E-06      0.81046281E-12       0       0
 112   0.20040247E+02     -0.21659667E-02       0.22932612E-01        0.27309447E+05      0.37313604E-06      0.37747583E-12       0       0
 115   0.20577040E+02     -0.16775201E-02       0.17167382E-01        0.26695997E+05      0.26908768E-06      0.45519144E-12       0       0
 118   0.21113832E+02     -0.12987088E-02       0.12703039E-01        0.26049685E+05      0.68419721E-06      0.35527137E-12       0       0
 121   0.21650624E+02     -0.10049137E-02       0.92476050E-02        0.25370509E+05      0.33203479E-06      0.57731597E-12       0       0
 124   0.22187417E+02     -0.77710149E-03       0.65745822E-02        0.24658470E+05      0.69451934E-06      0.28865799E-12       0       0
 127   0.22724209E+02     -0.60052784E-03       0.45081382E-02        0.23908090E+05      0.24106641E-06      0.73274720E-12       0       0
 130   0.23261001E+02     -0.46368855E-03       0.29118136E-02        0.23113892E+05      0.33898986E-06      0.36637360E-12       0       0
 133   0.23797794E+02     -0.35762138E-03       0.16798487E-02        0.22270399E+05      0.22458066E-06      0.66613381E-12       0       0
 136   0.24334586E+02     -0.27535466E-03       0.73038467E-03        0.21372134E+05      0.21555978E-06      0.41078252E-12       0       0
 139   0.24871378E+02     -0.21156846E-03       0.00000000E+00        0.20419097E+05      0.20592951E-06      0.26645353E-12       0       0
 
