STATE= 1
j12= 0
m12= 0
ENERGY#1, U(i)= 1000.000 cm^-1
B_IMPACT            L   TOT_ELAST_PROB TOT_INELAST_PROB
 0.17893078E+00      1  0.10000000E+01  0.24054441E-05
 0.71572311E+00      4  0.10000000E+01  0.21981111E-05
 0.12525154E+01      7  0.10000000E+01  0.18288379E-05
 0.17893078E+01     10  0.10000000E+01  0.13751096E-05
 0.23261001E+01     13  0.10000000E+01  0.92306781E-06
 0.28628925E+01     16  0.10000000E+01  0.54052690E-06
 0.33996848E+01     19  0.10000000E+01  0.26727241E-06
 0.39364771E+01     22  0.10000000E+01  0.10825936E-06
 0.44732695E+01     25  0.10000000E+01  0.32911550E-07
 0.50100618E+01     28  0.10000000E+01  0.70398396E-08
 0.55468541E+01     31  0.10000000E+01  0.84895524E-09
 0.60836465E+01     34  0.10000000E+01  0.58964833E-10
 0.66204388E+01     37  0.10000000E+01  0.15853208E-10
 0.71572311E+01     40  0.10000000E+01  0.82303053E-11
 0.76940235E+01     43  0.10000000E+01  0.25489610E-11
 0.82308158E+01     46  0.10000000E+01  0.37558845E-12
 0.87676081E+01     49  0.10000000E+01  0.30753178E-13
 0.93044005E+01     52  0.10000000E+01  0.22204460E-14
 0.98411928E+01     55  0.10000000E+01  0.22204460E-15
 0.10377985E+02     58  0.10000000E+01  0.00000000E+00
 0.10914777E+02     61  0.10000000E+01  0.00000000E+00
 0.11451570E+02     64  0.10000000E+01  0.00000000E+00
 0.11988362E+02     67  0.10000000E+01  0.00000000E+00
 0.12525154E+02     70  0.10000000E+01  0.00000000E+00
 0.13061947E+02     73  0.10000000E+01  0.00000000E+00
 0.13598739E+02     76  0.10000000E+01  0.00000000E+00
 0.14135531E+02     79  0.10000000E+01  0.00000000E+00
 0.14672324E+02     82  0.10000000E+01  0.00000000E+00
 0.15209116E+02     85  0.10000000E+01  0.00000000E+00
 0.15745908E+02     88  0.10000000E+01  0.00000000E+00
 0.16282701E+02     91  0.10000000E+01  0.00000000E+00
 0.16819493E+02     94  0.10000000E+01  0.00000000E+00
 0.17356285E+02     97  0.10000000E+01  0.00000000E+00
 0.17893078E+02    100  0.10000000E+01  0.00000000E+00
 0.18429870E+02    103  0.10000000E+01  0.00000000E+00
 0.18966663E+02    106  0.10000000E+01  0.00000000E+00
 0.19503455E+02    109  0.10000000E+01  0.00000000E+00
 0.20040247E+02    112  0.10000000E+01  0.00000000E+00
 0.20577040E+02    115  0.10000000E+01  0.00000000E+00
 0.21113832E+02    118  0.10000000E+01  0.00000000E+00
 0.21650624E+02    121  0.10000000E+01  0.00000000E+00
 0.22187417E+02    124  0.10000000E+01  0.00000000E+00
 0.22724209E+02    127  0.10000000E+01  0.00000000E+00
 0.23261001E+02    130  0.10000000E+01  0.00000000E+00
 0.23797794E+02    133  0.10000000E+01  0.00000000E+00
 0.24334586E+02    136  0.10000000E+01  0.00000000E+00
 0.24871378E+02    139  0.10000000E+01  0.00000000E+00
 
