STATE= 1
j12= 0
m12= 0
ENERGY#1, U(i)= 800.000 cm^-1
B_IMPACT            L   TOT_ELAST_PROB TOT_INELAST_PROB
 0.00000000E+00      0  0.99999784E+00  0.74748538E+00
 0.14978241E+00      1  0.99999786E+00  0.74865156E+00
 0.29956482E+00      2  0.99999790E+00  0.75098713E+00
 0.44934722E+00      3  0.99999796E+00  0.75449749E+00
 0.59912963E+00      4  0.99999804E+00  0.75918926E+00
 0.74891204E+00      5  0.99999813E+00  0.76506904E+00
 0.89869445E+00      6  0.99999824E+00  0.77213691E+00
 0.10484769E+01      7  0.99999836E+00  0.78038810E+00
 0.11982593E+01      8  0.99999849E+00  0.78980424E+00
 0.13480417E+01      9  0.99999862E+00  0.80035178E+00
 0.14978241E+01     10  0.99999876E+00  0.81197653E+00
 0.16476065E+01     11  0.99999889E+00  0.82459746E+00
 0.17973889E+01     12  0.99999902E+00  0.83810328E+00
 0.19471713E+01     13  0.99999915E+00  0.85234751E+00
 0.20969537E+01     14  0.99999927E+00  0.86714305E+00
 0.22467361E+01     15  0.99999938E+00  0.88226176E+00
 0.23965185E+01     16  0.99999948E+00  0.89743064E+00
 0.25463009E+01     17  0.99999957E+00  0.91233153E+00
 0.26960833E+01     18  0.99999965E+00  0.92660293E+00
 0.28458657E+01     19  0.99999972E+00  0.93984418E+00
 0.29956482E+01     20  0.99999978E+00  0.95161869E+00
 0.31454306E+01     21  0.99999983E+00  0.96146137E+00
 0.32952130E+01     22  0.99999987E+00  0.96888407E+00
 0.34449954E+01     23  0.99999990E+00  0.97337850E+00
 0.35947778E+01     24  0.99999993E+00  0.97439923E+00
 0.37445602E+01     25  0.99999995E+00  0.97132272E+00
 0.38943426E+01     26  0.99999996E+00  0.96348948E+00
 0.40441250E+01     27  0.99999998E+00  0.95023424E+00
 0.41939074E+01     28  0.99999998E+00  0.93090392E+00
 0.43436898E+01     29  0.99999999E+00  0.90488237E+00
 0.44934722E+01     30  0.99999999E+00  0.87162872E+00
 0.46432546E+01     31  0.99999999E+00  0.83075066E+00
 0.47930370E+01     32  0.10000000E+01  0.78217932E+00
 0.49428195E+01     33  0.10000000E+01  0.72603109E+00
 0.50926019E+01     34  0.10000000E+01  0.66265435E+00
 0.52423843E+01     35  0.10000000E+01  0.59292278E+00
 0.53921667E+01     36  0.10000000E+01  0.51872645E+00
 0.55419491E+01     37  0.10000000E+01  0.44416606E+00
 0.56917315E+01     38  0.10000000E+01  0.37264024E+00
 0.58415139E+01     39  0.10000000E+01  0.30604819E+00
 0.59912963E+01     40  0.10000000E+01  0.24559318E+00
 0.61410787E+01     41  0.10000000E+01  0.19171613E+00
 0.62908611E+01     42  0.10000000E+01  0.14517991E+00
 0.64406435E+01     43  0.10000000E+01  0.10667755E+00
 0.65904259E+01     44  0.10000000E+01  0.76101759E-01
 0.67402083E+01     45  0.10000000E+01  0.52773685E-01
 0.68899907E+01     46  0.10000000E+01  0.36157759E-01
 0.70397732E+01     47  0.10000000E+01  0.24864411E-01
 0.71895556E+01     48  0.10000000E+01  0.17326664E-01
 0.73393380E+01     49  0.10000000E+01  0.12357561E-01
 0.74891204E+01     50  0.10000000E+01  0.91158819E-02
 0.76389028E+01     51  0.10000000E+01  0.69601484E-02
 0.77886852E+01     52  0.10000000E+01  0.54439157E-02
 0.79384676E+01     53  0.10000000E+01  0.43323306E-02
 0.80882500E+01     54  0.10000000E+01  0.34956821E-02
 0.82380324E+01     55  0.10000000E+01  0.28609102E-02
 0.83878148E+01     56  0.10000000E+01  0.23618983E-02
 0.85375972E+01     57  0.10000000E+01  0.19501228E-02
 0.86873796E+01     58  0.10000000E+01  0.16123781E-02
 0.88371620E+01     59  0.10000000E+01  0.13366783E-02
 0.89869445E+01     60  0.10000000E+01  0.11090492E-02
 0.91367269E+01     61  0.10000000E+01  0.92255837E-03
 0.92865093E+01     62  0.10000000E+01  0.76939477E-03
 0.94362917E+01     63  0.10000000E+01  0.64058326E-03
 0.95860741E+01     64  0.10000000E+01  0.53268685E-03
 0.97358565E+01     65  0.10000000E+01  0.44386825E-03
 0.98856389E+01     66  0.10000000E+01  0.37106937E-03
 0.10035421E+02     67  0.10000000E+01  0.31068374E-03
 0.10185204E+02     68  0.10000000E+01  0.25976932E-03
 0.10334986E+02     69  0.10000000E+01  0.21718012E-03
 0.10484769E+02     70  0.10000000E+01  0.18202004E-03
 0.10634551E+02     71  0.10000000E+01  0.15307130E-03
 0.10784333E+02     72  0.10000000E+01  0.12895308E-03
 0.10934116E+02     73  0.10000000E+01  0.10860864E-03
 0.11083898E+02     74  0.10000000E+01  0.91586944E-04
 0.11233681E+02     75  0.10000000E+01  0.77414650E-04
 0.11383463E+02     76  0.10000000E+01  0.65551706E-04
 0.11533245E+02     77  0.10000000E+01  0.55658907E-04
 0.11683028E+02     78  0.10000000E+01  0.47414040E-04
 0.11832810E+02     79  0.10000000E+01  0.40427606E-04
 0.11982593E+02     80  0.10000000E+01  0.34469160E-04
 0.12132375E+02     81  0.10000000E+01  0.29432806E-04
 0.12282157E+02     82  0.10000000E+01  0.25197635E-04
 0.12431940E+02     83  0.10000000E+01  0.21622181E-04
 0.12581722E+02     84  0.10000000E+01  0.18561333E-04
 0.12731505E+02     85  0.10000000E+01  0.15937695E-04
 0.12881287E+02     86  0.10000000E+01  0.13714493E-04
 0.13031069E+02     87  0.10000000E+01  0.11825150E-04
 0.13180852E+02     88  0.10000000E+01  0.10210595E-04
 0.13330634E+02     89  0.10000000E+01  0.88380957E-05
 0.13480417E+02     90  0.10000000E+01  0.76658886E-05
 0.13630199E+02     91  0.10000000E+01  0.66516904E-05
 0.13779981E+02     92  0.10000000E+01  0.57789486E-05
 0.13929764E+02     93  0.10000000E+01  0.50373387E-05
 0.14079546E+02     94  0.10000000E+01  0.44104514E-05
 0.14229329E+02     95  0.10000000E+01  0.38853142E-05
 0.14379111E+02     96  0.10000000E+01  0.34457068E-05
 0.14528894E+02     97  0.10000000E+01  0.30562596E-05
 0.14678676E+02     98  0.10000000E+01  0.26905010E-05
 0.14828458E+02     99  0.10000000E+01  0.23513123E-05
 0.14978241E+02    100  0.10000000E+01  0.20462862E-05
 
