#iR    R_COM(iR)
  1  0.350000000000E+01
  2  0.375294117647E+01
  3  0.400588235294E+01
  4  0.425882352941E+01
  5  0.451176470588E+01
  6  0.476470588235E+01
  7  0.501764705882E+01
  8  0.527058823529E+01
  9  0.552352941176E+01
 10  0.577647058824E+01
 11  0.602941176471E+01
 12  0.628235294118E+01
 13  0.653529411765E+01
 14  0.678823529412E+01
 15  0.704117647059E+01
 16  0.729411764706E+01
 17  0.754705882353E+01
 18  0.780000000000E+01
 19  0.805294117647E+01
 20  0.830588235294E+01
 21  0.855882352941E+01
 22  0.881176470588E+01
 23  0.906470588235E+01
 24  0.931764705882E+01
 25  0.957058823529E+01
 26  0.982352941176E+01
 27  0.100764705882E+02
 28  0.103294117647E+02
 29  0.105823529412E+02
 30  0.108352941176E+02
 31  0.110882352941E+02
 32  0.113411764706E+02
 33  0.115941176471E+02
 34  0.118470588235E+02
 35  0.121000000000E+02
 36  0.123529411765E+02
 37  0.126058823529E+02
 38  0.128588235294E+02
 39  0.131117647059E+02
 40  0.133647058824E+02
 41  0.136176470588E+02
 42  0.138705882353E+02
 43  0.141235294118E+02
 44  0.143764705882E+02
 45  0.146294117647E+02
 46  0.148823529412E+02
 47  0.151352941176E+02
 48  0.153882352941E+02
 49  0.156411764706E+02
 50  0.158941176471E+02
 51  0.161470588235E+02
 52  0.164000000000E+02
 53  0.166529411765E+02
 54  0.169058823529E+02
 55  0.171588235294E+02
 56  0.174117647059E+02
 57  0.176647058824E+02
 58  0.179176470588E+02
 59  0.181705882353E+02
 60  0.184235294118E+02
 61  0.186764705882E+02
 62  0.189294117647E+02
 63  0.191823529412E+02
 64  0.194352941176E+02
 65  0.196882352941E+02
 66  0.199411764706E+02
 67  0.201941176471E+02
 68  0.204470588235E+02
 69  0.207000000000E+02
 70  0.209529411765E+02
 71  0.212058823529E+02
 72  0.214588235294E+02
 73  0.217117647059E+02
 74  0.219647058824E+02
 75  0.222176470588E+02
 76  0.224705882353E+02
 77  0.227235294118E+02
 78  0.229764705882E+02
 79  0.232294117647E+02
 80  0.234823529412E+02
 81  0.237352941176E+02
 82  0.239882352941E+02
 83  0.242411764706E+02
 84  0.244941176471E+02
 85  0.247470588235E+02
 86  0.250000000000E+02
