U=     800.000000 cm^-1
   ilv     flv       sigma(U),ANG^2    E_coll,cm^-1  sigma(E_coll),ANG^2
     1       1     0.1361148127E+03      800.000000     0.1361148127E+03
     1       2     0.4035030592E+01      805.151466     0.4009213929E+01
     1       3     0.8436188644E+01      815.503998     0.8275803594E+01
     1       4     0.3664548544E+01      831.156791     0.3527179069E+01
     1       5     0.1214680709E-01      821.818318     0.1182432353E-01
     1       6     0.9884426393E+01      821.818318     0.9622006404E+01
     1       7     0.0000000000E+00      804.127661     0.0000000000E+00
     1       8     0.0000000000E+00      804.127661     0.0000000000E+00
     1       9     0.0000000000E+00      814.473629     0.0000000000E+00
     1      10     0.0000000000E+00      814.473629     0.0000000000E+00
     1      11     0.0000000000E+00      830.116577     0.0000000000E+00
     1      12     0.0000000000E+00      830.116577     0.0000000000E+00
     1      13     0.0000000000E+00      851.205301     0.0000000000E+00
     1      14     0.0000000000E+00      877.938195     0.0000000000E+00
TOTAL P CONSERVATION ERROR,%  0.21644E-03
TOTAL E CONSERVATION ERROR,%  0.42835E-03
 
TOTAL NUMBER OF TRAJECTORIES = 101
