#iR    R_COM(iR)
  1  0.350000000000E+01
  2  0.369411764706E+01
  3  0.388823529412E+01
  4  0.408235294118E+01
  5  0.427647058824E+01
  6  0.447058823529E+01
  7  0.466470588235E+01
  8  0.485882352941E+01
  9  0.505294117647E+01
 10  0.524705882353E+01
 11  0.544117647059E+01
 12  0.563529411765E+01
 13  0.582941176471E+01
 14  0.602352941176E+01
 15  0.621764705882E+01
 16  0.641176470588E+01
 17  0.660588235294E+01
 18  0.680000000000E+01
 19  0.699411764706E+01
 20  0.718823529412E+01
 21  0.738235294118E+01
 22  0.757647058824E+01
 23  0.777058823529E+01
 24  0.796470588235E+01
 25  0.815882352941E+01
 26  0.835294117647E+01
 27  0.854705882353E+01
 28  0.874117647059E+01
 29  0.893529411765E+01
 30  0.912941176471E+01
 31  0.932352941176E+01
 32  0.951764705882E+01
 33  0.971176470588E+01
 34  0.990588235294E+01
 35  0.101000000000E+02
 36  0.102941176471E+02
 37  0.104882352941E+02
 38  0.106823529412E+02
 39  0.108764705882E+02
 40  0.110705882353E+02
 41  0.112647058824E+02
 42  0.114588235294E+02
 43  0.116529411765E+02
 44  0.118470588235E+02
 45  0.120411764706E+02
 46  0.122352941176E+02
 47  0.124294117647E+02
 48  0.126235294118E+02
 49  0.128176470588E+02
 50  0.130117647059E+02
 51  0.132058823529E+02
 52  0.134000000000E+02
 53  0.135941176471E+02
 54  0.137882352941E+02
 55  0.139823529412E+02
 56  0.141764705882E+02
 57  0.143705882353E+02
 58  0.145647058824E+02
 59  0.147588235294E+02
 60  0.149529411765E+02
 61  0.151470588235E+02
 62  0.153411764706E+02
 63  0.155352941176E+02
 64  0.157294117647E+02
 65  0.159235294118E+02
 66  0.161176470588E+02
 67  0.163117647059E+02
 68  0.165058823529E+02
 69  0.167000000000E+02
 70  0.168941176471E+02
 71  0.170882352941E+02
 72  0.172823529412E+02
 73  0.174764705882E+02
 74  0.176705882353E+02
 75  0.178647058824E+02
 76  0.180588235294E+02
 77  0.182529411765E+02
 78  0.184470588235E+02
 79  0.186411764706E+02
 80  0.188352941176E+02
 81  0.190294117647E+02
 82  0.192235294118E+02
 83  0.194176470588E+02
 84  0.196117647059E+02
 85  0.198058823529E+02
 86  0.200000000000E+02
