R_Bohr           v_0_0_0_0             v_0_0_2_2             v_0_0_4_4             v_1_0_0_1             v_1_0_2_1             v_1_0_2_2             v_1_0_2_3             v_2_0_0_2             v_2_0_2_0             v_2_0_2_1             v_2_0_2_2             v_2_0_2_3             v_2_0_2_4             v_3_0_0_3             v_3_0_2_1             v_3_0_2_2             v_3_0_2_3             v_3_0_2_4             v_3_0_2_5             v_3_3_0_3             v_3_3_2_1             v_3_3_2_2             v_3_3_2_3             v_3_3_2_4             v_3_3_2_5             v_4_0_0_4             v_4_0_2_2             v_4_0_2_3             v_4_0_2_4             v_4_0_2_5             v_4_0_2_6             v_4_3_0_4             v_4_3_2_2             v_4_3_2_3             v_4_3_2_4             v_4_3_2_5             v_4_3_2_6   
  3.50  0.186477078032E+06    0.185362030826E+05    0.164929635417E+04   -0.150391672470E+05    0.979040259513E+03    0.477894515675E-13   -0.925928168780E+04   -0.275208324313E+05   -0.130177548270E+04   -0.156335792679E-12    0.702524671001E+03   -0.461492162985E-12   -0.174808200177E+05    0.245119856983E+05    0.834440034853E+03   -0.145157237240E-13   -0.149807177118E+04    0.238834563272E-12    0.821254814928E+04   -0.339599405035E+05   -0.543443356643E+03   -0.607464302482E+02    0.175136942972E+04    0.944839457491E+02   -0.130754126414E+05    0.526919753538E+04    0.896793224461E+03   -0.278171405834E-12   -0.400730721960E+03   -0.255582775515E-12    0.330000490974E+04    0.109985616788E+05    0.560878797435E+03   -0.334433966532E+03   -0.108709460397E+04   -0.482792660163E+01    0.788420876722E+04   
  3.75  0.120748879374E+06    0.113920915452E+05    0.849296282082E+03   -0.955182666971E+04    0.509153413123E+03    0.315152919011E-13   -0.615208914738E+04   -0.159421083027E+05   -0.741830932607E+03   -0.992041549004E-13    0.300974266193E+03   -0.301361493886E-12   -0.111920443050E+05    0.155917459270E+05    0.325099285737E+03   -0.784504414789E-14   -0.749815003071E+03    0.149830191656E-12    0.453282909182E+04   -0.215099127108E+05   -0.216950892861E+03   -0.489237499261E+01    0.874269300437E+03    0.416861741410E+02   -0.741726902435E+04    0.292823023417E+04    0.345344650921E+03   -0.181940984027E-12   -0.163501541212E+03   -0.158622465627E-12    0.180291845598E+04    0.636819407805E+04    0.236354353421E+03   -0.134948996514E+03   -0.479587179366E+03   -0.499364894886E+02    0.410840718306E+04   
  4.01  0.772067936040E+05    0.709698727832E+04    0.445389606114E+03   -0.621062688810E+04    0.293350412944E+03    0.203189000014E-13   -0.428729633320E+04   -0.911405367110E+04   -0.458671004043E+03   -0.584985595256E-13    0.150454440148E+03   -0.197481854528E-12   -0.747599559327E+04    0.100598583683E+05    0.132451277792E+03   -0.393946326292E-14   -0.403338724660E+03    0.939989012283E-13    0.266051200768E+04   -0.137906870710E+05   -0.958263018462E+02    0.923485566799E+01    0.473291551043E+03    0.269245017664E+02   -0.446890377459E+04    0.165230429377E+04    0.143380296253E+03   -0.116829565095E-12   -0.721672385779E+02   -0.100332484104E-12    0.105016716376E+04    0.384218217938E+04    0.989185412958E+02   -0.610007358350E+02   -0.219007244382E+03   -0.441313509081E+02    0.228146004433E+04   
  4.26  0.485673492456E+05    0.443316153266E+04    0.240563270885E+03   -0.408145150065E+04    0.184122175086E+03    0.127811317158E-13   -0.310933629739E+04   -0.505700659732E+04   -0.298621123632E+03   -0.310190121420E-13    0.895506690641E+02   -0.129507609077E-12   -0.516369954178E+04    0.651650735764E+04    0.631857385932E+02   -0.172755593846E-14   -0.235820007293E+03    0.585353959041E-13    0.164662642652E+04   -0.886688537248E+04   -0.541086343262E+02    0.103123522915E+02    0.279135431262E+03    0.196942558877E+02   -0.282680967208E+04    0.930145567326E+03    0.633009215610E+02   -0.735546680830E-13   -0.354029299926E+02   -0.637411303395E-13    0.643151572636E+03    0.237905823206E+04    0.431691383210E+02   -0.299872751681E+02   -0.107664896765E+03   -0.305375766492E+02    0.134303216160E+04   
  4.51  0.299185119106E+05    0.274886109294E+04    0.132849295198E+03   -0.269111012153E+04    0.121956450085E+03    0.782251716937E-14   -0.232624420487E+04   -0.266532497986E+04   -0.199284054258E+03   -0.132429924209E-13    0.584649251680E+02   -0.849561745044E-13   -0.366529822746E+04    0.420980870894E+04    0.369967506068E+02   -0.534049233336E-15   -0.148003891679E+03    0.359316658811E-13    0.106370107992E+04   -0.568231584102E+04   -0.388410512636E+02    0.866587862715E+01    0.176786770416E+03    0.148597358490E+02   -0.185857351649E+04    0.513131359174E+03    0.294334687913E+02   -0.452501040911E-13   -0.194660812475E+02   -0.403511538989E-13    0.409907360778E+03    0.149403485971E+04    0.204893065954E+02   -0.161114052606E+02   -0.582601470470E+02   -0.193209361413E+02    0.832370863450E+03   
  4.76  0.179243803456E+05    0.167458570135E+04    0.741394580365E+02   -0.177166293290E+04    0.822142508100E+02    0.463451233638E-14   -0.178359749519E+04   -0.128432058283E+04   -0.133039926236E+03   -0.230106358549E-14    0.375936570764E+02   -0.557537061606E-13   -0.266097129505E+04    0.269767449944E+04    0.256818217803E+02    0.669102388867E-16   -0.973321480542E+02    0.215922147701E-13    0.709455263926E+03   -0.361195431268E+04   -0.309818306169E+02    0.679975289220E+01    0.116661831759E+03    0.107985442110E+02   -0.125712304190E+04    0.270982913069E+03    0.139618529233E+02   -0.270393547832E-13   -0.117096134937E+02   -0.252862109988E-13    0.269155989025E+03    0.941725789959E+03    0.113382536275E+02   -0.918117270628E+01   -0.348114516853E+02   -0.118812744193E+02    0.537152044728E+03   
  5.02  0.103262292957E+05    0.991038968609E+03    0.409769539236E+02   -0.116212003039E+04    0.551221162023E+02    0.263400713458E-14   -0.139532046029E+04   -0.516208583025E+03   -0.876059748830E+02    0.400422945143E-14    0.221484019537E+02   -0.366352986651E-13   -0.197071232468E+04    0.170757988843E+04    0.190568031450E+02    0.337001353056E-15   -0.651605755338E+02    0.125898159477E-13    0.484712190901E+03   -0.226913327207E+04   -0.246189672052E+02    0.522346249298E+01    0.779485002909E+02    0.761801356489E+01   -0.869046886193E+03    0.132532479283E+03    0.674415478443E+01   -0.155274755655E-13   -0.739590695088E+01   -0.156024488524E-13    0.180979511911E+03    0.591379349610E+03    0.733545875486E+01   -0.555186493314E+01   -0.222232646456E+02   -0.732298662087E+01    0.357471593939E+03   
  5.27  0.560092938451E+04    0.561061261451E+03    0.219880251718E+02   -0.759071407083E+03    0.362709089771E+02    0.140937875086E-14   -0.111049740545E+04   -0.113912112143E+03   -0.565147565629E+02    0.728093744202E-14    0.109765420730E+02   -0.241426010536E-13   -0.148658696648E+04    0.106337036668E+04    0.141887460513E+02    0.429911424498E-15   -0.435480285850E+02    0.702104419181E-14    0.337600996821E+03   -0.140422703156E+04   -0.186942478034E+02    0.391605252097E+01    0.516746640988E+02    0.533853312362E+01   -0.611718321620E+03    0.559674708015E+02    0.333174400676E+01   -0.839440162190E-14   -0.463197540952E+01   -0.941921512816E-14    0.124168526921E+03    0.367852056997E+03    0.518271222150E+01   -0.355920725873E+01   -0.145213621911E+02   -0.458445824167E+01    0.243478121093E+03   
  5.52  0.272960540828E+04    0.295705838162E+03    0.111520884738E+02   -0.493846946780E+03    0.232511393318E+02    0.679728325482E-15   -0.897311302183E+03    0.763512796099E+02   -0.356401895297E+02    0.865402058517E-14    0.352228555482E+01   -0.159944523384E-13   -0.114104120203E+04    0.648316455083E+03    0.103288509857E+02    0.432357645483E-15   -0.287886737620E+02    0.364150422866E-14    0.239339516755E+03   -0.852808263037E+03   -0.134444428760E+02    0.286197117010E+01    0.336619878961E+02    0.378350167645E+01   -0.437950511791E+03    0.158279238656E+02    0.173621490973E+01   -0.407929939120E-14   -0.280955009918E+01   -0.550494412126E-14    0.867937405045E+02    0.225511774016E+03    0.371796163901E+01   -0.239686392885E+01   -0.942360322015E+01   -0.292534157270E+01    0.169073304928E+03   
  5.78  0.103749211904E+04    0.136253420344E+03    0.509593200359E+01   -0.320175096974E+03    0.144975541113E+02    0.259446223619E-15   -0.735047070743E+03    0.149163477649E+03   -0.219600478485E+02    0.888438217557E-14   -0.920090085538E+00   -0.106858407976E-13   -0.890318005330E+03    0.384213003618E+03    0.734236956295E+01    0.392616067385E-15   -0.187650536969E+02    0.164319863069E-14    0.172768799338E+03   -0.505608296500E+03   -0.921029884507E+01    0.198887476887E+01    0.214731802553E+02    0.269282742636E+01   -0.318967978232E+03   -0.353972996733E+01    0.102942841714E+01   -0.154907979825E-14   -0.160376011173E+01   -0.305958220256E-14    0.618100452939E+02    0.135460262864E+03    0.261686595596E+01   -0.168088349151E+01   -0.603023858029E+01   -0.194456369894E+01    0.119549727023E+03   
