U=     800.000000 cm^-1
   ilv     flv       sigma(U),ANG^2    E_coll,cm^-1  sigma(E_coll),ANG^2
     1       1     0.9913967495E+02      800.000000     0.9913967495E+02
     1       2     0.1158724355E+02      818.687040     0.1132275751E+02
     1       3     0.3931327130E+00      835.450706     0.3764509003E+00
     1       4     0.4639079640E-02      848.331435     0.4374780375E-02
     1       5     0.0000000000E+00      874.406789     0.0000000000E+00
     1       6     0.0000000000E+00      884.158229     0.0000000000E+00
     1       7     0.0000000000E+00      903.772834     0.0000000000E+00
     1       8     0.0000000000E+00      933.675204     0.0000000000E+00
     1       9     0.0000000000E+00      954.464601     0.0000000000E+00
     1      10     0.0000000000E+00      975.899539     0.0000000000E+00
TOTAL P CONSERVATION ERROR,%  0.17946E-06
TOTAL E CONSERVATION ERROR,%  0.10288E-05
 
TOTAL NUMBER OF TRAJECTORIES = 123
