energy#1, (U= 800.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   0   0.00000000E+00      0.31415927E+01      -0.45872110E+02        0.34978714E+05      0.75490436E-06      0.17946458E-06       0       0
   1   0.20374097E+00      0.30063548E+01      -0.42798136E+02        0.34984837E+05      0.66609999E-06      0.17809347E-06       0       0
   2   0.40748194E+00      0.29072553E+01      -0.39841331E+02        0.34997085E+05      0.88899773E-06      0.17538309E-06       0       0
   3   0.61122291E+00      0.28099802E+01      -0.36982713E+02        0.35021580E+05      0.75460167E-06      0.17135828E-06       0       0
   4   0.81496387E+00      0.27131217E+01      -0.34221162E+02        0.35052198E+05      0.31040969E-06      0.16608033E-06       0       0
   5   0.10187048E+01      0.26162709E+01      -0.31556466E+02        0.35088941E+05      0.36617885E-06      0.15962163E-06       0       0
   6   0.12224458E+01      0.25192346E+01      -0.28988713E+02        0.35131807E+05      0.60124439E-06      0.15208097E-06       0       0
   7   0.14261868E+01      0.24218894E+01      -0.26518151E+02        0.35186920E+05      0.76760615E-06      0.14358670E-06       0       0
   8   0.16299277E+01      0.23241401E+01      -0.24145137E+02        0.35242034E+05      0.34046384E-06      0.13426003E-06       0       0
   9   0.18336687E+01      0.22259044E+01      -0.21870114E+02        0.35315518E+05      0.96154009E-06      0.12425876E-06       0       0
  10   0.20374097E+01      0.21271070E+01      -0.19693609E+02        0.35389003E+05      0.30590861E-06      0.11375092E-06       0       0
  11   0.22411507E+01      0.20276764E+01      -0.17616217E+02        0.35474735E+05      0.35635534E-06      0.10292287E-06       0       0
  12   0.24448916E+01      0.19275428E+01      -0.15638607E+02        0.35566591E+05      0.53385228E-06      0.91953956E-07       0       0
  13   0.26486326E+01      0.18266349E+01      -0.13761519E+02        0.35664571E+05      0.10288489E-05      0.81040885E-07       0       0
  14   0.28523736E+01      0.17248629E+01      -0.11985770E+02        0.35774798E+05      0.94826132E-06      0.70353656E-07       0       0
  15   0.30561145E+01      0.16221225E+01      -0.10312277E+02        0.35897272E+05      0.30519639E-06      0.60081340E-07       0       0
  16   0.32598555E+01      0.15183366E+01      -0.87420474E+01        0.36025870E+05      0.36213547E-06      0.50395954E-07       0       0
  17   0.34635965E+01      0.14134430E+01      -0.72761576E+01        0.36166716E+05      0.50978354E-06      0.41451664E-07       0       0
  18   0.36673374E+01      0.13074039E+01      -0.59157341E+01        0.36319809E+05      0.40012326E-06      0.33365999E-07       0       0
  19   0.38710784E+01      0.12002168E+01      -0.46619237E+01        0.36485150E+05      0.32678675E-06      0.26223823E-07       0       0
  20   0.40748194E+01      0.10919144E+01      -0.35158582E+01        0.36662738E+05      0.43593054E-06      0.20062307E-07       0       0
  21   0.42785603E+01      0.98246505E+00      -0.24786684E+01        0.36852573E+05      0.30253295E-06      0.14873036E-07       0       0
  22   0.44823013E+01      0.87172500E+00      -0.15515734E+01        0.37060780E+05      0.34604828E-06      0.10625612E-07       0       0
  23   0.46860423E+01      0.75993232E+00      -0.73574477E+00        0.37287358E+05      0.88633090E-06      0.72789774E-08       0       0
  24   0.48897832E+01      0.64761924E+00      -0.31968985E-01        0.37526183E+05      0.32437604E-06      0.47494009E-08       0       0
  25   0.50935242E+01      0.53543311E+00       0.55955719E+00        0.37783379E+05      0.53195493E-06      0.29222402E-08       0       0
  26   0.52972652E+01      0.42381944E+00       0.10391835E+01        0.38058947E+05      0.31514028E-06      0.16712853E-08       0       0
  27   0.55010062E+01      0.31464219E+00       0.14084143E+01        0.38340638E+05      0.73781610E-06      0.87767571E-09       0       0
  28   0.57047471E+01      0.21013313E+00       0.16708019E+01        0.38628453E+05      0.52283729E-06      0.41615600E-09       0       0
  29   0.59084881E+01      0.11261259E+00       0.18321748E+01        0.38916268E+05      0.30827720E-06      0.17574830E-09       0       0
  30   0.61122291E+01      0.26383815E-01       0.19016730E+01        0.39179588E+05      0.34891139E-06      0.69966255E-10       0       0
  31   0.63159700E+01     -0.45360153E-01       0.18921848E+01        0.39412290E+05      0.59349455E-06      0.33772984E-10       0       0
  32   0.65197110E+01     -0.99055943E-01       0.18199768E+01        0.39589878E+05      0.30477971E-06      0.26112446E-10       0       0
  33   0.67234520E+01     -0.13392724E+00       0.17034852E+01        0.39706229E+05      0.68907565E-06      0.25113245E-10       0       0
  34   0.69271929E+01     -0.15273823E+00       0.15601525E+01        0.39761342E+05      0.69797299E-06      0.24713565E-10       0       0
  35   0.71309339E+01     -0.15633897E+00       0.14056139E+01        0.39755219E+05      0.43524458E-06      0.21760371E-10       0       0
  36   0.73346749E+01     -0.15009095E+00       0.12523989E+01        0.39693981E+05      0.30987687E-06      0.18540725E-10       0       0
  37   0.75384158E+01     -0.13905152E+00       0.11078277E+01        0.39608249E+05      0.29535563E-06      0.14654944E-10       0       0
  38   0.77421568E+01     -0.12522614E+00       0.97568883E+00        0.39504146E+05      0.59091726E-06      0.11546319E-10       0       0
  39   0.79458978E+01     -0.11127622E+00       0.85743765E+00        0.39387795E+05      0.29418145E-06      0.82822638E-11       0       0
  40   0.81496387E+01     -0.97868759E-01       0.75286516E+00        0.39271444E+05      0.29343603E-06      0.66169292E-11       0       0
  41   0.83533797E+01     -0.85595102E-01       0.66113323E+00        0.39148970E+05      0.65548769E-06      0.46629367E-11       0       0
  42   0.85571207E+01     -0.74611755E-01       0.58102980E+00        0.39026495E+05      0.29218783E-06      0.33084646E-11       0       0
  43   0.87608617E+01     -0.64817570E-01       0.51131514E+00        0.38910145E+05      0.45016302E-06      0.19539925E-11       0       0
  44   0.89646026E+01     -0.56191740E-01       0.45081048E+00        0.38787670E+05      0.29093518E-06      0.14210855E-11       0       0
  45   0.91683436E+01     -0.48671227E-01       0.39837900E+00        0.38665196E+05      0.29022570E-06      0.11546319E-11       0       0
  46   0.93720846E+01     -0.42187193E-01       0.35294979E+00        0.38548845E+05      0.53594684E-06      0.81046281E-12       0       0
  47   0.95758255E+01     -0.36659410E-01       0.31352649E+00        0.38432494E+05      0.64214857E-06      0.71054274E-12       0       0
  48   0.97795665E+01     -0.31985987E-01       0.27920379E+00        0.38316143E+05      0.42330507E-06      0.12656542E-11       0       0
  49   0.99833075E+01     -0.28026167E-01       0.24919771E+00        0.38199793E+05      0.28740360E-06      0.46629367E-12       0       0
  50   0.10187048E+02     -0.24577592E-01       0.22289583E+00        0.38089566E+05      0.28665402E-06      0.49960036E-12       0       0
  51   0.10390789E+02     -0.21567649E-01       0.19982321E+00        0.37973215E+05      0.28587933E-06      0.52180482E-12       0       0
  52   0.10594530E+02     -0.18970096E-01       0.17955434E+00        0.37856864E+05      0.28510575E-06      0.64392935E-12       0       0
  53   0.10798271E+02     -0.16742637E-01       0.16169797E+00        0.37740513E+05      0.34117255E-06      0.75495166E-12       0       0
  54   0.11002012E+02     -0.14819716E-01       0.14591680E+00        0.37618039E+05      0.28347356E-06      0.10214052E-11       0       0
  55   0.11205753E+02     -0.13134491E-01       0.13193969E+00        0.37501688E+05      0.28264782E-06      0.32196468E-12       0       0
  56   0.11409494E+02     -0.11655626E-01       0.11954464E+00        0.37379213E+05      0.55037821E-06      0.73274720E-12       0       0
