STATE= 1
j12= 0
m12= 0
ENERGY#1, U(i)= 800.000 cm^-1
B_IMPACT            L   TOT_ELAST_PROB TOT_INELAST_PROB
 0.00000000E+00      0  0.10000000E+01  0.86566424E+00
 0.20374097E+00      1  0.10000000E+01  0.86381541E+00
 0.40748194E+00      2  0.10000000E+01  0.86008383E+00
 0.61122291E+00      3  0.10000000E+01  0.85440249E+00
 0.81496387E+00      4  0.10000000E+01  0.84667286E+00
 0.10187048E+01      5  0.10000000E+01  0.83676750E+00
 0.12224458E+01      6  0.10000000E+01  0.82453347E+00
 0.14261868E+01      7  0.10000000E+01  0.80979693E+00
 0.16299277E+01      8  0.10000000E+01  0.79236904E+00
 0.18336687E+01      9  0.10000000E+01  0.77205343E+00
 0.20374097E+01     10  0.10000000E+01  0.74865586E+00
 0.22411507E+01     11  0.10000000E+01  0.72199698E+00
 0.24448916E+01     12  0.10000000E+01  0.69193030E+00
 0.26486326E+01     13  0.10000000E+01  0.65837133E+00
 0.28523736E+01     14  0.10000000E+01  0.62137122E+00
 0.30561145E+01     15  0.10000000E+01  0.58110053E+00
 0.32598555E+01     16  0.10000000E+01  0.53772661E+00
 0.34635965E+01     17  0.10000000E+01  0.49151305E+00
 0.36673374E+01     18  0.10000000E+01  0.44284481E+00
 0.38710784E+01     19  0.10000000E+01  0.39225827E+00
 0.40748194E+01     20  0.10000000E+01  0.34049813E+00
 0.42785603E+01     21  0.10000000E+01  0.28869731E+00
 0.44823013E+01     22  0.10000000E+01  0.23830532E+00
 0.46860423E+01     23  0.10000000E+01  0.19041888E+00
 0.48897832E+01     24  0.10000000E+01  0.14618056E+00
 0.50935242E+01     25  0.10000000E+01  0.10694826E+00
 0.52972652E+01     26  0.10000000E+01  0.74178455E-01
 0.55010062E+01     27  0.10000000E+01  0.48551289E-01
 0.57047471E+01     28  0.10000000E+01  0.30447879E-01
 0.59084881E+01     29  0.10000000E+01  0.19542023E-01
 0.61122291E+01     30  0.10000000E+01  0.14470488E-01
 0.63159700E+01     31  0.10000000E+01  0.13233842E-01
 0.65197110E+01     32  0.10000000E+01  0.13603847E-01
 0.67234520E+01     33  0.10000000E+01  0.13860528E-01
 0.69271929E+01     34  0.10000000E+01  0.13187267E-01
 0.71309339E+01     35  0.10000000E+01  0.11588850E-01
 0.73346749E+01     36  0.10000000E+01  0.95841902E-02
 0.75384158E+01     37  0.10000000E+01  0.75696611E-02
 0.77421568E+01     38  0.10000000E+01  0.57909052E-02
 0.79458978E+01     39  0.10000000E+01  0.43495708E-02
 0.81496387E+01     40  0.10000000E+01  0.32305536E-02
 0.83533797E+01     41  0.10000000E+01  0.23860529E-02
 0.85571207E+01     42  0.10000000E+01  0.17547617E-02
 0.87608617E+01     43  0.10000000E+01  0.12879493E-02
 0.89646026E+01     44  0.10000000E+01  0.94700586E-03
 0.91683436E+01     45  0.10000000E+01  0.69964103E-03
 0.93720846E+01     46  0.10000000E+01  0.51993353E-03
 0.95758255E+01     47  0.10000000E+01  0.38854818E-03
 0.97795665E+01     48  0.10000000E+01  0.29168828E-03
 0.99833075E+01     49  0.10000000E+01  0.21965776E-03
 0.10187048E+02     50  0.10000000E+01  0.16583569E-03
 0.10390789E+02     51  0.10000000E+01  0.12568479E-03
 0.10594530E+02     52  0.10000000E+01  0.95752507E-04
 0.10798271E+02     53  0.10000000E+01  0.73405796E-04
 0.11002012E+02     54  0.10000000E+01  0.56676357E-04
 0.11205753E+02     55  0.10000000E+01  0.44105263E-04
 0.11409494E+02     56  0.10000000E+01  0.34584331E-04
 0.11613235E+02     57  0.10000000E+01  0.27230831E-04
 0.11816976E+02     58  0.10000000E+01  0.21496170E-04
 0.12020717E+02     59  0.10000000E+01  0.17037274E-04
 0.12224458E+02     60  0.10000000E+01  0.13562062E-04
 0.12428199E+02     61  0.10000000E+01  0.10846705E-04
 0.12631940E+02     62  0.10000000E+01  0.87160066E-05
 0.12835681E+02     63  0.10000000E+01  0.70327155E-05
 0.13039422E+02     64  0.10000000E+01  0.56940623E-05
 0.13243163E+02     65  0.10000000E+01  0.46261496E-05
 0.13446904E+02     66  0.10000000E+01  0.37718710E-05
 0.13650645E+02     67  0.10000000E+01  0.30854959E-05
 0.13854386E+02     68  0.10000000E+01  0.25310032E-05
 0.14058127E+02     69  0.10000000E+01  0.20810589E-05
 0.14261868E+02     70  0.10000000E+01  0.17156442E-05
 0.14465609E+02     71  0.10000000E+01  0.14183084E-05
 0.14669350E+02     72  0.10000000E+01  0.11749515E-05
 0.14873091E+02     73  0.10000000E+01  0.97526168E-06
 0.15076832E+02     74  0.10000000E+01  0.81117152E-06
 0.15280573E+02     75  0.10000000E+01  0.67608024E-06
 0.15484314E+02     76  0.10000000E+01  0.56459991E-06
 0.15688055E+02     77  0.10000000E+01  0.47240490E-06
 0.15891796E+02     78  0.10000000E+01  0.39599873E-06
 0.16095537E+02     79  0.10000000E+01  0.33254650E-06
 0.16299277E+02     80  0.10000000E+01  0.27974689E-06
 0.16503018E+02     81  0.10000000E+01  0.23572632E-06
 0.16706759E+02     82  0.10000000E+01  0.19895591E-06
 0.16910500E+02     83  0.10000000E+01  0.16818522E-06
 0.17114241E+02     84  0.10000000E+01  0.14238939E-06
 0.17317982E+02     85  0.10000000E+01  0.12072674E-06
 0.17521723E+02     86  0.10000000E+01  0.10250446E-06
 0.17725464E+02     87  0.10000000E+01  0.87151101E-07
 0.17929205E+02     88  0.10000000E+01  0.74194437E-07
 0.18132946E+02     89  0.10000000E+01  0.63243511E-07
 0.18336687E+02     90  0.10000000E+01  0.53973994E-07
 0.18540428E+02     91  0.10000000E+01  0.46116322E-07
 0.18744169E+02     92  0.10000000E+01  0.39446064E-07
 0.18947910E+02     93  0.10000000E+01  0.33776060E-07
 0.19151651E+02     94  0.10000000E+01  0.28949942E-07
 0.19355392E+02     95  0.10000000E+01  0.24836843E-07
 0.19559133E+02     96  0.10000000E+01  0.21327067E-07
 0.19762874E+02     97  0.10000000E+01  0.18328529E-07
 0.19966615E+02     98  0.10000000E+01  0.15763799E-07
 0.20170356E+02     99  0.10000000E+01  0.13567664E-07
 0.20374097E+02    100  0.10000000E+01  0.11685126E-07
 0.20577838E+02    101  0.10000000E+01  0.10069737E-07
 0.20781579E+02    102  0.10000000E+01  0.86822132E-08
 0.20985320E+02    103  0.10000000E+01  0.74892796E-08
 0.21189061E+02    104  0.10000000E+01  0.64627164E-08
 0.21392802E+02    105  0.10000000E+01  0.55785606E-08
 0.21596543E+02    106  0.10000000E+01  0.48164375E-08
 0.21800284E+02    107  0.10000000E+01  0.41589996E-08
