#iR    R_COM(iR)
  1  0.300000000000E+01
  2  0.327000000000E+01
  3  0.354000000000E+01
  4  0.381000000000E+01
  5  0.408000000000E+01
  6  0.435000000000E+01
  7  0.462000000000E+01
  8  0.489000000000E+01
  9  0.516000000000E+01
 10  0.543000000000E+01
 11  0.570000000000E+01
 12  0.597000000000E+01
 13  0.624000000000E+01
 14  0.651000000000E+01
 15  0.678000000000E+01
 16  0.705000000000E+01
 17  0.732000000000E+01
 18  0.759000000000E+01
 19  0.786000000000E+01
 20  0.813000000000E+01
 21  0.840000000000E+01
 22  0.867000000000E+01
 23  0.894000000000E+01
 24  0.921000000000E+01
 25  0.948000000000E+01
 26  0.975000000000E+01
 27  0.100200000000E+02
 28  0.102900000000E+02
 29  0.105600000000E+02
 30  0.108300000000E+02
 31  0.111000000000E+02
 32  0.113700000000E+02
 33  0.116400000000E+02
 34  0.119100000000E+02
 35  0.121800000000E+02
 36  0.124500000000E+02
 37  0.127200000000E+02
 38  0.129900000000E+02
 39  0.132600000000E+02
 40  0.135300000000E+02
 41  0.138000000000E+02
 42  0.140700000000E+02
 43  0.143400000000E+02
 44  0.146100000000E+02
 45  0.148800000000E+02
 46  0.151500000000E+02
 47  0.154200000000E+02
 48  0.156900000000E+02
 49  0.159600000000E+02
 50  0.162300000000E+02
 51  0.165000000000E+02
 52  0.167700000000E+02
 53  0.170400000000E+02
 54  0.173100000000E+02
 55  0.175800000000E+02
 56  0.178500000000E+02
 57  0.181200000000E+02
 58  0.183900000000E+02
 59  0.186600000000E+02
 60  0.189300000000E+02
 61  0.192000000000E+02
 62  0.194700000000E+02
 63  0.197400000000E+02
 64  0.200100000000E+02
 65  0.202800000000E+02
 66  0.205500000000E+02
 67  0.208200000000E+02
 68  0.210900000000E+02
 69  0.213600000000E+02
 70  0.216300000000E+02
 71  0.219000000000E+02
 72  0.221700000000E+02
 73  0.224400000000E+02
 74  0.227100000000E+02
 75  0.229800000000E+02
 76  0.232500000000E+02
 77  0.235200000000E+02
 78  0.237900000000E+02
 79  0.240600000000E+02
 80  0.243300000000E+02
 81  0.246000000000E+02
 82  0.248700000000E+02
 83  0.251400000000E+02
 84  0.254100000000E+02
 85  0.256800000000E+02
 86  0.259500000000E+02
 87  0.262200000000E+02
 88  0.264900000000E+02
 89  0.267600000000E+02
 90  0.270300000000E+02
 91  0.273000000000E+02
 92  0.275700000000E+02
 93  0.278400000000E+02
 94  0.281100000000E+02
 95  0.283800000000E+02
 96  0.286500000000E+02
 97  0.289200000000E+02
 98  0.291900000000E+02
 99  0.294600000000E+02
100  0.297300000000E+02
101  0.300000000000E+02
