            4814        1 -0.688489987184E-04
            4814        2 -0.368661230552E-04
            4814        3  0.383021951244E-04
            4814        4  0.502567103300E-04
            4814        5  0.450844718175E-04
            4814        6  0.366214490198E-04
            4814        7  0.284402961782E-04
            4814        8  0.218017667664E-04
            4814        9  0.168716307845E-04
            4814       10  0.133372328261E-04
            4814       11  0.107304065679E-04
            4814       12  0.874476937075E-05
            4814       13  0.720174170033E-05
            4814       14  0.597372157468E-05
            4814       15  0.497609215092E-05
            4814       16  0.415955966381E-05
            4814       17  0.348702483135E-05
            4814       18  0.293537546840E-05
            4814       19  0.248374226075E-05
            4814       20  0.211183681970E-05
            4814       21  0.180390797315E-05
            4814       22  0.154893008804E-05
            4814       23  0.133610131041E-05
            4814       24  0.115519483997E-05
            4814       25  0.100055077531E-05
            4814       26  0.868687042260E-06
            4814       27  0.756135080267E-06
            4814       28  0.659734531077E-06
            4814       29  0.577313379309E-06
            4814       30  0.506897321184E-06
            4814       31  0.446519172715E-06
            4814       32  0.394529714522E-06
            4814       33  0.349765920102E-06
            4814       34  0.311189178696E-06
            4814       35  0.277647934541E-06
            4814       36  0.248357598844E-06
            4814       37  0.222772841023E-06
            4814       38  0.200355172892E-06
            4814       39  0.180603096826E-06
            4814       40  0.163171130699E-06
            4814       41  0.147758557193E-06
            4814       42  0.134066563798E-06
            4814       43  0.121838448488E-06
            4814       44  0.110917593088E-06
            4814       45  0.101166814667E-06
            4814       46  0.924300442535E-07
            4814       47  0.845804939819E-07
            4814       48  0.775149750640E-07
            4814       49  0.711438648613E-07
            4814       50  0.653890335887E-07
            4814       51  0.601822159367E-07
            4814       52  0.554636345756E-07
            4814       53  0.511808334172E-07
            4814       54  0.472876860628E-07
            4814       55  0.437435509808E-07
            4814       56  0.405125499178E-07
            4814       57  0.375629500880E-07
            4814       58  0.348666339816E-07
            4814       59  0.323986433356E-07
            4814       60  0.301367860307E-07
            4814       61  0.280612965105E-07
            4814       62  0.261545418216E-07
            4814       63  0.244007666367E-07
            4814       64  0.227858716536E-07
            4814       65  0.212972206339E-07
            4814       66  0.199234720694E-07
            4814       67  0.186544320635E-07
            4814       68  0.174809255298E-07
            4814       69  0.163946832320E-07
            4814       70  0.153882425509E-07
            4814       71  0.144548601691E-07
            4814       72  0.135884351174E-07
            4814       73  0.127834408499E-07
            4814       74  0.120348651964E-07
            4814       75  0.113381572002E-07
            4814       76  0.106891799841E-07
            4814       77  0.100841689008E-07
            4814       78  0.951969432598E-08
            4814       79  0.899262853178E-08
            4814       80  0.850011615693E-08
            4814       81  0.803954784722E-08
            4814       82  0.760853669709E-08
            4814       83  0.720489716867E-08
            4814       84  0.682662620463E-08
            4814       85  0.647188628702E-08
            4814       86  0.613899022365E-08
            4814       87  0.582638747061E-08
            4814       88  0.553265182208E-08
            4814       89  0.525647031874E-08
            4814       90  0.499663324362E-08
