R_Bohr           v_0_0_0_0             v_0_0_2_2             v_0_0_4_4             v_1_0_0_1             v_1_0_2_1             v_1_0_2_3             v_1_0_4_3             v_1_0_4_5             v_1_0_6_7             v_2_0_0_2             v_2_0_2_0             v_2_0_2_2             v_2_0_2_4             v_2_0_4_6             v_2_2_0_2             v_2_2_2_0             v_2_2_2_1             v_2_2_2_2             v_2_2_2_3             v_2_2_2_4             v_2_2_4_6             v_2_2_6_8             v_3_0_0_3             v_3_0_2_1             v_3_0_2_3             v_3_0_2_5             v_3_0_4_7             v_3_2_0_3             v_3_2_2_1             v_3_2_2_3             v_3_2_2_4             v_3_2_2_5             v_3_2_4_7             v_3_2_6_9             v_4_0_0_4             v_4_0_2_4             v_4_0_2_6             v_4_0_4_8             v_4_2_0_4             v_4_2_2_2             v_4_2_2_4             v_4_2_2_6             v_4_2_4_8             v_4_4_0_4             v_4_4_2_2             v_4_4_2_4             v_4_4_2_5             v_4_4_2_6             v_4_4_4_8             v_5_0_0_5             v_5_0_2_7             v_5_2_0_5             v_5_2_2_7             v_5_4_0_5             v_5_4_2_5             v_5_4_2_7             v_5_4_4_9             v_6_0_0_6             v_6_0_2_8            v_6_0_4_10             v_6_2_0_6             v_6_2_2_8            v_6_2_4_10             v_6_4_0_6             v_6_4_2_8            v_6_4_4_10             v_6_6_0_6             v_6_6_2_8            v_6_6_4_10             v_7_0_0_7             v_7_0_2_9             v_7_2_0_7             v_7_2_2_9            v_7_2_4_11             v_7_4_0_7             v_7_4_2_9             v_7_6_0_7             v_7_6_2_9            v_7_6_4_11             v_8_6_0_8            v_8_6_2_10            v_9_4_2_11            v_9_6_2_11   
  3.00  0.290901925667E+06    0.345715766093E+05    0.436428700640E+04   -0.642729240026E+05    0.484917143915E+04   -0.294467997775E+05    0.125110976073E+04   -0.420419595326E+04   -0.624963244103E+03    0.151005450626E+04    0.343450471016E+03   -0.644060947339E+03   -0.106359240200E+04   -0.395914141290E+03    0.391387491867E+05    0.144469306640E+04   -0.419068198649E+03   -0.249985350310E+04   -0.652249738601E+03    0.269903548595E+05    0.386271861502E+04    0.474937771903E+03    0.291815108214E+05    0.758989010481E+03   -0.192735678405E+04    0.172789780882E+05    0.418107737445E+04   -0.407137082332E+05   -0.107688644320E+04    0.341966045546E+04    0.225123559717E+03   -0.236088152282E+05   -0.560870674764E+04   -0.103990442375E+04   -0.150685166431E+05    0.175276066546E+04   -0.135574830959E+05   -0.409589001753E+04    0.140957137431E+05    0.827852090520E+03   -0.192307522262E+04    0.126862748692E+05    0.376056078273E+04    0.109517114703E+05    0.740727462211E+03   -0.141012590121E+04    0.150229400710E+03    0.988371656376E+04    0.259224074504E+04    0.181177605762E+04    0.227743523928E+04    0.235761709914E+03    0.452224112099E+03   -0.113125816251E+05    0.169165969716E+04   -0.126377399933E+05   -0.389775611092E+04    0.352086694539E+04    0.431823290611E+04    0.191132794402E+04   -0.469860174198E+04   -0.616216243648E+04   -0.267417266125E+04    0.679823105013E+04    0.936740935478E+04    0.385980962087E+04    0.197136645395E+04    0.250245951194E+04    0.897596066822E+03   -0.235437757115E+04   -0.364121143684E+04    0.233947938939E+04    0.358590321771E+04    0.148030616925E+04   -0.169398736672E+04   -0.239873750928E+04   -0.243637036758E+04   -0.354903239223E+04   -0.155892164690E+04    0.186410842723E+04    0.311381942773E+04    0.147826652892E+04   -0.170618921300E+04   
  3.27  0.181485815503E+06    0.214885265661E+05    0.267992087920E+04   -0.400600279958E+05    0.298574228311E+04   -0.183235588136E+05    0.759257632142E+03   -0.258274293855E+04   -0.377368565107E+03    0.954573254724E+03    0.204888283713E+03   -0.386527693344E+03   -0.672232835525E+03   -0.243232199955E+03    0.242851799315E+05    0.895903246327E+03   -0.262155576144E+03   -0.153569757028E+04   -0.405931891687E+03    0.167718862571E+05    0.238025136323E+04    0.288328577504E+03    0.181254149560E+05    0.464493327479E+03   -0.119239442164E+04    0.106786646150E+05    0.255423014927E+04   -0.252797376779E+05   -0.656696593719E+03    0.210096397468E+04    0.135653351761E+03   -0.145794080130E+05   -0.342450427513E+04   -0.626379353599E+03   -0.930896510893E+04    0.107251021819E+04   -0.833952621103E+04   -0.249178082274E+04    0.870407747030E+04    0.499780261770E+03   -0.117356926152E+04    0.779607813829E+04    0.228638303120E+04    0.675370960154E+04    0.451169311159E+03   -0.861190670375E+03    0.859805304540E+02    0.608548204806E+04    0.158304334072E+04    0.111062089399E+04    0.138592539715E+04    0.147888846300E+03    0.286351163273E+03   -0.694664811076E+04    0.103030461919E+04   -0.774627642852E+04   -0.236923235392E+04    0.215668888372E+04    0.264061117576E+04    0.115716035529E+04   -0.287478254486E+04   -0.376452297164E+04   -0.161968479524E+04    0.415789304488E+04    0.571426881706E+04    0.233555816372E+04    0.120857927388E+04    0.153009906796E+04    0.543606231710E+03   -0.143883495789E+04   -0.221905446862E+04    0.142872475784E+04    0.218504902908E+04    0.895836662026E+03   -0.103437007970E+04   -0.146143091325E+04   -0.148828924748E+04   -0.216133755960E+04   -0.940996011632E+03    0.113471391682E+04    0.188857309540E+04    0.893394866938E+03   -0.103113809245E+04   
  3.54  0.111543361740E+06    0.124220345077E+05    0.123325651859E+04   -0.245804890791E+05    0.147301977740E+04   -0.111596066905E+05    0.278005718752E+03   -0.122338162647E+04   -0.137148025917E+03    0.792509005432E+03    0.468900319037E+02   -0.120509088253E+03   -0.514298026039E+03   -0.114230258513E+03    0.133746235026E+05    0.508397396335E+03   -0.173921081777E+03   -0.720345871166E+03   -0.239847656175E+03    0.987600774329E+04    0.117618408392E+04    0.110716410177E+03    0.103524102995E+05    0.206652067945E+03   -0.610659203357E+03    0.559837861448E+04    0.106245122340E+04   -0.143756992085E+05   -0.273116001753E+03    0.976033728421E+03    0.507562527987E+02   -0.753789506241E+04   -0.141554370053E+04   -0.207517588750E+03   -0.477708887677E+04    0.458560439926E+03   -0.395444732215E+04   -0.960399116188E+03    0.444444871783E+04    0.178873102814E+03   -0.484965018668E+03    0.364384115745E+04    0.872152559193E+03    0.330747391805E+04    0.184466296359E+03   -0.356399413776E+03   -0.571620403551E+01    0.294602931006E+04    0.649111924890E+03    0.501727184708E+03    0.540933253435E+03    0.693952284864E+02    0.189162195443E+03   -0.312753385149E+04    0.410451978951E+03   -0.341276473075E+04   -0.886214675766E+03    0.908578821205E+03    0.110275878348E+04    0.402790957027E+03   -0.119513261467E+04   -0.154758005738E+04   -0.569243652686E+03    0.172913416388E+04    0.229546784131E+04    0.806081833349E+03    0.521386306165E+03    0.640249986491E+03    0.192466933563E+03   -0.577502982692E+03   -0.863839267627E+03    0.567525339400E+03    0.847507916102E+03    0.304540873526E+03   -0.410488453963E+03   -0.564720879560E+03   -0.597360434293E+03   -0.837714382261E+03   -0.311627070549E+03    0.425787255199E+03    0.678346989502E+03    0.300175200263E+03   -0.346730502129E+03   
  3.81  0.675069540213E+05    0.728838495798E+04    0.591101458678E+03   -0.152394800007E+05    0.787612127383E+03   -0.722449743194E+04    0.107520237076E+03   -0.631844891867E+03   -0.547499287557E+02    0.624433532601E+03    0.408523228631E+01   -0.436773612092E+02   -0.374000321011E+03   -0.588114954771E+02    0.735705272404E+04    0.299854312859E+03   -0.113469924115E+03   -0.362779046330E+03   -0.144214658271E+03    0.615210362623E+04    0.626528597530E+03    0.469860039123E+02    0.604851420812E+04    0.988475978127E+02   -0.320517479760E+03    0.314154284487E+04    0.477421566657E+03   -0.838158160448E+04   -0.124154368712E+03    0.480810457403E+03    0.246938174603E+02   -0.418010396772E+04   -0.634092296279E+03   -0.746018888752E+02   -0.256795188469E+04    0.206225480500E+03   -0.201211317563E+04   -0.398240123250E+03    0.238395595981E+04    0.702973963206E+02   -0.213577406560E+03    0.183458170310E+04    0.359362866405E+03    0.166602485510E+04    0.814807007305E+02   -0.155308897082E+03   -0.186355015098E+02    0.152596881571E+04    0.286351245431E+03    0.245464598021E+03    0.227813265800E+03    0.235080970012E+02    0.113449466286E+03   -0.146666090964E+04    0.172410308313E+03   -0.160881729942E+04   -0.355231005281E+03    0.394851712390E+03    0.491377015014E+03    0.150757414706E+03   -0.515781925789E+03   -0.678070882051E+03   -0.214437680480E+03    0.748359604895E+03    0.984938450012E+03    0.297400126343E+03    0.231490823615E+03    0.284302966783E+03    0.733233955929E+02   -0.238640391263E+03   -0.355982227490E+03    0.232573727902E+03    0.347348354262E+03    0.110154397937E+03   -0.167836188226E+03   -0.230248225370E+03   -0.246393834750E+03   -0.344095283938E+03   -0.110555440976E+03    0.164655351477E+03    0.258752600822E+03    0.107073717109E+03   -0.123733516425E+03   
  4.08  0.400316731261E+05    0.429763497976E+04    0.293764213639E+03   -0.945073089666E+04    0.448349993767E+03   -0.492741255773E+04    0.440161297347E+02   -0.354222955359E+03   -0.245871719262E+02    0.470980825542E+03   -0.599214421975E+01   -0.206250169512E+02   -0.269816796719E+03   -0.319891757417E+02    0.397288783068E+04    0.179015834809E+03   -0.736021629196E+02   -0.191469439796E+03   -0.876347275911E+02    0.401907215086E+04    0.356208867494E+03    0.223676964103E+02    0.356938894534E+04    0.494264290321E+02   -0.172545293887E+03    0.187197896576E+04    0.231708687056E+03   -0.494051829337E+04   -0.600549862284E+02    0.248795800512E+03    0.141019534869E+02   -0.246732930421E+04   -0.307970436512E+03   -0.304215852826E+02   -0.142937379776E+04    0.957289930631E+02   -0.109631835467E+04   -0.178642384979E+03    0.132584752664E+04    0.276041163962E+02   -0.982542460829E+02    0.991548349450E+03    0.161314260189E+03    0.849040275028E+03    0.368627602349E+02   -0.692227310076E+02   -0.146832588182E+02    0.842149308878E+03    0.135895661385E+03    0.129496519454E+03    0.105228281959E+03    0.148192350900E+01    0.659759996044E+02   -0.708572856666E+03    0.730131880560E+02   -0.810479046440E+03   -0.153578262632E+03    0.175538795663E+03    0.232907504246E+03    0.613537485480E+02   -0.229633458006E+03   -0.316485564841E+03   -0.874521932274E+02    0.334710164096E+03    0.451969908230E+03    0.119026066861E+03    0.104786693109E+03    0.134076596604E+03    0.300796949862E+02   -0.100843474769E+03   -0.154836319110E+03    0.981295655686E+02    0.150486714678E+03    0.427472128784E+02   -0.704879260875E+02   -0.992621924945E+02   -0.103329399795E+03   -0.149300466121E+03   -0.428599674881E+02    0.651185409989E+02    0.104858478023E+03    0.408819260428E+02   -0.473837046021E+02   
  4.35  0.230913696212E+05    0.250645434530E+04    0.153087859624E+03   -0.581693960144E+04    0.267084894766E+03   -0.350748521143E+04    0.190933092713E+02   -0.212782461038E+03   -0.113388114007E+02    0.339516357424E+03   -0.733453202370E+01   -0.121475642405E+02   -0.196803931855E+03   -0.179656218211E+02    0.206971866587E+04    0.107649249711E+03   -0.474754696691E+02   -0.104944380849E+03   -0.536981292678E+02    0.272887552769E+04    0.213779249143E+03    0.112980352298E+02    0.210589275752E+04    0.268119242867E+02   -0.969501025480E+02    0.117307427963E+04    0.119942119609E+03   -0.290896632590E+04   -0.320302134666E+02    0.136023738237E+03    0.805344414093E+01   -0.153433959960E+04   -0.160007386856E+03   -0.127359986160E+02   -0.813050409802E+03    0.461870540366E+02   -0.635176523253E+03   -0.849417606753E+02    0.753470704594E+03    0.965574823555E+01   -0.469415984968E+02    0.569877673007E+03    0.772070309684E+02    0.428807516736E+03    0.164136793744E+02   -0.310507930798E+02   -0.988948625698E+01    0.491495440548E+03    0.682858816434E+02    0.723695999191E+02    0.531894139834E+02   -0.693136037526E+01    0.388819165627E+02   -0.347097998458E+03    0.300003746105E+02   -0.433746838279E+03   -0.696237417046E+02    0.788094926150E+02    0.116378649476E+03    0.257342386944E+02   -0.104014075761E+03   -0.156109150281E+03   -0.366777450881E+02    0.152226160317E+03    0.219721098214E+03    0.490713640526E+02    0.476352361499E+02    0.672111470523E+02    0.123982092381E+02   -0.429614206331E+02   -0.703228270421E+02    0.421586694162E+02    0.684191364538E+02    0.169222966343E+02   -0.299967202521E+02   -0.450007247491E+02   -0.432044537928E+02   -0.674375815866E+02   -0.166578575494E+02    0.252753930625E+02    0.434840714784E+02    0.156738486437E+02   -0.183662602438E+02   
  4.62  0.128037277384E+05    0.142670071332E+04    0.852886660536E+02   -0.352627510368E+04    0.165228672970E+03   -0.258140960308E+04    0.979204625895E+01   -0.136693384974E+03   -0.562808344774E+01    0.233953416720E+03   -0.594688007838E+01   -0.902570441802E+01   -0.145831595174E+03   -0.106707744872E+02    0.101198165213E+04    0.656072180816E+02   -0.307317237057E+02   -0.604401056483E+02   -0.331689100922E+02    0.191124558747E+04    0.135233559267E+03    0.610716242219E+01    0.122947883125E+04    0.166815092917E+02   -0.571390342603E+02    0.767893652350E+03    0.674957766244E+02   -0.169313708037E+04   -0.202533081617E+02    0.797160119329E+02    0.459617163389E+01   -0.998288050537E+03   -0.906803963033E+02   -0.574093295852E+01   -0.468509175066E+03    0.243069741571E+02   -0.390361458236E+03   -0.444132612975E+02    0.434077281945E+03    0.369841346926E+01   -0.245489885543E+02    0.347740505509E+03    0.407961400664E+02    0.210705940287E+03    0.802129414928E+01   -0.149646533113E+02   -0.606943021236E+01    0.302791255381E+03    0.371551613847E+02    0.425584833797E+02    0.300807369489E+02   -0.921240507352E+01    0.234805103252E+02   -0.172304447109E+03    0.133014710713E+02   -0.248864639679E+03   -0.343845823887E+02    0.363581192761E+02    0.628180642497E+02    0.117699515233E+02   -0.488483407872E+02   -0.836268528979E+02   -0.167109262325E+02    0.717653617626E+02    0.116695448772E+03    0.220138478331E+02    0.218502083125E+02    0.369507309031E+02    0.545963566824E+01   -0.191189671169E+02   -0.347671145223E+02    0.192183367122E+02    0.340491718180E+02    0.707705697134E+01   -0.136073576778E+02   -0.224694078377E+02   -0.187023697666E+02   -0.334817309630E+02   -0.689691420375E+01    0.100240172384E+02    0.196184779560E+02    0.634872790220E+01   -0.768994386635E+01   
  4.89  0.667632838874E+04    0.782516799001E+03    0.493664567555E+02   -0.208715840303E+04    0.104412796367E+03   -0.194800437088E+04    0.596031933009E+01   -0.922030413620E+02   -0.326917380031E+01    0.152829845746E+03   -0.420598620972E+01   -0.749216368264E+01   -0.110015582693E+03   -0.670879929542E+01    0.437274874068E+03    0.402150846964E+02   -0.200625994146E+02   -0.360472605105E+02   -0.207043747889E+02    0.137096085267E+04    0.892757817873E+02    0.367259350572E+01    0.702122960424E+03    0.113484351486E+02   -0.345781885219E+02    0.519280509775E+03    0.407397797226E+02   -0.962333745901E+03   -0.141328884737E+02    0.488424180638E+02    0.264371381609E+01   -0.671270193063E+03   -0.552029525059E+02   -0.293631274633E+01   -0.269694501546E+03    0.137886087690E+02   -0.250405610630E+03   -0.253531945044E+02    0.250090011297E+03    0.208649461147E+01   -0.139215355882E+02    0.221635647838E+03    0.235409955156E+02    0.965021174863E+02    0.466205975509E+01   -0.796603619999E+01   -0.358554483333E+01    0.194116655975E+03    0.217375855577E+02    0.258033563013E+02    0.182797739024E+02   -0.891713315463E+01    0.146828329906E+02   -0.851141806848E+02    0.705512276930E+01   -0.150602111366E+03   -0.184926554053E+02    0.172587979818E+02    0.363952639116E+02    0.594758767212E+01   -0.237383010841E+02   -0.482277653823E+02   -0.838431413734E+01    0.350643112461E+02    0.669550694097E+02    0.107954792353E+02    0.986452281011E+01    0.219474212053E+02    0.261152241199E+01   -0.940268013178E+01   -0.189663178170E+02    0.970644155984E+01    0.187378264467E+02    0.315665455391E+01   -0.698675664383E+01   -0.124224076797E+02   -0.873834850079E+01   -0.185042668419E+02   -0.301845905220E+01    0.448430383870E+01    0.989722466949E+01    0.277887254866E+01   -0.349735053450E+01   
  5.16  0.311329996076E+04    0.403721397897E+03    0.285659223782E+02   -0.119605193122E+04    0.667443853254E+02   -0.150642848183E+04    0.413470004095E+01   -0.644482885639E+02   -0.241770010731E+01    0.927709046667E+02   -0.275008524228E+01   -0.644188977874E+01   -0.846142772672E+02   -0.441348164182E+01    0.138309717038E+03    0.243584325468E+02   -0.132682782839E+02   -0.216913325208E+02   -0.131311429533E+02    0.100893054496E+04    0.610143357997E+02    0.262722408624E+01    0.390186791382E+03    0.770448311792E+01   -0.208516253286E+02    0.360269356466E+03    0.260004366550E+02   -0.528832240955E+03   -0.969032043229E+01    0.301590795695E+02    0.157442586738E+01   -0.462947804947E+03   -0.355132931848E+02   -0.199638757499E+01   -0.152810478190E+03    0.802007835109E+01   -0.165539148786E+03   -0.156445915464E+02    0.142017132309E+03    0.155652116093E+01   -0.813910320680E+01    0.145692882556E+03    0.146812032703E+02    0.372365522665E+02    0.307046336892E+01   -0.448478008309E+01   -0.207076779528E+01    0.128066091908E+03    0.135230670182E+02    0.159378515521E+02    0.116057412155E+02   -0.776098229374E+01    0.939744575786E+01   -0.404452581250E+02    0.433663481368E+01   -0.943742517301E+02   -0.108116151659E+02    0.814921953577E+01    0.221585819573E+02    0.346401613208E+01   -0.116286667654E+02   -0.292720964424E+02   -0.479985141265E+01    0.174429860327E+02    0.405711856164E+02    0.596198026214E+01    0.406158798222E+01    0.136031488070E+02    0.140747109896E+01   -0.515683308114E+01   -0.113637995102E+02    0.541054492728E+01    0.112898350197E+02    0.170867162622E+01   -0.412613632740E+01   -0.750725468767E+01   -0.442178112199E+01   -0.112126705945E+02   -0.153884599472E+01    0.252074478543E+01    0.579434602847E+01    0.152466772770E+01   -0.188188139227E+01   
  5.43  0.110985348589E+04    0.186295585112E+03    0.157087241250E+02   -0.655719266524E+03    0.429783272411E+02   -0.119248881896E+04    0.296743301769E+01   -0.461939682997E+02   -0.190330030518E+01    0.501322220393E+02   -0.169401200236E+01   -0.551305786243E+01   -0.663797939308E+02   -0.300138716624E+01   -0.565780802775E+01    0.142589176577E+02   -0.894632299505E+01   -0.127734537736E+02   -0.851337292420E+01    0.762637970094E+03    0.428002349583E+02    0.202215162802E+01    0.210270719555E+03    0.476088073018E+01   -0.121563417165E+02    0.255383017057E+03    0.171571839202E+02   -0.277363387802E+03   -0.593184228542E+01    0.181266353911E+02    0.942069617100E+00   -0.326171840125E+03   -0.235672281665E+02   -0.155599927928E+01   -0.836843233105E+02    0.447294066445E+01   -0.111814696773E+03   -0.100551945537E+02    0.780368002581E+02    0.100586443747E+01   -0.458446222401E+01    0.979569654475E+02    0.952241928638E+01    0.749646014213E+01    0.196489769842E+01   -0.235972288674E+01   -0.119223441096E+01    0.863710878401E+02    0.869130058900E+01    0.988603860559E+01    0.755677543360E+01   -0.637454562826E+01    0.604637109667E+01   -0.171306632803E+02    0.258665518019E+01   -0.603154497068E+02   -0.657136503680E+01    0.343482208193E+01    0.137313293005E+02    0.222857363831E+01   -0.529943166916E+01   -0.180890982107E+02   -0.299598541491E+01    0.828478981620E+01    0.251447308666E+02    0.351159192445E+01    0.118841016366E+01    0.848953262946E+01    0.788768762428E+00   -0.284016914936E+01   -0.708807957979E+01    0.300315222606E+01    0.704205729327E+01    0.107432966580E+01   -0.253375579721E+01   -0.471676639926E+01   -0.217437792629E+01   -0.703718892731E+01   -0.890285077193E+00    0.157535611868E+01    0.373005326294E+01    0.103696477043E+01   -0.119887245435E+01   
