COLLISION_TYPE= 9
NUMBER_OF_CHANLS=    6
NUMBER_OF_STATES=     28
MATRIX_SIZE=       117
R_GRID_SIZE=    2
  #STATE #CHANNEL      J12      M12       J1      K1A      K1C       J2       K2      EPS
       1        1        0        0        0        0        0        0        0        0
       2        2        1       -1        0        0        0        1        1        0
       3        2        1        0        0        0        0        1        1        0
       4        2        1        1        0        0        0        1        1        0
       5        3        1       -1        0        0        0        1        1        1
       6        3        1        0        0        0        0        1        1        1
       7        3        1        1        0        0        0        1        1        1
       8        4        1       -1        1        1        1        0        0        0
       9        4        1        0        1        1        1        0        0        0
      10        4        1        1        1        1        1        0        0        0
      11        5        0        0        1        1        1        1        1        0
      12        5        1       -1        1        1        1        1        1        0
      13        5        1        0        1        1        1        1        1        0
      14        5        1        1        1        1        1        1        1        0
      15        5        2       -2        1        1        1        1        1        0
      16        5        2       -1        1        1        1        1        1        0
      17        5        2        0        1        1        1        1        1        0
      18        5        2        1        1        1        1        1        1        0
      19        5        2        2        1        1        1        1        1        0
      20        6        0        0        1        1        1        1        1        1
      21        6        1       -1        1        1        1        1        1        1
      22        6        1        0        1        1        1        1        1        1
      23        6        1        1        1        1        1        1        1        1
      24        6        2       -2        1        1        1        1        1        1
      25        6        2       -1        1        1        1        1        1        1
      26        6        2        0        1        1        1        1        1        1
      27        6        2        1        1        1        1        1        1        1
      28        6        2        2        1        1        1        1        1        1
       MIJ_INDEX     ST_1     ST_2
               1        1        1
               2        2        2
               3        3        1
               4        3        3
               5        4        4
               6        5        2
               7        5        5
               8        6        1
               9        6        3
              10        6        6
              11        7        4
              12        7        7
              13        8        2
              14        8        5
              15        8        8
              16        9        1
              17        9        3
              18        9        6
              19        9        9
              20       10        4
              21       10        7
              22       10       10
              23       11        1
              24       11        3
              25       11        6
              26       11        9
              27       11       11
              28       12        2
              29       12        5
              30       12        8
              31       12       12
              32       13        1
              33       13        3
              34       13        6
              35       13        9
              36       13       11
              37       13       13
              38       14        4
              39       14        7
              40       14       10
              41       14       14
              42       15       15
              43       16        2
              44       16        5
              45       16        8
              46       16       12
              47       16       16
              48       17        1
              49       17        3
              50       17        6
              51       17        9
              52       17       11
              53       17       13
              54       17       17
              55       18        4
              56       18        7
              57       18       10
              58       18       14
              59       18       18
              60       19       19
              61       20        1
              62       20        3
              63       20        6
              64       20        9
              65       20       11
              66       20       13
              67       20       17
              68       20       20
              69       21        2
              70       21        5
              71       21        8
              72       21       12
              73       21       16
              74       21       21
              75       22        1
              76       22        3
              77       22        6
              78       22        9
              79       22       11
              80       22       13
              81       22       17
              82       22       20
              83       22       22
              84       23        4
              85       23        7
              86       23       10
              87       23       14
              88       23       18
              89       23       23
              90       24       15
              91       24       24
              92       25        2
              93       25        5
              94       25        8
              95       25       12
              96       25       16
              97       25       21
              98       25       25
              99       26        1
             100       26        3
             101       26        6
             102       26        9
             103       26       11
             104       26       13
             105       26       17
             106       26       20
             107       26       22
             108       26       26
             109       27        4
             110       27        7
             111       27       10
             112       27       14
             113       27       18
             114       27       23
             115       27       27
             116       28       19
             117       28       28
  #iR           R_COM(iR)
    1  0.710000000000E+01
    2  0.720000000000E+01
 
