4 1
   1   0   0   0   0   0
   2   1   0   0   0   1
   3   2   0   0   0   2
   4   2   2   0   0   2
    1    0.1196935462E+02
    2   -0.2863737837E+01
    3    0.1109271338E+01
    4   -0.7142266336E+00
    5    0.8714388693E+00
    6   -0.2538380416E+00
    7    0.2410524000E+01
    8   -0.5268308135E+00
12 3
     0   0   0   0   0    0.9585430952E-01
     1   0   0   0   1   -0.5472840119E-01
     2   0   0   0   2   -0.4161737477E-01
     2   2   0   0   2    0.5906310528E-02
     3   0   0   0   3    0.5522008840E-01
     3   2   0   0   3   -0.1260230368E+00
     4   0   0   0   4   -0.2926193261E-01
     4   2   0   0   4    0.6482983764E-01
     4   4   0   0   4    0.1997889237E-01
     6   0   0   0   6    0.1675523403E-02
     6   2   0   0   6   -0.1134055025E-01
     6   4   0   0   6    0.5158996970E-02
     0   0   0   0   0   -0.5887247895E-01
     1   0   0   0   1    0.4120014666E-01
     2   0   0   0   2    0.2699950537E-01
     2   2   0   0   2   -0.2121528941E-01
     3   0   0   0   3   -0.3589049909E-01
     3   2   0   0   3    0.7130346478E-01
     4   0   0   0   4    0.1997233740E-01
     4   2   0   0   4   -0.4528517660E-01
     4   4   0   0   4   -0.4415160679E-02
     6   0   0   0   6   -0.8693155431E-03
     6   2   0   0   6    0.6624293398E-02
     6   4   0   0   6   -0.3178167797E-02
     0   0   0   0   0    0.1281960579E-01
     1   0   0   0   1   -0.8642442460E-02
     2   0   0   0   2   -0.4918079036E-02
     2   2   0   0   2    0.6981813234E-02
     3   0   0   0   3    0.8153284667E-02
     3   2   0   0   3   -0.1424022676E-01
     4   0   0   0   4   -0.4573642191E-02
     4   2   0   0   4    0.1018694222E-01
     4   4   0   0   4   -0.1518264390E-02
     6   0   0   0   6    0.1770415667E-03
     6   2   0   0   6   -0.1194580434E-02
     6   4   0   0   6    0.7304692975E-03
     0   0   0   0   0   -0.1021712155E-02
     1   0   0   0   1    0.4687837156E-03
     2   0   0   0   2    0.2183033710E-03
     2   2   0   0   2   -0.5737589649E-03
     3   0   0   0   3   -0.6428537257E-03
     3   2   0   0   3    0.1033249405E-02
     4   0   0   0   4    0.3567028866E-03
     4   2   0   0   4   -0.7412579736E-03
     4   4   0   0   4    0.3273712918E-03
     6   0   0   0   6   -0.1695529208E-04
     6   2   0   0   6    0.6468856261E-04
     6   4   0   0   6   -0.6376178019E-04
*         324.994369    0      1     44         2    1        4.458096D+00
*         324.994369    0      1     44         3    1        4.649459D+00
*         324.994369    0      1     44         4    1        3.029480D-01
*         324.994369    0      1     44         5    1        7.037573D-01
*         324.994369    0      1     44         6    1        8.722866D-02
*         324.994369    0      1     44         7    1        1.638810D-01
*         324.994369    0      1     44         8    1        6.123238D-04
*         324.994369    0      1     44         9    1        3.388586D-01
*         324.994369    0      1     44        10    1        6.033232D-03
*         324.994369    0      1     44         1    2        4.751569D+00
*         324.994369    0      1     44         3    2        8.978334D-01
*         324.994369    0      1     44         4    2        2.561918D+00
*         324.994369    0      1     44         5    2        1.284660D+00
*         324.994369    0      1     44         6    2        3.368137D-01
*         324.994369    0      1     44         7    2        4.331172D-02
*         324.994369    0      1     44         8    2        1.880826D-02
*         324.994369    0      1     44         9    2        2.813492D-01
*         324.994369    0      1     44        10    2        1.582291D-02
*         324.994369    0      1     44         1    3        3.422816D+00
*         324.994369    0      1     44         2    3        6.201393D-01
*         324.994369    0      1     44         4    3        1.609989D+00
*         324.994369    0      1     44         5    3        2.696428D+00
*         324.994369    0      1     44         6    3        7.348694D-01
*         324.994369    0      1     44         7    3        6.058536D-01
*         324.994369    0      1     44         8    3        1.403512D-02
*         324.994369    0      1     44         9    3        1.355828D-01
*         324.994369    0      1     44        10    3        4.548470D-03
*         324.994369    0      1     44         1    4        2.886440D-01
*         324.994369    0      1     44         2    4        2.290193D+00
*         324.994369    0      1     44         3    4        2.083705D+00
*         324.994369    0      1     44         5    4        4.319626D-01
*         324.994369    0      1     44         6    4        1.028151D+00
*         324.994369    0      1     44         7    4        7.389459D-01
*         324.994369    0      1     44         8    4        3.563638D-01
*         324.994369    0      1     44         9    4        3.706632D-01
*         324.994369    0      1     44        10    4        7.780351D-03
*         324.994369    0      1     44         1    5        4.829414D-01
*         324.994369    0      1     44         2    5        8.271271D-01
*         324.994369    0      1     44         3    5        2.513501D+00
*         324.994369    0      1     44         4    5        3.111166D-01
*         324.994369    0      1     44         6    5        1.998174D+00
*         324.994369    0      1     44         7    5        8.531866D-02
*         324.994369    0      1     44         8    5        2.116206D-02
*         324.994369    0      1     44         9    5        1.928040D+00
*         324.994369    0      1     44        10    5        4.446913D-02
*         324.994369    0      1     44         1    6        7.437211D-02
*         324.994369    0      1     44         2    6        2.694344D-01
*         324.994369    0      1     44         3    6        8.510987D-01
